SITE_ID,VISIT_NO,LAKE_ORIGIN12,BENT_COND,CHLA_COND,NTL_COND,PTL_COND,DRAWDOWN_COND,LITCVR_COND,LITRIPCVR_COND,RDIS_COND,RVEG_COND,SEDHG_MTH_TOP_COND,SEDHG_TOT_BTM_COND,SEDHG_TOT_TOP_COND,CHLL_REC,CYNL_REC,MICL_REC,WSA9_LO
NLA12_GA-101,1,MAN_MADE,Poor,Poor,Poor,Poor,Small,Poor,Poor,Fair,Poor,Low,Not Assessed,Medium,Moderate,High,Low,CPL_MAN_MADE
NLA12_KY-103,1,MAN_MADE,Good,Not Assessed,Good,Fair,Small,Poor,Poor,Fair,Fair,Medium,Not Assessed,Medium,Not Assessed,Low,Low,SAP_MAN_MADE
NLA12_OK-293,1,MAN_MADE,Good,Poor,Poor,Poor,Large,Poor,Poor,Good,Poor,High,Not Assessed,Low,High,High,Low,SPL_MAN_MADE
NLA12_NM-132,1,RESERVOIR,Fair,Fair,Poor,Poor,Small,Good,Poor,Poor,Poor,Medium,Not Assessed,Low,Moderate,High,Low,WMT_MAN_MADE
NLA12_SC-105,1,MAN_MADE,Good,Poor,Poor,Poor,Small,Fair,Poor,Poor,Poor,High,Not Assessed,High,Moderate,Moderate,Low,CPL_MAN_MADE
NLA12_SC-108,1,MAN_MADE,Good,Good,Good,Good,Medium,Good,Good,Fair,Fair,Medium,Not Assessed,Medium,Moderate,Low,No Detect,CPL_MAN_MADE
NLA12_NM-152,1,MAN_MADE,Poor,Good,Poor,Poor,Large,Fair,Poor,Poor,Poor,Low,Low,Low,Low,Low,No Detect,SPL_MAN_MADE
NLA12_CO-110,1,RESERVOIR,Poor,Good,Fair,Fair,Large,Fair,Poor,Fair,Poor,Low,Not Assessed,Medium,Moderate,High,Low,SPL_MAN_MADE
NLA12_ND-101,1,NATURAL,Poor,Good,Fair,Poor,Small,Fair,Poor,Poor,Fair,Medium,Low,Medium,Low,Low,Low,TPL_NATURAL
NLA12_KY-104,1,NATURAL,Poor,Fair,Poor,Poor,Small,Good,Good,Good,Good,Medium,Medium,Medium,High,Low,Low,CPL_NATURAL
NLA12_KS-130,1,MAN_MADE,Good,Fair,Good,Good,Small,Poor,Poor,Fair,Fair,Medium,Not Assessed,Low,Moderate,Low,Low,TPL_MAN_MADE
NLA12_PA-108,1,NATURAL,Poor,Poor,Fair,Good,Small,Good,Fair,Fair,Fair,Low,Not Assessed,Low,Low,Moderate,No Detect,CPL_NATURAL
NLA12_NC-105,1,RESERVOIR,Poor,Good,Good,Good,Small,Good,Fair,Fair,Fair,Low,Not Assessed,Medium,Low,Low,Low,SAP_MAN_MADE
NLA12_NM-105,1,MAN_MADE,Poor,Poor,Poor,Poor,Large,Poor,Poor,Poor,Poor,Low,Low,Low,Low,Low,Low,SPL_MAN_MADE
NLA12_SD-101,1,RESERVOIR,Not Assessed,Good,Good,Good,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Low,Not Assessed,Medium,Low,Not Assessed,Low,NPL_MAN_MADE
NLA12_NM-104,1,RESERVOIR,Fair,Good,Good,Good,Small,Good,Good,Poor,Good,High,Not Assessed,Medium,Low,Low,Low,XER_MAN_MADE
NLA12_KY-120,1,MAN_MADE,Poor,Poor,Poor,Poor,Medium,Poor,Poor,Fair,Fair,Medium,Not Assessed,Medium,High,High,Low,CPL_MAN_MADE
NLA12_KY-122,1,MAN_MADE,Poor,Good,Poor,Poor,Small,Fair,Fair,Fair,Poor,Medium,Not Assessed,Low,High,Low,Low,SAP_MAN_MADE
NLA12_TN-114,1,MAN_MADE,Poor,Poor,Poor,Fair,Small,Fair,Poor,Poor,Fair,Medium,Not Assessed,Medium,Moderate,Moderate,Low,CPL_MAN_MADE
NLA12_TN-113,1,MAN_MADE,Poor,Good,Poor,Poor,Small,Good,Fair,Fair,Poor,Medium,Not Assessed,Medium,Moderate,Low,No Detect,CPL_MAN_MADE
NLA12_KY-102,1,MAN_MADE,Fair,Good,Fair,Fair,Large,Poor,Poor,Fair,Poor,High,Not Assessed,Medium,Low,Low,Low,SAP_MAN_MADE
NLA12_SC-106,1,RESERVOIR,Good,Good,Good,Poor,Small,Good,Fair,Good,Fair,Low,Not Assessed,Low,Low,Low,Low,SAP_MAN_MADE
NLA12_NC-109,1,MAN_MADE,Fair,Good,Good,Good,Small,Poor,Poor,Fair,Poor,Medium,Not Assessed,Medium,Low,Low,No Detect,SAP_MAN_MADE
NLA12_NC-101,1,RESERVOIR,Poor,Good,Good,Poor,Medium,Poor,Poor,Fair,Poor,Low,Not Assessed,Medium,Low,Moderate,Low,SAP_MAN_MADE
NLA12_NC-108,1,MAN_MADE,Good,Good,Good,Fair,Small,Good,Poor,Poor,Poor,High,Not Assessed,Medium,Low,Low,No Detect,SAP_MAN_MADE
NLA12_SD-138,1,NATURAL,Good,Fair,Good,Good,Small,Fair,Fair,Good,Good,Medium,High,Medium,Low,Low,Low,TPL_NATURAL
NLA12_NM-117,1,NATURAL,Poor,Poor,Poor,Good,Medium,Poor,Poor,Poor,Poor,High,Not Assessed,Medium,Low,Moderate,No Detect,WMT_NATURAL
NLA12_KS-108,1,RESERVOIR,Fair,Poor,Fair,Poor,Small,Poor,Poor,Poor,Fair,Low,Not Assessed,Low,Moderate,Low,Low,TPL_MAN_MADE
NLA12_KY-114,1,MAN_MADE,Poor,Good,Fair,Good,Large,Good,Fair,Fair,Good,Low,Not Assessed,Medium,Low,Moderate,Low,TPL_MAN_MADE
NLA12_NM-133,1,MAN_MADE,Fair,Not Assessed,Poor,Fair,Medium,Good,Fair,Poor,Poor,Medium,Not Assessed,Medium,Not Assessed,Low,No Detect,WMT_MAN_MADE
NLA12_MS-107,1,MAN_MADE,Not Assessed,Fair,Fair,Poor,Large,Poor,Poor,Fair,Poor,Medium,Not Assessed,Medium,Moderate,Low,Low,CPL_MAN_MADE
NLA12_MS-106,1,MAN_MADE,Not Assessed,Fair,Good,Good,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Low,Not Assessed,Medium,Moderate,Low,Low,CPL_MAN_MADE
NLA12_IA-107,1,NATURAL,Poor,Good,Poor,Poor,Small,Fair,Good,Fair,Good,High,Medium,Medium,High,High,Low,TPL_NATURAL
NLA12_SD-130,1,NATURAL,Good,Poor,Poor,Poor,Small,Poor,Poor,Fair,Poor,High,Low,Medium,Moderate,Moderate,Low,TPL_NATURAL
NLA12_KS-109,1,MAN_MADE,Good,Poor,Good,Good,Small,Poor,Fair,Poor,Fair,Medium,Not Assessed,Low,Low,Low,Low,TPL_MAN_MADE
NLA12_SD-182,1,NATURAL,Good,Good,Good,Good,Small,Fair,Fair,Fair,Good,Low,Low,Medium,Low,Low,Low,TPL_NATURAL
NLA12_VA-109,1,MAN_MADE,Poor,Poor,Poor,Poor,Small,Good,Good,Poor,Fair,Low,Not Assessed,Low,Low,Low,No Detect,SAP_MAN_MADE
NLA12_MT-113,1,RESERVOIR,Good,Good,Good,Good,Small,Good,Good,Fair,Good,Low,Not Assessed,Low,Low,Low,No Detect,NPL_MAN_MADE
NLA12_KY-117,1,MAN_MADE,Poor,Good,Poor,Poor,Small,Fair,Poor,Fair,Poor,Low,Not Assessed,Low,Moderate,Low,Low,SAP_MAN_MADE
NLA12_KS-103,1,RESERVOIR,Good,Good,Good,Good,Small,Fair,Fair,Poor,Fair,Low,Not Assessed,Low,Low,Low,Low,TPL_MAN_MADE
NLA12_VA-116,1,MAN_MADE,Fair,Good,Good,Poor,Small,Good,Good,Fair,Good,High,Not Assessed,Medium,Low,Not Assessed,Low,SAP_MAN_MADE
NLA12_SD-166,1,NATURAL,Good,Poor,Good,Fair,Small,Good,Poor,Fair,Poor,Not Assessed,Not Assessed,Not Assessed,Low,Low,Low,TPL_NATURAL
NLA12_SC-103,1,RESERVOIR,Good,Good,Good,Fair,Small,Good,Good,Good,Good,High,Not Assessed,Medium,Low,Low,Low,SAP_MAN_MADE
NLA12_SD-104,1,NATURAL,Poor,Poor,Fair,Poor,Small,Poor,Poor,Fair,Poor,Medium,Low,Medium,Low,Low,Low,TPL_NATURAL
NLA12_SD-122,1,NATURAL,Poor,Poor,Poor,Poor,Small,Fair,Poor,Poor,Poor,Medium,Medium,Medium,Moderate,High,Low,TPL_NATURAL
NLA12_UT-112,1,NATURAL,Fair,Fair,Poor,Poor,Medium,Poor,Fair,Poor,Good,Low,Low,Low,Moderate,Low,Low,WMT_NATURAL
NLA12_UT-128,1,MAN_MADE,Fair,Good,Poor,Fair,Small,Fair,Good,Poor,Good,Low,Not Assessed,Low,Moderate,Low,Low,XER_MAN_MADE
NLA12_PA-107,1,RESERVOIR,Fair,Poor,Poor,Poor,Small,Poor,Poor,Fair,Poor,Medium,Not Assessed,Medium,Low,Low,No Detect,SAP_MAN_MADE
NLA12_MO-109,1,MAN_MADE,Good,Poor,Good,Fair,Small,Fair,Good,Fair,Good,Low,Not Assessed,Low,Moderate,Moderate,Low,TPL_MAN_MADE
NLA12_IA-132,1,NATURAL,Poor,Poor,Poor,Poor,Medium,Poor,Fair,Fair,Good,Low,Medium,Medium,High,High,Low,TPL_NATURAL
NLA12_NC-116,1,MAN_MADE,Poor,Good,Poor,Poor,Medium,Poor,Poor,Fair,Poor,Medium,Not Assessed,Medium,Moderate,Low,No Detect,SAP_MAN_MADE
NLA12_MN-145,1,NATURAL,Fair,Good,Good,Good,Small,Good,Good,Good,Fair,High,Low,Medium,Low,Low,No Detect,UMW_NATURAL
NLA12_MN-118,1,NATURAL,Not Assessed,Good,Poor,Poor,Small,Poor,Poor,Fair,Poor,High,Low,Medium,High,High,Low,UMW_NATURAL
NLA12_MN-111,1,NATURAL,Poor,Good,Good,Good,Small,Fair,Poor,Fair,Fair,High,Medium,Medium,Low,Low,No Detect,UMW_NATURAL
NLA12_ND-104,1,NATURAL,Fair,Good,Poor,Poor,Small,Fair,Fair,Poor,Fair,Medium,Low,Medium,High,High,High,NPL_NATURAL
NLA12_ND-118,1,NATURAL,Poor,Good,Poor,Poor,Small,Good,Poor,Fair,Poor,Low,Low,Low,Low,Low,Low,NPL_NATURAL
NLA12_NM-150,1,MAN_MADE,Fair,Good,Poor,Poor,Small,Good,Good,Poor,Good,Low,Not Assessed,Low,Moderate,Moderate,Low,XER_MAN_MADE
NLA12_UT-104,1,RESERVOIR,Not Assessed,Good,Good,Fair,Small,Good,Good,Poor,Poor,Low,Not Assessed,Low,Low,Low,No Detect,XER_MAN_MADE
NLA12_NV-106,1,RESERVOIR,Poor,Good,Fair,Poor,Small,Fair,Good,Fair,Good,High,Not Assessed,Not Assessed,Low,Low,Low,XER_MAN_MADE
NLA12_NV-101,1,RESERVOIR,Fair,Good,Poor,Poor,Small,Fair,Poor,Good,Poor,Medium,Not Assessed,Low,Low,Low,Low,XER_MAN_MADE
NLA12_KS-125,1,MAN_MADE,Good,Poor,Good,Good,Small,Good,Good,Poor,Good,Low,Not Assessed,Medium,Not Assessed,Low,Low,TPL_MAN_MADE
NLA12_NM-134,1,RESERVOIR,Fair,Good,Good,Good,Small,Good,Good,Fair,Good,Low,Not Assessed,Low,Low,Low,Low,XER_MAN_MADE
NLA12_NM-138,1,RESERVOIR,Poor,Fair,Fair,Poor,Small,Good,Good,Poor,Good,High,Not Assessed,Low,Low,Low,Low,WMT_MAN_MADE
NLA12_NC-103,1,MAN_MADE,Good,Poor,Good,Good,Small,Good,Good,Fair,Good,High,Not Assessed,Medium,Low,Low,Low,CPL_MAN_MADE
NLA12_NM-129,1,RESERVOIR,Poor,Good,Good,Good,Large,Good,Good,Poor,Fair,Low,Not Assessed,Low,Low,Low,Low,SPL_MAN_MADE
NLA12_MO-107,1,NATURAL,Poor,Poor,Poor,Poor,Small,Fair,Fair,Good,Good,Medium,Medium,Medium,High,High,No Detect,CPL_NATURAL
NLA12_KS-138,1,MAN_MADE,Fair,Good,Good,Good,Small,Poor,Poor,Poor,Fair,Not Assessed,Not Assessed,Not Assessed,Low,Moderate,No Detect,SPL_MAN_MADE
NLA12_OK-121,1,RESERVOIR,Good,Poor,Poor,Poor,Small,Good,Good,Fair,Good,Low,Not Assessed,Low,Moderate,High,Low,SPL_MAN_MADE
NLA12_MN-132,1,NATURAL,Poor,Good,Poor,Fair,Small,Good,Good,Good,Good,High,Low,Low,Low,Low,No Detect,UMW_NATURAL
NLA12_UT-102,1,RESERVOIR,Poor,Good,Good,Good,Medium,Good,Good,Fair,Good,High,Not Assessed,Low,Low,Low,Low,XER_MAN_MADE
NLA12_IA-105,1,NATURAL_ENH,Fair,Poor,Poor,Poor,Small,Fair,Poor,Poor,Poor,Medium,Medium,Medium,High,High,Low,TPL_NATURAL
NLA12_NM-160,1,RESERVOIR,Poor,Good,Good,Poor,Large,Poor,Poor,Poor,Poor,Low,Not Assessed,Low,Low,Not Assessed,Low,SPL_MAN_MADE
NLA12_MS-101,1,NATURAL,Fair,Poor,Poor,Poor,Small,Poor,Poor,Fair,Fair,Medium,Medium,Medium,Not Assessed,High,No Detect,CPL_NATURAL
NLA12_MS-102,1,MAN_MADE,Not Assessed,Not Assessed,Fair,Good,Small,Good,Good,Fair,Fair,Medium,Not Assessed,Medium,Not Assessed,Moderate,No Detect,CPL_MAN_MADE
NLA12_MS-104,1,NATURAL,Poor,Poor,Poor,Poor,Small,Good,Good,Fair,Poor,Medium,Medium,Medium,Moderate,High,Low,CPL_NATURAL
NLA12_PA-101,1,RESERVOIR,Good,Good,Poor,Fair,Small,Good,Good,Fair,Fair,Low,Not Assessed,Medium,Low,Moderate,No Detect,SAP_MAN_MADE
NLA12_ND-139,1,NATURAL,Poor,Good,Poor,Poor,Small,Fair,Poor,Poor,Fair,High,Low,Medium,Moderate,Moderate,Low,NPL_NATURAL
NLA12_IA-120,1,NATURAL,Not Assessed,Poor,Good,Poor,Small,Poor,Poor,Poor,Fair,Low,Low,Medium,Low,High,Low,TPL_NATURAL
NLA12_MT-104,1,RESERVOIR,Not Assessed,Good,Good,Good,Small,Fair,Poor,Fair,Poor,High,Not Assessed,Low,Low,Low,Low,NPL_MAN_MADE
NLA12_SD-114,1,NATURAL,Poor,Poor,Poor,Poor,Large,Fair,Poor,Fair,Poor,Low,Medium,Low,Moderate,High,Low,TPL_NATURAL
NLA12_SD-115,1,NATURAL,Poor,Poor,Poor,Poor,Small,Good,Good,Fair,Good,Low,Medium,Low,High,Moderate,Low,TPL_NATURAL
NLA12_ND-146,1,NATURAL,Fair,Poor,Poor,Poor,Small,Good,Fair,Poor,Good,Medium,Low,Medium,Moderate,Moderate,Low,TPL_NATURAL
NLA12_MN-120,1,NATURAL,Poor,Good,Fair,Poor,Small,Fair,Poor,Good,Fair,Low,Low,Low,Low,Low,No Detect,UMW_NATURAL
NLA12_MN-122,1,NATURAL,Poor,Good,Fair,Fair,Small,Good,Good,Poor,Good,Medium,Low,Medium,Low,Low,No Detect,UMW_NATURAL
NLA12_NH-108,1,NATURAL,Fair,Good,Good,Poor,Small,Good,Good,Good,Good,High,Medium,High,Low,Moderate,No Detect,NAP_NATURAL
NLA12_OK-101,1,RESERVOIR,Good,Good,Poor,Fair,Small,Good,Good,Fair,Good,Low,Not Assessed,Low,Low,Moderate,Low,SPL_MAN_MADE
NLA12_OK-291,1,NATURAL,Poor,Poor,Poor,Poor,Small,Good,Good,Good,Good,Low,Low,Low,Moderate,High,Low,SAP_NATURAL
NLA12_UT-110,1,NATURAL_ENH,Fair,Good,Good,Good,Small,Good,Good,Fair,Good,Low,Low,Low,Low,Low,Low,XER_NATURAL
NLA12_VA-108,1,MAN_MADE,Fair,Good,Good,Poor,Small,Good,Good,Good,Good,Low,Not Assessed,Medium,Low,High,No Detect,SAP_MAN_MADE
NLA12_WV-102,1,MAN_MADE,Poor,Good,Good,Good,Small,Fair,Fair,Fair,Good,Not Assessed,Not Assessed,Not Assessed,Low,Moderate,Low,SAP_MAN_MADE
NLA12_OK-108,1,RESERVOIR,Good,Good,Good,Good,Small,Good,Good,Fair,Good,Low,Not Assessed,Low,Moderate,Low,No Detect,SPL_MAN_MADE
NLA12_OK-135,1,RESERVOIR,Good,Good,Poor,Poor,Small,Good,Good,Fair,Good,Low,Not Assessed,Medium,Moderate,High,Low,SPL_MAN_MADE
NLA12_CA-174,1,MAN_MADE,Poor,Poor,Fair,Fair,Small,Fair,Fair,Poor,Good,Low,Not Assessed,Medium,Low,Moderate,Low,XER_MAN_MADE
NLA12_CA-116,1,NATURAL,Good,Good,Good,Poor,Small,Good,Good,Fair,Good,Medium,Low,Medium,Low,Low,No Detect,WMT_NATURAL
NLA12_ND-110,1,NATURAL,Not Assessed,Good,Poor,Poor,Small,Fair,Poor,Poor,Poor,Low,Low,Medium,Moderate,Moderate,Low,NPL_NATURAL
NLA12_VA-125,1,MAN_MADE,Good,Poor,Poor,Fair,Small,Good,Good,Good,Good,Medium,Not Assessed,Medium,Low,Low,Low,SAP_MAN_MADE
NLA12_KS-105,1,RESERVOIR,Good,Good,Poor,Poor,Small,Good,Good,Fair,Good,Low,Not Assessed,Low,Low,Low,Low,SPL_MAN_MADE
NLA12_LA-101,1,NATURAL_ENH,Poor,Good,Poor,Poor,Small,Good,Fair,Fair,Fair,Low,Medium,Medium,High,High,Low,CPL_NATURAL
NLA12_MN-137,1,NATURAL,Poor,Good,Poor,Poor,Small,Poor,Poor,Poor,Poor,Medium,Low,Low,Moderate,High,Low,TPL_NATURAL
NLA12_UT-109,1,RESERVOIR,Poor,Good,Poor,Poor,Large,Good,Fair,Fair,Fair,Low,Not Assessed,Low,Moderate,High,Low,XER_MAN_MADE
NLA12_NY-0104,1,NATURAL,Poor,Fair,Fair,Poor,Small,Good,Good,Fair,Good,Medium,Medium,Medium,Low,Low,No Detect,NAP_NATURAL
NLA12_ND-162,1,NATURAL,Fair,Fair,Poor,Poor,Small,Good,Poor,Poor,Poor,Low,Low,Low,Moderate,High,Low,TPL_NATURAL
NLA12_GA-107,1,MAN_MADE,Fair,Fair,Poor,Poor,Medium,Fair,Poor,Fair,Poor,Low,Not Assessed,Medium,High,High,Low,CPL_MAN_MADE
NLA12_TX-121,1,RESERVOIR,Poor,Poor,Poor,Poor,Small,Good,Good,Fair,Good,Medium,Not Assessed,Medium,Moderate,High,Low,CPL_MAN_MADE
NLA12_VA-114,1,MAN_MADE,Good,Good,Fair,Poor,Small,Good,Fair,Fair,Poor,Low,Not Assessed,Medium,Moderate,Moderate,No Detect,SAP_MAN_MADE
NLA12_WV-106,1,MAN_MADE,Fair,Good,Good,Good,Small,Good,Good,Fair,Good,Not Assessed,Not Assessed,Not Assessed,Low,Moderate,Low,SAP_MAN_MADE
NLA12_ND-178,1,NATURAL,Good,Fair,Good,Fair,Small,Good,Good,Good,Good,High,Low,Medium,Low,Low,No Detect,TPL_NATURAL
NLA12_CA-132,1,MAN_MADE,Good,Poor,Good,Good,Small,Good,Good,Fair,Good,High,Not Assessed,Low,Low,Low,No Detect,WMT_MAN_MADE
NLA12_ND-163,1,RESERVOIR,Good,Good,Poor,Poor,Small,Fair,Poor,Poor,Poor,Low,Not Assessed,Medium,Moderate,High,Low,NPL_MAN_MADE
NLA12_NH-104,1,NATURAL,Fair,Fair,Good,Fair,Small,Fair,Fair,Fair,Fair,High,High,High,Low,Moderate,No Detect,NAP_NATURAL
NLA12_MN-107,1,NATURAL,Poor,Good,Poor,Poor,Small,Fair,Poor,Fair,Fair,High,Medium,Low,High,High,No Detect,UMW_NATURAL
NLA12_LA-134,1,NATURAL,Not Assessed,Poor,Fair,Poor,Small,Poor,Poor,Fair,Poor,Low,Low,Medium,Moderate,High,Low,CPL_NATURAL
NLA12_IA-101,1,NATURAL,Poor,Poor,Poor,Poor,Small,Good,Good,Fair,Good,High,Low,Low,High,Moderate,Low,TPL_NATURAL
NLA12_KS-102,1,RESERVOIR,Fair,Poor,Poor,Fair,Small,Poor,Poor,Fair,Fair,Low,Not Assessed,Low,Moderate,High,Low,SPL_MAN_MADE
NLA12_KS-124,1,MAN_MADE,Fair,Fair,Good,Poor,Small,Fair,Good,Poor,Good,Low,Not Assessed,Low,Moderate,High,Low,TPL_MAN_MADE
NLA12_MO-119,1,MAN_MADE,Good,Poor,Good,Good,Small,Good,Good,Fair,Good,Low,Not Assessed,Medium,Low,High,No Detect,TPL_MAN_MADE
NLA12_NV-127,1,RESERVOIR,Poor,Good,Fair,Good,Small,Good,Fair,Fair,Fair,Medium,Not Assessed,Medium,Moderate,Low,Low,XER_MAN_MADE
NLA12_NV-167,1,RESERVOIR,Poor,Good,Poor,Poor,Small,Good,Good,Poor,Poor,High,Not Assessed,Low,Low,Low,No Detect,XER_MAN_MADE
NLA12_TX-144,1,RESERVOIR,Good,Good,Good,Good,Small,Good,Good,Fair,Good,Low,Not Assessed,Low,Low,Moderate,No Detect,SPL_MAN_MADE
NLA12_LA-102,1,MAN_MADE,Poor,Fair,Fair,Poor,Small,Poor,Poor,Fair,Fair,Low,Not Assessed,Medium,Low,Moderate,Low,CPL_MAN_MADE
NLA12_SD-168,1,MAN_MADE,Fair,Good,Poor,Poor,Small,Fair,Poor,Fair,Poor,Low,Not Assessed,Medium,Low,Low,Low,NPL_MAN_MADE
NLA12_ND-186,1,NATURAL,Fair,Good,Fair,Good,Small,Good,Poor,Poor,Poor,High,Low,Low,Low,Low,No Detect,NPL_NATURAL
NLA12_CA-157,1,MAN_MADE,Poor,Good,Good,Good,Small,Good,Good,Poor,Good,Low,Not Assessed,Medium,Moderate,High,No Detect,XER_MAN_MADE
NLA12_LA-105,1,MAN_MADE,Good,Fair,Good,Poor,Small,Good,Good,Fair,Fair,Low,Not Assessed,Low,Moderate,Low,Low,CPL_MAN_MADE
NLA12_LA-161,1,NATURAL_ENH,Poor,Fair,Fair,Poor,Small,Good,Good,Fair,Good,Low,Low,Low,Moderate,Low,Low,CPL_NATURAL
NLA12_ND-108,1,NATURAL,Poor,Good,Poor,Poor,Small,Good,Poor,Poor,Poor,Low,Low,Medium,High,High,Low,NPL_NATURAL
NLA12_OK-134,1,RESERVOIR,Not Assessed,Good,Poor,Poor,Medium,Poor,Good,Good,Good,Low,Not Assessed,Low,Moderate,High,Low,SPL_MAN_MADE
NLA12_TX-165,1,RESERVOIR,Good,Poor,Good,Good,Medium,Fair,Fair,Good,Good,Low,Not Assessed,Low,Low,Low,Low,CPL_MAN_MADE
NLA12_ND-126,1,NATURAL,Poor,Good,Poor,Poor,Small,Fair,Poor,Poor,Poor,Medium,Low,Medium,High,Not Assessed,Low,NPL_NATURAL
NLA12_KS-101,1,MAN_MADE,Poor,Good,Poor,Poor,Small,Poor,Poor,Poor,Poor,Low,Not Assessed,Low,Low,High,No Detect,SPL_MAN_MADE
NLA12_CA-121,1,MAN_MADE,Poor,Good,Good,Good,Small,Good,Poor,Poor,Poor,High,Not Assessed,Low,Low,Moderate,No Detect,XER_MAN_MADE
NLA12_IA-109,1,NATURAL,Good,Poor,Good,Fair,Small,Good,Good,Good,Good,Low,Medium,Low,Low,Low,No Detect,TPL_NATURAL
NLA12_LA-103,1,MAN_MADE,Poor,Poor,Fair,Poor,Small,Fair,Fair,Fair,Good,Low,Not Assessed,Medium,Low,Low,No Detect,CPL_MAN_MADE
NLA12_LA-152,1,MAN_MADE,Fair,Poor,Fair,Fair,Small,Good,Fair,Fair,Good,Low,Not Assessed,Medium,Moderate,Low,Low,CPL_MAN_MADE
NLA12_MN-102,1,NATURAL,Fair,Good,Good,Poor,Small,Poor,Fair,Fair,Good,High,Medium,Medium,Low,Low,Low,UMW_NATURAL
NLA12_MT-109,1,RESERVOIR,Fair,Good,Good,Good,Small,Poor,Poor,Fair,Poor,Low,Not Assessed,Low,Low,High,No Detect,NPL_MAN_MADE
NLA12_UT-105,1,RESERVOIR,Fair,Fair,Fair,Good,Large,Good,Good,Fair,Fair,High,Not Assessed,High,Low,Low,No Detect,WMT_MAN_MADE
NLA12_TX-117,1,MAN_MADE,Fair,Poor,Poor,Poor,Small,Good,Good,Fair,Good,Medium,Not Assessed,Medium,High,Low,Low,CPL_MAN_MADE
NLA12_OR-110,1,RESERVOIR,Fair,Poor,Good,Good,Small,Good,Good,Fair,Good,High,Not Assessed,High,Low,Low,No Detect,WMT_MAN_MADE
NLA12_OK-120,1,RESERVOIR,Good,Good,Good,Good,Small,Good,Good,Fair,Good,Low,Not Assessed,Medium,Low,Moderate,Low,SPL_MAN_MADE
NLA12_OK-104,1,RESERVOIR,Poor,Good,Good,Good,Large,Good,Good,Fair,Good,Low,Not Assessed,Medium,Moderate,High,No Detect,SPL_MAN_MADE
NLA12_NH-101,1,NATURAL,Good,Good,Good,Fair,Small,Fair,Fair,Good,Fair,High,Low,Medium,Moderate,Low,No Detect,NAP_NATURAL
NLA12_SD-172,1,MAN_MADE,Not Assessed,Good,Fair,Fair,Large,Poor,Poor,Poor,Poor,Medium,Not Assessed,Low,Not Assessed,Not Assessed,Low,NPL_MAN_MADE
NLA12_SD-124,1,MAN_MADE,Poor,Good,Poor,Poor,Small,Poor,Poor,Poor,Poor,High,Not Assessed,Medium,High,Moderate,No Detect,NPL_MAN_MADE
NLA12_SD-140,1,MAN_MADE,Poor,Good,Good,Good,Small,Fair,Poor,Poor,Poor,Low,Not Assessed,Medium,Low,High,No Detect,NPL_MAN_MADE
NLA12_MN-108,1,NATURAL,Poor,Good,Good,Good,Small,Good,Fair,Fair,Good,High,Low,Medium,Low,Low,No Detect,UMW_NATURAL
NLA12_CT-101,1,MAN_MADE,Good,Good,Good,Fair,Small,Good,Good,Good,Good,High,Medium,High,Low,Low,No Detect,NAP_MAN_MADE
NLA12_WV-101,1,MAN_MADE,Good,Good,Good,Good,Small,Poor,Poor,Fair,Poor,High,Not Assessed,Medium,Low,Low,No Detect,SAP_MAN_MADE
NLA12_ND-155,1,NATURAL,Poor,Good,Poor,Poor,Small,Poor,Poor,Poor,Poor,Low,Not Assessed,Low,Low,Moderate,Low,NPL_NATURAL
NLA12_NY-0101,1,NATURAL,Fair,Good,Good,Good,Small,Poor,Poor,Poor,Poor,Low,Low,Low,Low,Moderate,No Detect,NAP_NATURAL
NLA12_OK-109,1,RESERVOIR,Good,Poor,Good,Good,Small,Good,Good,Fair,Fair,Low,Not Assessed,Low,Low,High,Low,TPL_MAN_MADE
NLA12_MT-118,1,NATURAL,Fair,Good,Fair,Poor,Small,Fair,Poor,Poor,Poor,Medium,Low,Low,Low,Low,No Detect,NPL_NATURAL
NLA12_ND-151,1,NATURAL,Good,Good,Poor,Poor,Small,Fair,Poor,Poor,Poor,Low,Low,Low,Moderate,Moderate,Low,NPL_NATURAL
NLA12_WV-115,1,MAN_MADE,Good,Good,Good,Good,Small,Good,Good,Fair,Poor,Low,Not Assessed,Medium,Low,Moderate,Low,SAP_MAN_MADE
NLA12_NH-112,1,MAN_MADE,Good,Good,Good,Fair,Small,Poor,Fair,Fair,Good,High,Not Assessed,Medium,Low,Moderate,No Detect,NAP_MAN_MADE
NLA12_MN-163,1,NATURAL,Fair,Fair,Poor,Poor,Small,Fair,Poor,Poor,Poor,High,Low,Medium,High,High,Low,UMW_NATURAL
NLA12_ND-173,1,NATURAL,Good,Good,Poor,Fair,Small,Poor,Poor,Fair,Poor,High,Low,Low,Low,Low,Low,NPL_NATURAL
NLA12_LA-104,1,MAN_MADE,Poor,Fair,Fair,Poor,Small,Fair,Poor,Poor,Fair,Medium,Not Assessed,High,Moderate,Low,Low,CPL_MAN_MADE
NLA12_NV-103,1,RESERVOIR,Poor,Good,Good,Good,Small,Good,Good,Good,Good,Low,Not Assessed,Low,No Detect,Low,No Detect,XER_MAN_MADE
NLA12_NV-102,1,RESERVOIR,Poor,Good,Fair,Poor,Large,Fair,Poor,Good,Poor,Low,Not Assessed,Low,Low,High,No Detect,XER_MAN_MADE
