SITE_ID,VISIT_NO,TSTATE_TP,TSTATE_TN,TSTATE_CHL,TSTATE_SECCHI
NLA06608-0126,1,4: HYPEREUTROPHIC (>50 ug/L),4: HYPEREUTROPHIC (> 1.4 ug/L),4: HYPEREUTROPHIC (> 30 ug/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0126,2,4: HYPEREUTROPHIC (>50 ug/L),4: HYPEREUTROPHIC (> 1.4 ug/L),4: HYPEREUTROPHIC (> 30 ug/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0127,1,2: MESOTROPHIC (>10-25 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,2: MESOTROPHIC (>2-7 ug/L),2: MESOTROPHIC (2.1-4 m)
NLA06608-0128,1,3: EUTROPHIC (>25-50 ug/L),3: EUTROPHIC (>0.75 to 1.4 mg/,1: OLIGOTROPHIC (<= 2 ug/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0128,2,4: HYPEREUTROPHIC (>50 ug/L),4: HYPEREUTROPHIC (> 1.4 ug/L),4: HYPEREUTROPHIC (> 30 ug/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0129,1,1: OLIGOTROPHIC (<= 10 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),1: OLIGOTROPHIC (<= 2 ug/L),1: OLIGOTROPHIC (> 4 m)
NLA06608-0129,2,1: OLIGOTROPHIC (<= 10 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),1: OLIGOTROPHIC (<= 2 ug/L),1: OLIGOTROPHIC (> 4 m)
NLA06608-0130,1,3: EUTROPHIC (>25-50 ug/L),4: HYPEREUTROPHIC (> 1.4 ug/L),3: EUTROPHIC (>7 to 30 mg/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0132,1,3: EUTROPHIC (>25-50 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,3: EUTROPHIC (>7 to 30 mg/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0134,1,1: OLIGOTROPHIC (<= 10 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),1: OLIGOTROPHIC (<= 2 ug/L),1: OLIGOTROPHIC (> 4 m)
NLA06608-0137,1,1: OLIGOTROPHIC (<= 10 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),1: OLIGOTROPHIC (<= 2 ug/L),1: OLIGOTROPHIC (> 4 m)
NLA06608-0139,1,3: EUTROPHIC (>25-50 ug/L),3: EUTROPHIC (>0.75 to 1.4 mg/,3: EUTROPHIC (>7 to 30 mg/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0140,1,4: HYPEREUTROPHIC (>50 ug/L),3: EUTROPHIC (>0.75 to 1.4 mg/,4: HYPEREUTROPHIC (> 30 ug/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0141,1,3: EUTROPHIC (>25-50 ug/L),3: EUTROPHIC (>0.75 to 1.4 mg/,4: HYPEREUTROPHIC (> 30 ug/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0142,1,1: OLIGOTROPHIC (<= 10 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),1: OLIGOTROPHIC (<= 2 ug/L),1: OLIGOTROPHIC (> 4 m)
NLA06608-0144,1,3: EUTROPHIC (>25-50 ug/L),3: EUTROPHIC (>0.75 to 1.4 mg/,3: EUTROPHIC (>7 to 30 mg/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0144,2,3: EUTROPHIC (>25-50 ug/L),3: EUTROPHIC (>0.75 to 1.4 mg/,2: MESOTROPHIC (>2-7 ug/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0148,1,2: MESOTROPHIC (>10-25 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),1: OLIGOTROPHIC (<= 2 ug/L),2: MESOTROPHIC (2.1-4 m)
NLA06608-0149,1,2: MESOTROPHIC (>10-25 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),2: MESOTROPHIC (>2-7 ug/L),2: MESOTROPHIC (2.1-4 m)
NLA06608-0150,1,2: MESOTROPHIC (>10-25 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,3: EUTROPHIC (>7 to 30 mg/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0152,1,2: MESOTROPHIC (>10-25 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,2: MESOTROPHIC (>2-7 ug/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0153,1,3: EUTROPHIC (>25-50 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,3: EUTROPHIC (>7 to 30 mg/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0155,1,4: HYPEREUTROPHIC (>50 ug/L),4: HYPEREUTROPHIC (> 1.4 ug/L),4: HYPEREUTROPHIC (> 30 ug/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0158,1,2: MESOTROPHIC (>10-25 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,2: MESOTROPHIC (>2-7 ug/L),1: OLIGOTROPHIC (> 4 m)
NLA06608-0161,1,3: EUTROPHIC (>25-50 ug/L),3: EUTROPHIC (>0.75 to 1.4 mg/,4: HYPEREUTROPHIC (> 30 ug/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0162,1,2: MESOTROPHIC (>10-25 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),2: MESOTROPHIC (>2-7 ug/L),2: MESOTROPHIC (2.1-4 m)
NLA06608-0167,1,4: HYPEREUTROPHIC (>50 ug/L),4: HYPEREUTROPHIC (> 1.4 ug/L),4: HYPEREUTROPHIC (> 30 ug/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0167,2,4: HYPEREUTROPHIC (>50 ug/L),4: HYPEREUTROPHIC (> 1.4 ug/L),4: HYPEREUTROPHIC (> 30 ug/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0168,1,3: EUTROPHIC (>25-50 ug/L),3: EUTROPHIC (>0.75 to 1.4 mg/,3: EUTROPHIC (>7 to 30 mg/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0169,1,3: EUTROPHIC (>25-50 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,2: MESOTROPHIC (>2-7 ug/L),1: OLIGOTROPHIC (> 4 m)
NLA06608-0169,2,3: EUTROPHIC (>25-50 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,3: EUTROPHIC (>7 to 30 mg/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0170,1,1: OLIGOTROPHIC (<= 10 ug/L),3: EUTROPHIC (>0.75 to 1.4 mg/,1: OLIGOTROPHIC (<= 2 ug/L),5: CLEAR TO BOTTOM
NLA06608-0173,1,3: EUTROPHIC (>25-50 ug/L),4: HYPEREUTROPHIC (> 1.4 ug/L),4: HYPEREUTROPHIC (> 30 ug/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0174,1,2: MESOTROPHIC (>10-25 ug/L),3: EUTROPHIC (>0.75 to 1.4 mg/,2: MESOTROPHIC (>2-7 ug/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0174,2,2: MESOTROPHIC (>10-25 ug/L),3: EUTROPHIC (>0.75 to 1.4 mg/,2: MESOTROPHIC (>2-7 ug/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0175,1,3: EUTROPHIC (>25-50 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,3: EUTROPHIC (>7 to 30 mg/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0176,1,4: HYPEREUTROPHIC (>50 ug/L),3: EUTROPHIC (>0.75 to 1.4 mg/,3: EUTROPHIC (>7 to 30 mg/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0177,1,1: OLIGOTROPHIC (<= 10 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),2: MESOTROPHIC (>2-7 ug/L),2: MESOTROPHIC (2.1-4 m)
NLA06608-0179,1,4: HYPEREUTROPHIC (>50 ug/L),4: HYPEREUTROPHIC (> 1.4 ug/L),3: EUTROPHIC (>7 to 30 mg/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0179,2,4: HYPEREUTROPHIC (>50 ug/L),4: HYPEREUTROPHIC (> 1.4 ug/L),4: HYPEREUTROPHIC (> 30 ug/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0180,1,3: EUTROPHIC (>25-50 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,4: HYPEREUTROPHIC (> 30 ug/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0181,1,1: OLIGOTROPHIC (<= 10 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,1: OLIGOTROPHIC (<= 2 ug/L),1: OLIGOTROPHIC (> 4 m)
NLA06608-0183,1,3: EUTROPHIC (>25-50 ug/L),3: EUTROPHIC (>0.75 to 1.4 mg/,4: HYPEREUTROPHIC (> 30 ug/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0184,1,3: EUTROPHIC (>25-50 ug/L),3: EUTROPHIC (>0.75 to 1.4 mg/,4: HYPEREUTROPHIC (> 30 ug/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0185,1,1: OLIGOTROPHIC (<= 10 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),2: MESOTROPHIC (>2-7 ug/L),5: CLEAR TO BOTTOM
NLA06608-0189,1,3: EUTROPHIC (>25-50 ug/L),3: EUTROPHIC (>0.75 to 1.4 mg/,4: HYPEREUTROPHIC (> 30 ug/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0189,2,3: EUTROPHIC (>25-50 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,4: HYPEREUTROPHIC (> 30 ug/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0190,1,2: MESOTROPHIC (>10-25 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,2: MESOTROPHIC (>2-7 ug/L),2: MESOTROPHIC (2.1-4 m)
NLA06608-0191,1,1: OLIGOTROPHIC (<= 10 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),1: OLIGOTROPHIC (<= 2 ug/L),1: OLIGOTROPHIC (> 4 m)
NLA06608-0193,1,1: OLIGOTROPHIC (<= 10 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),1: OLIGOTROPHIC (<= 2 ug/L),5: CLEAR TO BOTTOM
NLA06608-0195,1,4: HYPEREUTROPHIC (>50 ug/L),4: HYPEREUTROPHIC (> 1.4 ug/L),3: EUTROPHIC (>7 to 30 mg/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0196,1,3: EUTROPHIC (>25-50 ug/L),3: EUTROPHIC (>0.75 to 1.4 mg/,4: HYPEREUTROPHIC (> 30 ug/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0198,1,2: MESOTROPHIC (>10-25 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,3: EUTROPHIC (>7 to 30 mg/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0201,1,1: OLIGOTROPHIC (<= 10 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),1: OLIGOTROPHIC (<= 2 ug/L),1: OLIGOTROPHIC (> 4 m)
NLA06608-0203,1,1: OLIGOTROPHIC (<= 10 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),1: OLIGOTROPHIC (<= 2 ug/L),1: OLIGOTROPHIC (> 4 m)
NLA06608-0204,1,4: HYPEREUTROPHIC (>50 ug/L),3: EUTROPHIC (>0.75 to 1.4 mg/,4: HYPEREUTROPHIC (> 30 ug/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0207,1,2: MESOTROPHIC (>10-25 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,2: MESOTROPHIC (>2-7 ug/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0207,2,2: MESOTROPHIC (>10-25 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,3: EUTROPHIC (>7 to 30 mg/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0208,1,4: HYPEREUTROPHIC (>50 ug/L),4: HYPEREUTROPHIC (> 1.4 ug/L),4: HYPEREUTROPHIC (> 30 ug/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0209,1,1: OLIGOTROPHIC (<= 10 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),2: MESOTROPHIC (>2-7 ug/L),1: OLIGOTROPHIC (> 4 m)
NLA06608-0209,2,1: OLIGOTROPHIC (<= 10 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),2: MESOTROPHIC (>2-7 ug/L),1: OLIGOTROPHIC (> 4 m)
NLA06608-0211,1,3: EUTROPHIC (>25-50 ug/L),3: EUTROPHIC (>0.75 to 1.4 mg/,3: EUTROPHIC (>7 to 30 mg/L),5: CLEAR TO BOTTOM
NLA06608-0212,1,1: OLIGOTROPHIC (<= 10 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),2: MESOTROPHIC (>2-7 ug/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0215,1,3: EUTROPHIC (>25-50 ug/L),4: HYPEREUTROPHIC (> 1.4 ug/L),4: HYPEREUTROPHIC (> 30 ug/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0216,1,4: HYPEREUTROPHIC (>50 ug/L),3: EUTROPHIC (>0.75 to 1.4 mg/,3: EUTROPHIC (>7 to 30 mg/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0217,1,1: OLIGOTROPHIC (<= 10 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,3: EUTROPHIC (>7 to 30 mg/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0219,1,3: EUTROPHIC (>25-50 ug/L),4: HYPEREUTROPHIC (> 1.4 ug/L),4: HYPEREUTROPHIC (> 30 ug/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0220,1,4: HYPEREUTROPHIC (>50 ug/L),4: HYPEREUTROPHIC (> 1.4 ug/L),4: HYPEREUTROPHIC (> 30 ug/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0221,1,3: EUTROPHIC (>25-50 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,4: HYPEREUTROPHIC (> 30 ug/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0222,1,4: HYPEREUTROPHIC (>50 ug/L),4: HYPEREUTROPHIC (> 1.4 ug/L),4: HYPEREUTROPHIC (> 30 ug/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0223,1,3: EUTROPHIC (>25-50 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,3: EUTROPHIC (>7 to 30 mg/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0223,2,3: EUTROPHIC (>25-50 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,4: HYPEREUTROPHIC (> 30 ug/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0224,1,2: MESOTROPHIC (>10-25 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),1: OLIGOTROPHIC (<= 2 ug/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0224,2,1: OLIGOTROPHIC (<= 10 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,2: MESOTROPHIC (>2-7 ug/L),2: MESOTROPHIC (2.1-4 m)
NLA06608-0225,1,1: OLIGOTROPHIC (<= 10 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),1: OLIGOTROPHIC (<= 2 ug/L),1: OLIGOTROPHIC (> 4 m)
NLA06608-0225,2,3: EUTROPHIC (>25-50 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,1: OLIGOTROPHIC (<= 2 ug/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0226,1,1: OLIGOTROPHIC (<= 10 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),2: MESOTROPHIC (>2-7 ug/L),2: MESOTROPHIC (2.1-4 m)
NLA06608-0228,1,2: MESOTROPHIC (>10-25 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,1: OLIGOTROPHIC (<= 2 ug/L),1: OLIGOTROPHIC (> 4 m)
NLA06608-0228,2,3: EUTROPHIC (>25-50 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,3: EUTROPHIC (>7 to 30 mg/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0229,1,1: OLIGOTROPHIC (<= 10 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),2: MESOTROPHIC (>2-7 ug/L),2: MESOTROPHIC (2.1-4 m)
NLA06608-0234,1,2: MESOTROPHIC (>10-25 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,2: MESOTROPHIC (>2-7 ug/L),2: MESOTROPHIC (2.1-4 m)
NLA06608-0235,1,1: OLIGOTROPHIC (<= 10 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,3: EUTROPHIC (>7 to 30 mg/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0237,1,2: MESOTROPHIC (>10-25 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,1: OLIGOTROPHIC (<= 2 ug/L),5: CLEAR TO BOTTOM
NLA06608-0237,2,2: MESOTROPHIC (>10-25 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,2: MESOTROPHIC (>2-7 ug/L),5: CLEAR TO BOTTOM
NLA06608-0238,1,1: OLIGOTROPHIC (<= 10 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),2: MESOTROPHIC (>2-7 ug/L),2: MESOTROPHIC (2.1-4 m)
NLA06608-0239,1,3: EUTROPHIC (>25-50 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,2: MESOTROPHIC (>2-7 ug/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0240,1,2: MESOTROPHIC (>10-25 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,2: MESOTROPHIC (>2-7 ug/L),2: MESOTROPHIC (2.1-4 m)
NLA06608-0241,1,3: EUTROPHIC (>25-50 ug/L),3: EUTROPHIC (>0.75 to 1.4 mg/,3: EUTROPHIC (>7 to 30 mg/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0242,1,2: MESOTROPHIC (>10-25 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),2: MESOTROPHIC (>2-7 ug/L),2: MESOTROPHIC (2.1-4 m)
NLA06608-0243,1,1: OLIGOTROPHIC (<= 10 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),1: OLIGOTROPHIC (<= 2 ug/L),2: MESOTROPHIC (2.1-4 m)
NLA06608-0244,1,2: MESOTROPHIC (>10-25 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,2: MESOTROPHIC (>2-7 ug/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0245,1,2: MESOTROPHIC (>10-25 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),2: MESOTROPHIC (>2-7 ug/L),1: OLIGOTROPHIC (> 4 m)
NLA06608-0247,1,4: HYPEREUTROPHIC (>50 ug/L),4: HYPEREUTROPHIC (> 1.4 ug/L),4: HYPEREUTROPHIC (> 30 ug/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0253,1,4: HYPEREUTROPHIC (>50 ug/L),3: EUTROPHIC (>0.75 to 1.4 mg/,4: HYPEREUTROPHIC (> 30 ug/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0254,1,4: HYPEREUTROPHIC (>50 ug/L),4: HYPEREUTROPHIC (> 1.4 ug/L),4: HYPEREUTROPHIC (> 30 ug/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0255,1,1: OLIGOTROPHIC (<= 10 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),2: MESOTROPHIC (>2-7 ug/L),2: MESOTROPHIC (2.1-4 m)
NLA06608-0257,1,1: OLIGOTROPHIC (<= 10 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),1: OLIGOTROPHIC (<= 2 ug/L),1: OLIGOTROPHIC (> 4 m)
NLA06608-0259,1,4: HYPEREUTROPHIC (>50 ug/L),4: HYPEREUTROPHIC (> 1.4 ug/L),4: HYPEREUTROPHIC (> 30 ug/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0260,1,1: OLIGOTROPHIC (<= 10 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),1: OLIGOTROPHIC (<= 2 ug/L),2: MESOTROPHIC (2.1-4 m)
NLA06608-0268,1,2: MESOTROPHIC (>10-25 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,3: EUTROPHIC (>7 to 30 mg/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0271,1,3: EUTROPHIC (>25-50 ug/L),3: EUTROPHIC (>0.75 to 1.4 mg/,4: HYPEREUTROPHIC (> 30 ug/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0275,1,4: HYPEREUTROPHIC (>50 ug/L),4: HYPEREUTROPHIC (> 1.4 ug/L),2: MESOTROPHIC (>2-7 ug/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0276,1,1: OLIGOTROPHIC (<= 10 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),1: OLIGOTROPHIC (<= 2 ug/L),1: OLIGOTROPHIC (> 4 m)
NLA06608-0277,1,4: HYPEREUTROPHIC (>50 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,3: EUTROPHIC (>7 to 30 mg/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0279,1,4: HYPEREUTROPHIC (>50 ug/L),4: HYPEREUTROPHIC (> 1.4 ug/L),4: HYPEREUTROPHIC (> 30 ug/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0280,1,3: EUTROPHIC (>25-50 ug/L),3: EUTROPHIC (>0.75 to 1.4 mg/,3: EUTROPHIC (>7 to 30 mg/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0281,1,3: EUTROPHIC (>25-50 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,3: EUTROPHIC (>7 to 30 mg/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0283,1,3: EUTROPHIC (>25-50 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,3: EUTROPHIC (>7 to 30 mg/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0284,1,3: EUTROPHIC (>25-50 ug/L),3: EUTROPHIC (>0.75 to 1.4 mg/,3: EUTROPHIC (>7 to 30 mg/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0285,1,4: HYPEREUTROPHIC (>50 ug/L),4: HYPEREUTROPHIC (> 1.4 ug/L),4: HYPEREUTROPHIC (> 30 ug/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0286,1,1: OLIGOTROPHIC (<= 10 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,2: MESOTROPHIC (>2-7 ug/L),1: OLIGOTROPHIC (> 4 m)
NLA06608-0290,1,4: HYPEREUTROPHIC (>50 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),2: MESOTROPHIC (>2-7 ug/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0290,2,4: HYPEREUTROPHIC (>50 ug/L),3: EUTROPHIC (>0.75 to 1.4 mg/,3: EUTROPHIC (>7 to 30 mg/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0291,1,2: MESOTROPHIC (>10-25 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,2: MESOTROPHIC (>2-7 ug/L),2: MESOTROPHIC (2.1-4 m)
NLA06608-0293,1,3: EUTROPHIC (>25-50 ug/L),3: EUTROPHIC (>0.75 to 1.4 mg/,3: EUTROPHIC (>7 to 30 mg/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0294,1,1: OLIGOTROPHIC (<= 10 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),2: MESOTROPHIC (>2-7 ug/L),1: OLIGOTROPHIC (> 4 m)
NLA06608-0295,1,4: HYPEREUTROPHIC (>50 ug/L),4: HYPEREUTROPHIC (> 1.4 ug/L),2: MESOTROPHIC (>2-7 ug/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0297,1,3: EUTROPHIC (>25-50 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,3: EUTROPHIC (>7 to 30 mg/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0299,1,2: MESOTROPHIC (>10-25 ug/L),3: EUTROPHIC (>0.75 to 1.4 mg/,2: MESOTROPHIC (>2-7 ug/L),2: MESOTROPHIC (2.1-4 m)
NLA06608-0302,1,4: HYPEREUTROPHIC (>50 ug/L),4: HYPEREUTROPHIC (> 1.4 ug/L),4: HYPEREUTROPHIC (> 30 ug/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0303,1,3: EUTROPHIC (>25-50 ug/L),4: HYPEREUTROPHIC (> 1.4 ug/L),4: HYPEREUTROPHIC (> 30 ug/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0306,1,4: HYPEREUTROPHIC (>50 ug/L),4: HYPEREUTROPHIC (> 1.4 ug/L),4: HYPEREUTROPHIC (> 30 ug/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0312,1,3: EUTROPHIC (>25-50 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,3: EUTROPHIC (>7 to 30 mg/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0313,1,2: MESOTROPHIC (>10-25 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),3: EUTROPHIC (>7 to 30 mg/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0318,1,3: EUTROPHIC (>25-50 ug/L),3: EUTROPHIC (>0.75 to 1.4 mg/,3: EUTROPHIC (>7 to 30 mg/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0319,1,2: MESOTROPHIC (>10-25 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),2: MESOTROPHIC (>2-7 ug/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0324,1,2: MESOTROPHIC (>10-25 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),2: MESOTROPHIC (>2-7 ug/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0325,1,3: EUTROPHIC (>25-50 ug/L),3: EUTROPHIC (>0.75 to 1.4 mg/,4: HYPEREUTROPHIC (> 30 ug/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0326,1,1: OLIGOTROPHIC (<= 10 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),1: OLIGOTROPHIC (<= 2 ug/L),1: OLIGOTROPHIC (> 4 m)
NLA06608-0327,1,2: MESOTROPHIC (>10-25 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),4: HYPEREUTROPHIC (> 30 ug/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0328,1,3: EUTROPHIC (>25-50 ug/L),3: EUTROPHIC (>0.75 to 1.4 mg/,4: HYPEREUTROPHIC (> 30 ug/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0328,2,3: EUTROPHIC (>25-50 ug/L),3: EUTROPHIC (>0.75 to 1.4 mg/,4: HYPEREUTROPHIC (> 30 ug/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0330,1,2: MESOTROPHIC (>10-25 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),1: OLIGOTROPHIC (<= 2 ug/L),2: MESOTROPHIC (2.1-4 m)
