SITE_ID,VISIT_NO,SAMPLE_CATEGORY,SAMPLE_ID_CHEM,PH_LAB,PHLAB_FLAG,COND,COND_FLAG,COND_RL_ALERT,ANC,ANC_FLAG,TURB,TURB_FLAG,TURB_RL_ALERT,TOC,TOC_FLAG,TOC_RL_ALERT,DOC,DOC_FLAG,DOC_RL_ALERT,NH4N_PPM,NH4_FLAG,NH4_RL_ALERT,NO3_NO2,NO3NO2_FLAG,NO3NO2_RL_ALERT,NO3N_PPM,NO3_FLAG,NO3_RL_ALERT,NTL,NTL_FLAG,NTL_RL_ALERT,PTL,PTL_FLAG,PTL_RL_ALERT,CHLA,CHLA_RL_ALERT,FLAG_FLD_CHLA,COMMENT_FLD_CHLA,FLAG_LAB_CHLA,CL_PPM,CL_FLAG,CL_RL_ALERT,SO4_PPM,SO4_FLAG,SO4_RL_ALERT,CA_PPM,CA_FLAG,CA_RL_ALERT,MG_PPM,MG_FLAG,MG_RL_ALERT,NA_PPM,NA_FLAG,NA_RL_ALERT,K_PPM,K_FLAG,K_RL_ALERT,COLOR,COLOR_FLAG,COLOR_RL_ALERT,SIO2,SIO2_FLAG,SIO2_RL_ALERT,CATSUM,ANSUM2,SOBC,SECMEAN,CLEAR_TO_BOTTOM,COMMENT_SECCHI,FLAG_SECCHI,COMMENT_FLD_CHEM,COMMENT_LAB_CHEM
NLA06608-0406,1,P,512081,7.24,NA,23.52,NA,N,202.9,NA,0.792,<RL (2),Y,2.17,NA,N,2.34,NA,N,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,172,NA,N,4,<RL (4),N,1.232,N,NA,NA,NA,0.628,NA,N,0.125,<RL (0.5),Y,1.75,NA,N,0.81,NA,N,1.212,NA,N,0.138,NA,N,2,<RL (5),Y,7.587,NA,N,210.57,221.17,210.23,NA,NA,DID NOT RECORD SECCHI AT THE SITE,K,NA,NA
NLA06608-0407,1,P,503871,8.96,NA,1403,NA,N,6959.71,NA,1.8,<RL (2),Y,30.45,NA,N,26.01,NA,N,0.304,NA,N,0.015,<RL (0.02),Y,0.102,NA,N,2872,NA,N,762,NA,N,1.813,N,NA,NA,NA,24.042,NA,N,459.797,NA,N,80.36,NA,N,105.4,NA,N,54.68,NA,N,42.78,NA,N,37,NA,N,39.218,NA,N,16170.63,17218.1,16155.74,2.47,NA,NA,NA,NA,NA
NLA06608-0408,1,P,502551,8.19,NA,346.4,NA,N,3775.35,NA,6.58,NA,N,2.17,NA,N,2.29,NA,N,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,270,NA,N,15,NA,N,5.667,N,NA,NA,NA,1.415,NA,N,8.979,NA,N,64.38,NA,N,5.052,NA,N,1.472,NA,N,0.971,NA,N,5,<RL (5),N,7.28,NA,N,3717.48,4002.21,3717.14,1.17,NA,NA,NA,NA,NA
NLA06608-0413,1,P,506761,7.28,NA,64.83,NA,N,314.61,NA,10.6,NA,N,8.66,NA,N,7.34,NA,N,0.024,NA,N,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,581,NA,N,106,NA,N,108.576,N,NA,NA,NA,6.455,NA,N,2.796,NA,N,4.553,NA,N,1.93,NA,N,3.705,NA,N,1.119,NA,N,43,NA,N,4.487,NA,N,577.54,554.94,575.79,0.95,NA,NA,NA,NA,NA
NLA06608-0414,1,P,505311,7.41,NA,58.79,NA,N,475.63,NA,3.06,NA,N,29.19,NA,N,27.44,NA,N,0.027,NA,N,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,1296,NA,N,40,NA,N,6.688,N,NA,NA,NA,0.233,NA,N,0.661,NA,N,7.074,NA,N,3.021,NA,N,1.002,NA,N,0.262,NA,N,125,NA,N,3.297,NA,N,653.81,496,651.87,0.9,NA,NA,NA,NA,NA
NLA06608-0418,1,P,507241,6.63,NA,66.51,NA,N,56.85,NA,0.919,<RL (2),Y,4.08,NA,N,3.34,NA,N,0.013,<RL (0.02),Y,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,296,NA,N,8,NA,N,2.184,N,NA,NA,NA,15.346,NA,N,2.094,NA,N,1.746,NA,N,0.54,NA,N,8,NA,N,0.385,NA,N,8,NA,N,0.855,NA,N,490.55,533.53,489.39,NA,Y,-ATH:Clear to Bottom Secchi numbers set to missing,NA,NA,NA
NLA06608-0421,1,P,504941,7.78,NA,451.6,NA,N,2075.54,NA,1.08,<RL (2),Y,2.55,NA,N,2.6,NA,N,0.04,NA,N,0.276,NA,N,0.269,NA,N,537,NA,N,9,NA,N,2.184,N,K,NA,NA,65.636,NA,N,15.854,NA,N,36.76,NA,N,7.988,NA,N,40.67,NA,N,0.807,NA,N,14,NA,N,4.333,NA,N,4284.12,4276.17,4281.33,2.9,NA,NA,NA,NA,NA
NLA06608-0425,1,P,504021,8.41,NA,216.8,NA,N,2029.71,NA,8.09,NA,N,7.32,NA,N,7,NA,N,0.34,NA,N,0.027,NA,N,0.076,NA,N,1433,NA,N,234,NA,N,16.16,N,NA,NA,NA,6.821,NA,N,1.574,NA,N,18.94,NA,N,9.056,NA,N,8.428,NA,N,3.881,NA,N,15,NA,N,34.478,NA,N,2177.67,2260.3,2156.17,1.43,NA,NA,NA,NA,NA
NLA06608-0426,1,P,516391,8.31,NA,206.2,NA,N,1689.65,NA,1.48,<RL (2),Y,6.72,NA,N,6.2,NA,N,0.015,<RL (0.02),Y,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,574,NA,N,5,NA,N,3.12,N,NA,NA,NA,8.5,NA,N,5.31,NA,N,24.99,NA,N,6.713,NA,N,3.514,NA,N,0.583,NA,N,5,<RL (5),N,0.363,NA,N,1968.14,2039.96,1967.16,3.6,NA,NA,NA,NA,NA
NLA06608-0432,1,P,506561,7.33,NA,66.2,NA,N,421.01,NA,60.1,NA,N,4.44,NA,N,3.88,NA,N,0.051,NA,N,0.206,NA,N,0.22,NA,N,644,NA,N,218,NA,N,24.8,N,NA,NA,NA,3.999,NA,N,3.135,NA,N,4.031,NA,N,1.508,NA,N,4.693,NA,N,2.504,NA,N,6,NA,N,7.556,NA,N,597.06,614.83,593.42,0.31,NA,NA,NA,NA,NA
NLA06608-0433,1,P,503911,8.01,NA,171,NA,N,995.51,NA,0.712,<RL (2),Y,3.32,NA,N,2.77,NA,N,0.03,NA,N,0.153,NA,N,0.187,NA,N,422,NA,N,7,NA,N,1.68,N,NA,NA,NA,13.296,NA,N,9.613,NA,N,17.25,NA,N,3.604,NA,N,9.105,NA,N,1.135,NA,N,15,NA,N,1.077,NA,N,1584.46,1584.04,1582.42,5.05,NA,NA,NA,NA,NA
NLA06608-0435,1,P,506581,7.28,NA,79.65,NA,N,605.44,NA,9.08,NA,N,19.02,NA,N,17.78,NA,N,0.202,NA,N,0.042,NA,N,0.057,NA,N,1824,NA,N,78,NA,N,23.2,N,NA,NA,NA,1.012,NA,N,3.831,NA,N,7.763,NA,N,3.732,NA,N,2.036,NA,N,0.651,NA,N,54,NA,N,6.07,NA,N,814.02,717.87,799.68,0.8,NA,NA,NA,NA,NA
NLA06608-0436,1,P,516631,7.4,NA,73.1,NA,N,453.58,NA,2.41,NA,N,3.72,NA,N,3.12,NA,N,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,398,NA,N,29,NA,N,18.216,N,NA,NA,NA,2.173,NA,N,6.963,NA,N,7.127,NA,N,1.528,NA,N,3.338,NA,N,1.126,NA,N,11,NA,N,3.474,NA,N,656.04,659.88,655.37,1.52,NA,NA,NA,NA,NA
NLA06608-0439,1,P,514011,8.6,NA,2682,NA,N,9273.11,NA,103,NA,N,108.66,NA,N,66.98,NA,N,0.152,NA,N,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,19200,NA,N,1056,NA,N,377.28,N,NA,NA,NA,41.4,NA,N,1032.531,NA,N,35.3,NA,N,243,NA,N,213.9,NA,N,59.35,NA,N,69,NA,N,26.455,NA,N,32588.61,31938.14,32579.56,0.1,NA,NA,NA,NA,NA
NLA06608-0440,1,P,507631,8.16,NA,201.9,NA,N,1342.85,NA,103,NA,N,5.19,NA,N,4.85,NA,N,0.005,<RL (0.02),Y,0.269,NA,N,0.273,NA,N,853,NA,N,182,NA,N,5.46,N,NA,NA,NA,15.02,NA,N,6.451,NA,N,16.6,NA,N,4.284,NA,N,12.52,NA,N,4.231,NA,N,20,NA,N,7.771,NA,N,1834.27,1920.31,1833.67,0.64,NA,NA,NA,NA,NA
NLA06608-0442,1,P,512511,8.84,NA,2360,NA,N,12893.22,NA,8.19,NA,N,71.71,NA,N,67.34,NA,N,0.46,NA,N,0.081,NA,N,0.909,NA,N,6559,NA,N,385,NA,N,4.496,N,NA,NA,NA,67.966,NA,N,682.297,NA,N,46.03,NA,N,225.5,NA,N,123,NA,N,91.88,NA,N,29,NA,N,20.268,NA,N,28577.41,29080.59,28553.03,0.76,NA,NA,NA,NA,NA
NLA06608-0444,1,P,502221,6.82,NA,26.13,NA,N,71.83,NA,15.5,NA,N,4.32,NA,N,3.72,NA,N,0.015,<RL (0.02),Y,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,383,NA,N,42,NA,N,10.272,N,K,"TEAM LOST INDEX FORM, FORM FILLED OUT BY IM 12/18/2007",NA,1.369,NA,N,4.099,NA,N,1.405,NA,N,0.461,NA,N,1.223,NA,N,1.164,NA,N,7,NA,N,1.189,NA,N,192.23,195.94,191.01,NA,NA,NA,NA,"TEAM LOST INDEX FORM, FORM FILLED OUT BY IM 12/18/2007",NA
NLA06608-0445,1,P,515031,8.23,NA,385.2,NA,N,1682.51,NA,3.55,NA,N,3.82,NA,N,3.54,NA,N,0.043,NA,N,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,336,NA,N,15,NA,N,6.848,N,NA,NA,NA,32.875,NA,N,49.879,NA,N,38.11,NA,N,9.362,NA,N,17.31,NA,N,2.204,NA,N,6,NA,N,0.104,NA,N,3484.22,3648.27,3481.38,1.47,NA,NA,NA,NA,NA
NLA06608-0447,1,P,509721,7.32,NA,96.98,NA,N,316.54,NA,0.573,<RL (2),Y,2.6,NA,N,2.48,NA,N,0.01,<RL (0.02),Y,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,79,NA,N,3,<RL (4),Y,1.205,N,NA,NA,NA,3.648,NA,N,19.264,NA,N,7.22,NA,N,4.131,NA,N,3.607,NA,N,1.698,NA,N,5,<RL (5),N,6.627,NA,N,901.29,820.92,900.53,4.5,NA,NA,NA,NA,NA
NLA06608-0449,1,P,508501,8.96,NA,215.3,NA,N,2257.58,NA,2.56,NA,N,3.07,NA,N,2.81,NA,N,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,404,NA,N,16,NA,N,4.391,N,NA,NA,NA,1.529,NA,N,5.272,NA,N,16.97,NA,N,15.12,NA,N,4.492,NA,N,1.642,NA,N,7,NA,N,17.227,NA,N,2328.68,2410.47,2328.39,1.95,NA,NA,NA,NA,NA
NLA06608-0452,1,P,502231,8.17,NA,694.1,NA,N,3467.88,NA,3.59,NA,N,5.93,NA,N,5.32,NA,N,0.012,<RL (0.02),Y,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,604,NA,N,37,NA,N,7.246,N,NA,NA,NA,45.482,NA,N,114.766,NA,N,41.38,NA,N,21.74,NA,N,68.9,NA,N,6.852,NA,N,12,NA,N,0.084,<RL (0.1),Y,7026.84,7140.18,7026.04,1.21,NA,NA,NA,NA,Live creatures in unfiltered sample.
NLA06608-0453,1,P,507181,6,NA,93.31,NA,N,68.38,NA,2.36,NA,N,21.55,NA,N,19.64,NA,N,0.028,NA,N,0.07,NA,N,0.074,NA,N,1056,NA,N,48,NA,N,4.314,N,F1,FILTER BEGAN TO CLOG AT 600 ML.,NA,16.404,NA,N,5.779,NA,N,3.875,NA,N,2.124,NA,N,7.142,NA,N,2.702,NA,N,125,NA,N,0.727,NA,N,750.91,657.67,747.91,0.75,NA,NA,NA,NA,NA
NLA06608-0454,1,P,503811,7.53,NA,326.6,NA,N,347.44,NA,1.67,<RL (2),Y,4.68,NA,N,4.88,NA,N,0.017,<RL (0.02),Y,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,367,NA,N,16,NA,N,3.2,N,NA,NA,NA,80.42,NA,N,7.07,NA,N,9.409,NA,N,1.973,NA,N,49.47,NA,N,1.406,NA,N,15,NA,N,0.79,NA,N,2820.87,2762.99,2819.65,NA,Y,NA,NA,NA,NA
NLA06608-0456,1,P,503921,8.44,NA,450.7,NA,N,2417.56,NA,3.66,NA,N,5.43,NA,N,5.11,NA,N,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,681,NA,N,29,NA,N,25.098,N,NA,NA,NA,41.345,NA,N,37.817,NA,N,50.82,NA,N,4.117,NA,N,32.72,NA,N,4.453,NA,N,15,NA,N,9.181,NA,N,4412.15,4371.09,4411.83,1.1,NA,NA,NA,NA,NA
NLA06608-0458,1,P,502881,7.78,NA,99.35,NA,N,455.56,NA,5.74,NA,N,10.89,NA,N,10.56,NA,N,0.013,<RL (0.02),Y,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,947,NA,N,39,NA,N,15.056,N,NA,NA,NA,13.288,NA,N,2.503,NA,N,7.09,NA,N,3.472,NA,N,5.148,NA,N,0.963,NA,N,20,NA,N,1.676,NA,N,888.97,882.49,888.05,1.15,NA,NA,NA,NA,NA
NLA06608-0459,1,P,507701,7.83,NA,87.02,NA,N,584.37,NA,1.35,<RL (2),Y,3.91,NA,N,3.66,NA,N,0.01,<RL (0.02),Y,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,200,NA,N,8,NA,N,3.984,N,NA,NA,NA,3.634,NA,N,6.713,NA,N,10.82,NA,N,1.648,NA,N,2.116,NA,N,1.748,NA,N,6,NA,N,0.673,NA,N,812.98,826.65,812.28,2.63,NA,NA,NA,NA,NA
NLA06608-0462,1,P,509651,6.68,NA,14.28,NA,N,55.39,NA,0.647,<RL (2),Y,2.38,NA,N,2.17,NA,N,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,194,NA,N,3,<RL (4),Y,NA,NA,NA,NA,K,0.184,<RL (0.2),Y,2.412,NA,N,1.37,NA,N,0.386,NA,N,0.225,NA,N,0.34,NA,N,0,<RL (5),Y,0.025,<RL (0.1),Y,118.96,111.01,118.61,7.95,NA,NA,NA,NA,NA
NLA06608-0463,1,P,515381,8.36,NA,716.6,NA,N,3293.6,NA,9.38,NA,N,7.1,NA,N,6.91,NA,N,0.097,NA,N,0.014,<RL (0.02),Y,0.005,<RL (0.02),Y,1031,NA,N,82,NA,N,30.72,N,NA,NA,NA,101.662,NA,N,39.106,NA,N,56.21,NA,N,21.24,NA,N,41.85,NA,N,3.199,NA,N,12,NA,N,8.88,NA,N,6461.09,6975.98,6454.87,0.58,NA,NA,NA,NA,NA
NLA06608-0467,1,P,505151,8.37,NA,396.5,NA,N,3561.11,NA,3.53,NA,N,7.32,NA,N,6.22,NA,N,0.033,NA,N,0.079,NA,N,0.168,NA,N,788,NA,N,15,NA,N,12.72,N,NA,NA,NA,15.767,NA,N,16.115,NA,N,29.73,NA,N,29.66,NA,N,6.43,NA,N,1.998,NA,N,21,NA,N,2.25,NA,N,4257.09,4353.35,4254.98,1.1,NA,NA,NA,NA,NA
NLA06608-0468,1,P,510641,7.16,NA,28.49,NA,N,179.62,NA,0.377,<RL (2),Y,1.09,NA,N,1.24,NA,N,0.005,<RL (0.02),Y,0.038,NA,N,0.042,NA,N,179,NA,N,8,NA,N,0.643,N,F1,DRY ICE CARRIED TO LAKE,NA,0.05,<RL (0.2),Y,3.352,NA,N,3.877,NA,N,0.399,NA,N,0.471,NA,N,0.314,NA,N,6,NA,N,1.707,NA,N,255.24,254.31,254.81,7.1,NA,NA,NA,NA,NA
NLA06608-0469,1,P,513461,7.41,NA,63.1,NA,N,294.88,NA,1.19,<RL (2),Y,2.62,NA,N,2.41,NA,N,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,191,NA,N,11,NA,N,3.352,N,NA,NA,NA,5.095,NA,N,5.052,NA,N,7.605,NA,N,1.047,NA,N,1.866,NA,N,0.464,NA,N,5,<RL (5),N,0.943,NA,N,558.93,543.81,558.68,4,NA,NA,NA,NA,NA
NLA06608-0470,1,P,507281,7.23,NA,65.55,NA,N,180.59,NA,0.663,<RL (2),Y,4.51,NA,N,4.15,NA,N,0.022,NA,N,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,193,NA,N,8,NA,N,1.512,N,NA,NA,NA,10.624,NA,N,3.094,NA,N,3.173,NA,N,0.584,NA,N,6.868,NA,N,0.747,NA,N,13,NA,N,0.567,NA,N,525.85,544.73,524.24,5.75,NA,NA,NA,NA,NA
NLA06608-0471,1,P,506731,8.69,NA,407.3,NA,N,4278.29,NA,3.25,NA,N,8.05,NA,N,7.87,NA,N,0.025,NA,N,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,839,NA,N,24,NA,N,5.52,N,NA,NA,NA,3.428,NA,N,17.105,NA,N,30.26,NA,N,31.28,NA,N,5.471,NA,N,4.553,NA,N,6,NA,N,19.562,NA,N,4439.8,4731.11,4438.37,1.77,NA,NA,NA,NA,NA
NLA06608-0472,1,P,507471,7.34,NA,90.94,NA,N,725.87,NA,25,NA,N,10.13,NA,N,9.57,NA,N,0.02,NA,N,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,803,NA,N,78,NA,N,19.2,N,NA,NA,NA,2.531,NA,N,4.233,NA,N,8.812,NA,N,2.785,NA,N,3.184,NA,N,2.883,NA,N,48,NA,N,4.579,NA,N,882.58,885.44,881.12,0.39,NA,NA,NA,NA,NA
NLA06608-0473,1,P,505691,8.45,NA,99.57,NA,N,572.05,NA,4.81,NA,N,3.94,NA,N,3.09,NA,N,0.018,<RL (0.02),Y,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,714,NA,N,55,NA,N,36.823,N,NA,NA,NA,7.425,NA,N,6.128,NA,N,5.877,NA,N,2.396,NA,N,7.05,NA,N,2.433,NA,N,14,NA,N,10.493,NA,N,860.44,909.07,859.31,1.03,NA,NA,NA,NA,NA
NLA06608-0479,1,P,505431,8.06,NA,580.7,NA,N,1691.18,NA,2.39,NA,N,3.22,NA,N,3.08,NA,N,0.012,<RL (0.02),Y,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,318,NA,N,14,NA,N,5.296,N,NA,NA,IM,48.555,NA,N,114.447,NA,N,40.83,NA,N,21.57,NA,N,28.54,NA,N,10.52,NA,N,4,<RL (5),Y,1.344,NA,N,5323.68,5443.8,5322.86,2.92,NA,NA,NA,NA,NA
NLA06608-0480,1,P,513231,8.44,NA,321.9,NA,N,3225.06,NA,0.679,<RL (2),Y,2.89,NA,N,2.79,NA,N,0.012,<RL (0.02),Y,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,194,NA,N,3,<RL (4),Y,1.52,N,NA,NA,NA,4.681,NA,N,9.376,NA,N,35.03,NA,N,20.95,NA,N,4.026,NA,N,1.637,NA,N,10,NA,N,6.365,NA,N,3689.68,3552.3,3688.92,5.21,NA,NA,NA,NA,NA
NLA06608-0480,2,D,517221,8.47,NA,314.8,NA,N,3196.42,NA,0.92,NA,Y,2.53,NA,N,2.71,NA,N,0.017,NA,Y,0.006,NA,Y,0,NA,Y,247,NA,N,4,NA,N,1.066,N,NA,NA,NA,4.738,NA,N,8.895,NA,N,32.84,NA,N,19.87,NA,N,3.517,NA,N,1.332,NA,N,4,NA,Y,6.734,NA,N,3461.98,3515.26,3460.83,NA,NA,NA,NA,NA,NA
NLA06608-0483,1,P,514531,8.4,NA,989.6,NA,N,2210.02,NA,0.851,<RL (2),Y,3.1,NA,N,2.93,NA,N,0.021,NA,N,0.193,NA,N,0.164,NA,N,461,NA,N,4,<RL (4),N,3.84,N,NA,NA,NA,125.736,NA,N,183.318,NA,N,62.32,NA,N,19.06,NA,N,99.89,NA,N,3.887,NA,N,5,<RL (5),N,14.53,NA,N,9123.91,9584.92,9122.57,4.32,NA,NA,NA,NA,NA
NLA06608-0484,1,P,507071,7.7,NA,79.49,NA,N,606.99,NA,19.4,NA,N,7.67,NA,N,5.41,NA,N,0.376,NA,N,0.02,<RL (0.02),N,0.044,NA,N,1519,NA,N,190,NA,N,126.4,N,NA,NA,NA,3.976,NA,N,0.732,NA,N,6.056,NA,N,2.042,NA,N,2.882,NA,N,3.258,NA,N,15,NA,N,13.291,NA,N,705.12,737.54,678.92,0.28,NA,NA,NA,NA,NA
NLA06608-0488,1,P,504921,7.84,NA,180.3,NA,N,1652.2,NA,16.3,NA,N,9.36,NA,N,7.85,NA,N,0.02,NA,N,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,1070,NA,N,162,NA,N,49.68,N,NA,NA,NA,3.588,NA,N,5.415,NA,N,23.44,NA,N,3.931,NA,N,3.583,NA,N,2.969,NA,N,32,NA,N,9.354,NA,N,1726.31,1866.16,1724.92,0.45,NA,NA,NA,NA,NA
NLA06608-0489,1,P,504551,8.81,NA,135.3,NA,N,837.26,NA,14.6,NA,N,12.58,NA,N,11.7,NA,N,0.029,NA,N,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,1275,NA,N,107,NA,N,24.32,N,NA,NA,NA,12.408,NA,N,2.527,NA,N,11.29,NA,N,3.194,NA,N,6.702,NA,N,4.023,NA,N,38,NA,N,9.72,NA,N,1222.18,1239.85,1220.61,0.5,NA,NA,NA,NA,NA
NLA06608-0491,1,P,512811,8.37,NA,429.4,NA,N,3104.53,NA,1.59,<RL (2),Y,7.41,NA,N,7,NA,N,0.015,<RL (0.02),Y,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,665,NA,N,16,NA,N,7.2,N,NA,NA,NA,21.951,NA,N,28.918,NA,N,42.71,NA,N,19.19,NA,N,8.333,NA,N,1.771,NA,N,16,NA,N,8.971,NA,N,4119.06,4325.76,4118.1,NA,Y,NA,NA,NA,NA
NLA06608-0493,1,P,506481,7.96,NA,174.8,NA,N,707.62,NA,3.3,NA,N,3.91,NA,N,3.48,NA,N,0.013,<RL (0.02),Y,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,353,NA,N,15,NA,N,9.472,N,NA,NA,NA,22.727,NA,N,10.214,NA,N,12.65,NA,N,4.726,NA,N,9.914,NA,N,1.74,NA,N,21,NA,N,5.545,NA,N,1496.77,1561.32,1495.87,1.52,NA,NA,NA,NA,NA
NLA06608-0494,1,P,503611,8.37,NA,280.4,NA,N,2956.64,NA,3.64,NA,N,5.19,NA,N,5.02,NA,N,0.02,NA,N,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,401,NA,N,4,<RL (4),N,24.64,N,NA,NA,NA,1.867,NA,N,2.333,NA,N,33.73,NA,N,12.63,NA,N,4.312,NA,N,1.264,NA,N,3,<RL (5),Y,13.698,NA,N,2943.6,3057.88,2942.31,1.65,NA,NA,NA,NA,NA
NLA06608-0495,1,P,513831,8.2,NA,196.3,NA,N,1517.51,NA,0.72,<RL (2),Y,2.32,NA,N,2.26,NA,N,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,136,NA,N,11,NA,N,1.774,N,F1,SEE VIAL FOR VOLUME FILTERED,NA,1.193,NA,N,17.339,NA,N,25.33,NA,N,4.914,NA,N,3.626,NA,N,1.279,NA,N,8,NA,N,11.075,NA,N,1859.1,1912.16,1858.77,4.68,NA,NA,NA,NA,NA
NLA06608-0496,1,P,514081,9.22,NA,3410,NA,N,6451.33,NA,2.27,NA,N,42.22,NA,N,41.92,NA,N,0.142,NA,N,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,4372,NA,N,620,NA,N,0.694,N,NA,NA,NA,141.873,NA,N,1431.744,NA,N,97.77,NA,N,124.8,NA,N,535.4,NA,N,12.91,NA,N,37,NA,N,0.392,NA,N,38772.61,40261.91,38767.08,NA,Y,-ATH:Clear to Bottom Secchi numbers set to missing,NA,NA,NA
NLA06608-0497,1,P,511841,8.49,NA,236.8,NA,N,2438.87,NA,4.91,NA,N,1.43,NA,N,1.44,NA,N,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,156,NA,N,17,NA,N,0.858,N,NA,NA,NA,1.858,NA,N,2.419,NA,N,29.73,NA,N,10.09,NA,N,2.315,NA,N,1.076,NA,N,3,<RL (5),Y,4.772,NA,N,2442.16,2541.64,2442.03,1.42,NA,NA,NA,NA,NA
NLA06608-0498,1,P,512211,8.01,NA,127.6,NA,N,624.37,NA,5.56,NA,N,4.25,NA,N,3.66,NA,N,0.013,<RL (0.02),Y,0.042,NA,N,0.055,NA,N,820,NA,N,44,NA,N,26.424,N,NA,NA,NA,12.452,NA,N,8.357,NA,N,11.44,NA,N,2.091,NA,N,6.521,NA,N,2.476,NA,N,25,NA,N,0.661,NA,N,1090.79,1153.52,1089.9,1.05,NA,NA,NA,NA,NA
NLA06608-0500,1,P,507961,7.17,NA,40.9,NA,N,208.02,NA,2.09,NA,N,2.62,NA,N,2.51,NA,N,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,266,NA,N,21,NA,N,13.12,N,NA,NA,NA,1.909,NA,N,4.114,NA,N,2.442,NA,N,1.185,NA,N,2.485,NA,N,0.926,NA,N,5,<RL (5),N,7.527,NA,N,351.71,347.59,351.14,1.55,NA,NA,NA,NA,NA
NLA06608-0501,1,P,507161,8.35,NA,164.4,NA,N,1358.23,NA,0.806,<RL (2),Y,2.91,NA,N,3.05,NA,N,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,182,NA,N,6,NA,N,0.634,N,NA,NA,NA,7.921,NA,N,5.395,NA,N,8.009,NA,N,11.42,NA,N,5.994,NA,N,0.583,NA,N,9,NA,N,10.667,NA,N,1615.6,1693.98,1615.01,5.95,NA,NA,NA,NA,NA
NLA06608-0502,1,P,515731,8.42,NA,612.4,NA,N,3102.62,NA,1.36,<RL (2),Y,7.2,NA,N,7.37,NA,N,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,648,NA,N,5,NA,N,2.28,N,NA,NA,NA,92.129,NA,N,13.378,NA,N,41.92,NA,N,22.17,NA,N,37.71,NA,N,2.784,NA,N,10,NA,N,1.826,NA,N,5628.02,5979.74,5627.63,3.83,NA,NA,NA,NA,NA
NLA06608-0503,1,P,512881,8.58,NA,2575,NA,N,4366.32,NA,63.2,NA,N,22.68,NA,N,17.18,NA,N,0.022,NA,N,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,5916,NA,N,430,NA,N,244.8,N,NA,NA,NA,27.818,NA,N,1319.882,NA,N,110.5,NA,N,216.9,NA,N,172.5,NA,N,28.33,NA,N,22,NA,N,37.191,NA,N,31591.46,32630.9,31590.14,0.14,NA,NA,NA,NA,NA
NLA06608-0508,1,P,502461,7.8,NA,76.03,NA,N,699.93,NA,86.2,NA,N,7.46,NA,N,6.91,NA,N,0.02,NA,N,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,756,NA,N,283,NA,N,28,N,NA,NA,NA,1.516,NA,N,0.532,NA,N,7.987,NA,N,2.518,NA,N,2.6,NA,N,1.216,NA,N,2,<RL (5),Y,8.618,NA,N,751.35,753.78,749.95,0.26,NA,NA,NA,NA,NA
