SITE_ID,VISIT_NO,IRT,PRT,ORT,MRT,Lake_Vol,ELEV_PT,Max_WSelev,Mean_WSelev,Stdev_WSelev,DOM_GEOL,GEOL_PT,Precip_WS,Precip_PT,P_WY,E,RH_WS,RH_PT,RH_COLMO,RH_FW,T_FW,TMAX_WS,TMEAN_WS,TMIN_WS,TMAX_PT,TMEAN_PT,TMIN_PT,POP_DEN,FarmFert,LvStckCon,LvStckUnC,NnFarmFert,ATM_N,Hum_N,Fert,manure,largest_source,AN
NLA06608-0614,1,0.62,0.21,0.62,0.36,2633539.663,207.02,589,338,91,Sedimentary,Sedimentary,1186.8,1115,1.06,0.63,72,72,0.35,0.54,17.41,27.69,11.07,0.46,28,11.3,0.5,63.79728446,3.237,0.894,3236.352,2.22,3097.904032,4071.507383,5.457,3237.246,Sewage,2.640182727
NLA06608-0616,1,0.23,0.02,0.23,0.15,106235.6167,474.49,537,506,16,Sedimentary,Sedimentary,693.33,697,0.86,0.84,61,61,0.49,0.6,22.85,35.43,14.68,-6.12,35.5,14.8,-6.1,3.164190736,0,0,5092.68,2.438,4056.591617,90.10136799,2.438,5092.68,Manure,7.748392596
NLA06608-0617,1,0.53,0.06,0.53,0.91,3316537.026,2077,2590,2171,60,Volcanic,Sedimentary,627,557,0.41,0.5,52.85,52,0.11,0.34,17.23,27.22,7.57,-9.78,28,8.1,-9.4,0.4,0,0,339.804,0,37480.72014,294.2070805,0,339.804,Atmospheric,2.771621085
NLA06608-0618,1,0.19,0,0.19,0.02,9193324.014,60.03,205,120,25,Sedimentary,Sedimentary,1439.7,1532,1.14,0.92,69.58,69,0.51,0.56,24.31,32.85,18.29,2.55,33.1,18.4,2.4,30.08735123,1131028.727,905081.801,883695.14,14098.812,1296022.203,272882.308,1145127.539,1788776.941,Manure,7.77213037
NLA06608-0619,1,0.22,0.13,0.22,0.36,2024364.635,253.46,284,274,8,Sedimentary,Sedimentary,950.13,948,0.87,0.65,72,72,0.38,0.56,19.39,29.05,9.29,-8.79,29.1,9.3,-8.8,188.8528967,57140.868,15676.957,4180.368,4063.772,22983.25617,19090.37933,61204.64,19857.325,Fertilizer,12.36629804
NLA06608-0622,1,1.59,0.18,1.59,1.31,6627382.07,413.74,450,427,5,Gneiss,Gneiss,653.66,656,0.6,0.59,72,72,0.47,0.61,18.22,27.49,5.39,-18.43,27.5,5.4,-18.4,124.3275087,111930.684,42717.312,15010.172,509.76,52812.19935,40367.43863,112440.444,57727.484,Fertilizer,8.846863985
NLA06608-0623,1,0.09,0.07,0.09,0.16,931630.9262,328.39,380,340,7,Sedimentary,Sedimentary,1003.73,996,1.01,0.65,70.33,71,0.42,0.58,18.46,28.27,9.9,-7.29,28.2,9.9,-7.2,245.2205697,21537.792,3998.976,2488.278,66.6,20598.68705,16372.00925,21604.392,6487.254,Fertilizer,16.78083294
NLA06608-0624,1,0.35,0.07,0.35,0.23,1043810.08,195.91,232,206,5,Sedimentary,Sedimentary,1023.48,1025,0.89,0.73,70.25,70,0.45,0.57,21.54,31,11.9,-6.87,31,11.9,-7,18.02465069,119974.527,7845.119,5399.252,204.525,18356.85396,1672.865196,120179.052,13244.371,Fertilizer,10.75779398
NLA06608-0625,1,0.8,0.36,0.8,0.59,265356.3159,2257.2,2618,2364,84,Sedimentary,Sedimentary,927,931,0.66,0.42,58,58,0.32,0.43,12.56,21.6,3.6,-9,21.3,3.2,-9.3,5.5,0,0,226.548,0,273.4116553,33.06145971,0,226.548,Atmospheric,2.473869283
NLA06608-0627,1,2.19,0.55,2.19,1.37,1714743.525,256.59,278,263,5,Granitic,Granitic,809.33,809,0.65,0.57,69,69,0.43,0.56,17.56,27.78,6.37,-15.25,27.8,6.4,-15.2,73.9038133,3720.96,2752.128,1133.496,52.923,4664.802773,1907.415065,3773.883,3885.624,Atmospheric,9.830463266
NLA06608-0628,1,1.19,0.53,1.19,2.71,4889051.439,2059.13,2186,2088,25,Sedimentary,Sedimentary,473.61,469,0.45,0.55,50,50,0.23,0.38,17.12,28.3,9.03,-9.4,28.5,9.1,-9.5,6.4,0,0,5586.285,0,5864.114789,719.3888523,0,5586.285,Atmospheric,2.837512557
NLA06608-0630,1,0.85,0.25,0.85,0.74,174349.2188,424.93,450,431,5,Granitic,Granitic,808.5,809,0.62,0.51,70,70,0.43,0.55,15.69,25.9,4.4,-16.85,25.9,4.4,-16.8,10.7,0,0,0,2.6,807.1721053,64.67347679,2.6,0,Atmospheric,7.26344701
NLA06608-0632,1,2.25,0.01,2.25,0.04,1983051.609,256.18,344,290,18,Sedimentary,Sedimentary,1043.82,1049,1.18,0.79,66,66,0.52,0.59,22.14,32.27,12.98,-6.8,32.6,13.2,-6.5,35.55042101,461741.545,28058.343,174788.517,3082.635,157454.9151,29401.63228,464824.18,202846.86,Fertilizer,10.35496386
NLA06608-0634,1,0.95,0.03,0.95,0.48,92552.17229,663.58,697,678,8,Sedimentary,Sedimentary,444.89,444,0.45,0.55,65,65,0.36,0.54,17.36,27.8,4.12,-19.34,27.8,4.1,-19.4,2.8,17368.35,214.665,1921.68,224.94,3331.48449,111.1114162,17593.29,2136.345,Fertilizer,4.566213385
NLA06608-0635,1,0.32,0.7,0.7,4.04,4062839.204,1562.41,1820,1608,50,Sedimentary,Sedimentary,399.12,386,0.42,0.6,52,52,0.27,0.37,19.27,30.06,9,-10.02,30.3,9.1,-10.2,127.8136705,30258.48,14193.536,7949.123,61.69,4817.050014,9606.930787,30320.17,22142.659,Fertilizer,3.485722898
NLA06608-0637,1,1.4,1.33,1.4,4.54,318463969.4,2304,3202,2505,176,Sedimentary,Sedimentary,634.86,521,0.44,0.42,50.99,51,0.18,0.29,13.9,24.41,2.84,-15.03,25.4,2.9,-16.5,0.121098983,0,0,77735.607,3.444,151649.1349,363.3166266,3.444,77735.607,Atmospheric,2.749249905
NLA06608-0641,1,0.12,0.34,0.34,0.92,402329.1814,713.93,1146,871,123,Granitic,Granitic,690.5,699,0.5,0.54,65,65,0.24,0.45,16.56,26.8,6.5,-8.45,26.5,6.3,-8.6,8.668665912,51.744,13.202,359.976,0,678.7775442,110.4487727,51.744,373.178,Atmospheric,2.897596421
NLA06608-0648,1,0.67,0.02,0.67,0.07,54668.58325,730.78,762,737,6,Sedimentary,Sedimentary,619.75,620,0.8,0.65,63,63,0.5,0.57,19.26,30.7,8.7,-12.7,30.7,8.7,-12.7,0.8,0,0,0,0,1584.344807,12.55159319,0,0,Atmospheric,5.492371382
NLA06608-0649,1,0.4,0.12,0.4,0.14,1361704.052,2227.25,2724,2395,117,Granitic,Granitic,1246.72,1228,0.86,0.43,62.5,62,0.3,0.41,14.09,23.13,5.51,-7.52,23.8,5.9,-7.4,0.9,0,0,249.236,9.86,3349.377403,63.88578286,9.86,249.236,Atmospheric,2.566382783
NLA06608-0650,1,0.67,0.37,0.67,0.66,48012868.91,1973,3173,2254,272,Gneiss,Gneiss,873.84,631,0.5,0.41,58.48,63,0.23,0.41,14.07,23.29,1.73,-14.86,25.5,2.4,-15.9,0.804742192,688.244,10.877,46188.122,242.391,81772.07728,1144.110489,930.635,46198.999,Atmospheric,3.128332409
NLA06608-0651,1,0.68,0.1,0.68,0.35,10039901.16,167.65,389,209,32,Sedimentary,Sedimentary,1449.25,1445,0.92,0.87,69.05,69,0.48,0.51,24.47,32.08,16.51,0.12,32.4,16.7,0.2,389.6092355,18510.237,21421.146,18743.581,28227.934,126503.1728,231443.7826,46738.171,40164.727,Sewage,11.58255047
NLA06608-0654,1,0.91,0.05,0.91,0.2,132284.1827,501.71,529,509,5,Volcanic,Volcanic,793.33,793,0.58,0.51,70,69,0.49,0.61,15.8,25.33,4.28,-17.63,25.4,4.3,-17.6,9.828782342,0,0,1.32,19.899,3465.293455,271.6598245,19.899,1.32,Atmospheric,6.819199232
NLA06608-0657,1,0.27,0.04,0.27,0.07,357940.7186,271.91,336,301,15,Sedimentary,Sedimentary,1007.64,1008,1.09,0.49,70,70,0.44,0.57,14.41,24.52,3.58,-18.35,24.5,3.6,-18.4,0.1,0,0,1.716,0,3019.656892,4.303801786,0,1.716,Atmospheric,3.816140857
NLA06608-0658,1,1.99,0.89,1.99,1.11,4052244.614,30.36,151,58,29,Sedimentary,Sedimentary,1876.6,1842,1.78,0.58,76,76,0.55,0.68,13.73,21.56,11.12,2.72,21,11,2.9,33.3,0,0,168.868,18.765,343.9263015,461.6623722,18.765,168.868,Sewage,1.349286587
NLA06608-0659,1,0.49,0.01,0.49,0.17,779590.6479,455.1,512,478,11,Sedimentary,Sedimentary,480.64,492,0.58,0.54,67,67,0.48,0.58,16.28,26.81,3.24,-21.51,27.1,3.5,-21.3,2.8900404,864655.177,2767.281,25074.478,1566.078,112417.4708,2752.10602,866221.255,27841.759,Fertilizer,6.420836664
NLA06608-0660,1,0.81,0.1,0.81,0.17,502858.9257,211.85,216,208,3,Sedimentary,Sedimentary,1015.67,1017,1.08,0.69,71,71,0.46,0.56,20.67,29.9,11.28,-7.2,29.9,11.3,-7.2,215.117611,0,0,0,1293.197,7439.276508,5675.302959,1293.197,0,Atmospheric,15.33686787
NLA06608-0661,1,0.17,0.01,0.17,0.01,909878.2798,299.09,628,412,58,Sedimentary,Sedimentary,1128.04,1074,1.01,0.58,67.55,67,0.49,0.58,16.97,26.31,7.72,-9.94,26.9,8,-9.7,119.1663083,55511.563,51029.705,30354.998,8460.781,129257.7942,77665.91039,63972.344,81384.703,Atmospheric,10.78695451
NLA06608-0662,1,0.22,0.24,0.24,0.33,1769410.346,479.96,615,507,29,Sedimentary,Sedimentary,1117.13,1117,1.24,0.48,67,67,0.49,0.62,12.74,23.36,3.1,-18.41,23.3,3.1,-18.4,3.1,0,0,123.42,92.85,4338.875469,99.80323017,92.85,123.42,Atmospheric,7.33015808
NLA06608-0663,1,0.39,0.03,0.39,0.15,276580.0832,527.91,576,552,11,Sedimentary,Sedimentary,573.18,574,0.67,0.6,68,68,0.52,0.59,18.01,28.74,6.2,-17.21,28.9,6.2,-17.2,6.21809001,31422.078,6732.485,6732.485,231.87,9498.752613,426.4436954,31653.948,13464.97,Fertilizer,7.533225054
NLA06608-0665,1,0.08,0.01,0.08,0.04,457025.7286,71.99,164,109,18,Sedimentary,Sedimentary,1213.53,1213,0.94,0.86,66,66,0.46,0.54,23.6,32.46,16.15,-0.61,32.5,16.3,-0.5,11.9,0,0,1062.704,974.61,39995.76671,2189.745496,974.61,1062.704,Atmospheric,11.82187614
NLA06608-0671,1,0.82,0.02,0.82,0.04,80763.9259,3297.74,3843,3488,132,Sedimentary,Sedimentary,872.67,846,0.77,0.31,49,49,0.31,0.4,7.18,17.73,-0.8,-17.03,18.1,-0.6,-16.9,0.5,0,0,854.46,0,1249.323792,12.3760716,0,854.46,Atmospheric,2.745245957
NLA06608-0672,1,0.2,0.11,0.2,0.31,4463085.41,121.74,130,125,2,Sedimentary,Sedimentary,1009.05,1010,0.86,0.77,69.88,70,0.47,0.56,22.62,31.76,13.05,-6.11,31.7,13,-6.1,1287.922204,71000.71,5145.506,4830.852,19980.66,65234.45128,338690.8339,90981.37,9976.358,Sewage,13.49218414
NLA06608-0674,1,0.2,0.1,0.2,0.15,205600.0437,515.86,643,541,27,Sedimentary,Sedimentary,1309,1305,1.25,0.51,69,69,0.56,0.65,15.34,24.05,6.4,-11.55,23.9,6.4,-11.5,27.7,0,0,0,60.164,1651.723622,245.0561272,60.164,0,Atmospheric,10.15478288
NLA06608-0677,1,1.05,0.06,1.05,1.28,944712.452,1272.22,2819,1556,345,Volcanic,Volcanic,427.96,354,0.29,0.6,62.17,62,0.17,0.36,17.94,29.49,8.83,-6.1,30.6,9.4,-6.2,0.1,1519.896,3181.71,12590.557,0,6813.552865,30.70261184,1519.896,15772.267,Manure,1.207028061
NLA06608-0678,1,0.09,0,0.09,0,945149.4023,1514.87,3120,1920,256,Volcanic,Volcanic,2042.11,1559,1.61,0.43,65.88,65,0.31,0.49,11.96,20.73,3.36,-7.53,23.2,5.2,-7,1.786953485,0,0,2913.854,127.984,27507.12775,1336.307435,127.984,2913.854,Atmospheric,2.000650221
NLA06608-0679,1,1.25,0.13,1.25,0.44,1142044.711,248.15,265,254,3,Sedimentary,Sedimentary,771.75,773,0.78,0.64,68,68,0.41,0.55,19.33,28.88,7.3,-15.7,28.9,7.3,-15.7,3673.044372,438.104,98.716,46.398,15601.394,18307.37869,225466.7711,16039.498,145.114,Sewage,16.22141942
NLA06608-0681,1,0.15,0.01,0.15,0.02,3288063.27,238.52,855,479,132,Sedimentary,Sedimentary,1333.34,1169,0.98,0.67,72.84,71,0.42,0.57,20.01,28.34,10.86,-6.24,30.2,11.9,-5.8,18.12321311,15683.813,547.142,62632.236,126.61,543501.2542,40911.4658,15810.423,63179.378,Atmospheric,13.09512857
NLA06608-0686,1,0.39,0,0.39,0.03,56436.29536,405.58,455,418,6,Granitic,Granitic,617.78,618,0.61,0.59,71,71,0.46,0.59,18.22,27.71,5.4,-18.9,27.8,5.4,-18.9,19.56513343,49255.367,18797.856,6428.68,187.68,18997.7187,2374.962634,49443.047,25226.536,Fertilizer,8.51229262
NLA06608-0687,1,0.53,0.12,0.53,0.22,650644.8887,3070.94,3318,3174,63,Sedimentary,Sedimentary,910.88,833,0.93,0.35,52,52,0.32,0.38,9.77,20.19,1.6,-14.44,21.4,2.4,-13.9,7.422568056,0,0,1182.211,0,1368.493986,226.6101046,0,1182.211,Atmospheric,2.438017783
NLA06608-0690,1,0.12,0,0.12,0,353300.8355,75.77,247,154,31,Granitic,Granitic,1274.68,1260,1.21,0.62,67.2,67,0.46,0.54,18.2,27.35,9.1,-8.77,27.8,9.4,-8.4,271.2159848,46788.952,19552.432,10267.154,4.706,270226.0514,330549.1729,46793.658,29819.586,Sewage,12.05939392
NLA06608-0692,1,0.26,0.16,0.26,0.52,126373.0901,648.47,652,650,0,Sedimentary,Sedimentary,645,645,0.91,0.68,64,64,0.45,0.59,20.22,31.9,10.3,-10.9,31.9,10.3,-10.9,91,4644.018,518.938,523.38,0.087,734.7739885,436.6153618,4644.105,1042.318,Fertilizer,8.329428662
NLA06608-0693,1,0.06,0,0.06,0,929183.8689,300.34,4212,2339,776,Granitic,Granitic,1070.52,568,0.34,0.82,61.31,59,0.23,0.35,22.86,23.48,6.72,-6.61,36.1,15.8,0.6,4.420946406,0,0,524871.855,6589.02,978576.427,91001.69094,6589.02,524871.855,Atmospheric,2.585708699
NLA06608-0696,1,0.15,0.01,0.15,0.04,107883.457,307.94,381,329,14,Sedimentary,Sedimentary,980.25,970,1.42,0.91,63,63,0.55,0.65,23.25,34.86,16.34,-2.8,35,16.4,-2.8,20.32091294,15961.47,1707.99,11381.128,51.45,6259.780492,760.6319137,16012.92,13089.118,Fertilizer,9.095924258
NLA06608-0707,1,0.51,0,0.51,0.04,144034.6045,527.1,603,558,14,Sedimentary,Sedimentary,459,459,0.57,0.57,66,66,0.43,0.57,17.17,28.26,4.7,-19.34,28.3,4.7,-19.3,4.1,63486.681,1774.772,23176.8,1010.377,27790.17689,1141.224817,64497.058,24951.572,Fertilizer,5.430289951
NLA06608-0709,1,0.73,0.01,0.73,0.09,318927.7513,18.92,56,30,11,Sedimentary,Sedimentary,1295.97,1284,1.01,1.06,73,73,0.55,0.61,25.66,32.9,21.82,8.48,32.8,21.8,8.5,783.3815683,76793.044,8565.498,23592.43,1552.11,47661.46626,256752.3367,78345.154,32157.928,Sewage,7.909433918
NLA06608-0710,1,0.42,0.13,0.42,0.22,331175.1831,1.75,20,9,4,Quaternary,Quaternary,1233,1232,1.16,0.62,71,71,0.54,0.61,17.72,26.45,10,-5.75,26.4,10,-5.7,399.6589075,2132.724,218.95,85.59,391.588,2417.482376,4745.04825,2524.312,304.54,Sewage,11.07468136
NLA06608-0711,1,0.27,0.01,0.27,0.03,13424863.79,27.67,122,58,15,Sedimentary,Quaternary,1545.24,1571,1.82,0.98,72.8,73,0.54,0.66,24.87,33.84,19.09,3.04,33.8,19.4,3.6,117.0689414,523230.985,69401.558,190315.658,9522.745,410716.181,347869.9808,532753.73,259717.216,Fertilizer,7.517710716
NLA06608-0712,1,0.15,0.02,0.15,0.06,145603.621,234.15,299,266,15,Sedimentary,Sedimentary,886.67,888,1.44,0.98,64,64,0.54,0.61,24.29,35.92,18.55,0.3,36,18.6,0.3,5,0,0,1523.802,7.525,5025.283779,140.0443076,7.525,1523.802,Atmospheric,9.758525333
NLA06608-0713,1,1.24,0.1,1.24,0.16,13045753.88,1709.58,2783,2042,204,Volcanic,Volcanic,964.68,577,0.31,0.48,55.05,59,0.22,0.34,15.24,25.2,5.47,-8.94,28.1,6.1,-10.9,4.154819401,0,0,60917.092,463.964,119893.7781,9641.660933,463.964,60917.092,Atmospheric,2.810062639
NLA06608-0715,1,0.72,0.08,0.72,0.2,10674224.56,1951.04,4343,2881,470,Granitic,Granitic,723.29,494,0.54,0.49,55.78,53,0.25,0.39,15.89,21.89,2.87,-11.33,27,7.5,-7.1,17.50270032,204.092,14.541,30347.163,610.565,72566.21025,25066.09948,814.657,30361.704,Atmospheric,2.755952954
NLA06608-0717,1,0.06,0.01,0.06,0.01,576889.7599,4.07,24,15,3,Sedimentary,Sedimentary,1138.61,1141,1.01,0.75,65.06,65,0.47,0.57,21.16,30.36,12.82,-3.75,30.5,13,-3.6,598.4077036,317956.1,40765.56,4398.128,13215.816,118263.8814,260675.5813,331171.916,45163.688,Fertilizer,14.76617504
NLA06608-0718,1,0.49,0.46,0.49,1.12,299007.3219,846.96,861,849,2,Sedimentary,Sedimentary,393.5,394,0.39,0.57,64,64,0.35,0.53,18.22,28.9,5.85,-15.7,28.9,5.8,-15.7,0.6,181.116,1.482,430.768,0.528,526.3907811,5.433934847,181.644,432.25,Atmospheric,3.161288686
NLA06608-0720,1,0.95,0.01,0.95,0.34,18567822.86,702.53,1043,841,80,Sedimentary,Sedimentary,550.66,612,0.72,0.71,61.65,62,0.39,0.51,21.45,33.16,11.05,-9.92,33,11,-10.2,7.730661969,6627993.983,655016.007,1247827.25,3526.77706,1148233.883,75400.97607,6631520.76,1902843.257,Fertilizer,6.403083023
NLA06608-0721,1,0.37,0.14,0.37,0.21,1529894.79,238.87,650,329,94,Volcanic,Volcanic,1776.43,1750,1.56,0.58,71,71,0.38,0.56,15.46,24.79,9.4,-0.96,25,9.5,-0.8,17.91735629,1875.846,3319.694,1863.21,12.558,2970.733607,667.0237749,1888.404,5182.904,Manure,4.340256379
NLA06608-0723,1,0.81,0.02,0.81,0.33,416889.8808,1057.7,1147,1089,18,Sedimentary,Sedimentary,474.08,474,0.34,0.61,59,59,0.33,0.43,19.57,31.09,8.12,-12.2,31.2,8.2,-12.2,2.799237166,21225.576,4822.67,57977.97,15.51,26966.73175,1089.01439,21241.086,62800.64,Manure,3.770105045
NLA06608-0724,1,0.67,0.46,0.67,0.68,902225.1645,207.12,223,206,4,Sedimentary,Sedimentary,1084.67,1087,1.09,0.69,73,73,0.4,0.55,20.92,30.63,11.8,-6.4,30.6,11.8,-6.4,1291.620303,3029.904,193.339,147.056,62.999,2276.820716,12594.89004,3092.903,340.395,Sewage,12.69955128
NLA06608-0726,1,0.07,0.01,0.07,0.01,258990.9011,124.81,527,249,79,Sedimentary,Granitic,1229.96,1189,1.24,0.55,67.44,67,0.43,0.57,16,26.31,6.09,-14.27,27.2,6.9,-13.5,28.94729754,912.576,572.397,1161.37,334.224,24537.05397,6241.149177,1246.8,1733.767,Atmospheric,6.189918613
NLA06608-0727,1,1.06,0.22,1.06,0.83,338856.5664,559.28,575,565,3,Sedimentary,Sedimentary,557.67,558,0.67,0.59,68,68,0.48,0.59,17.88,28.3,5.9,-17.77,28.3,5.9,-17.8,4.3,4180.54,836.29,2032.736,6.975,1798.001286,55.04164675,4187.515,2869.026,Fertilizer,7.639872196
NLA06608-0731,1,0.78,0.04,0.78,0.11,709137.1563,278.33,293,279,5,Sedimentary,Sedimentary,937.45,937,1.02,0.64,70,70,0.51,0.57,19.27,28.78,9.56,-8.92,28.8,9.6,-8.9,80.14062832,93359.848,13662.785,9256.5,675.4,21263.69132,7160.118711,94035.248,22919.285,Fertilizer,12.94464779
NLA06608-0733,1,0.25,0,0.25,0.03,1079643.157,1021.29,3488,1735,312,Sedimentary,Volcanic,285.24,175,0.1,0.82,44.03,33,0.05,0.15,25.39,32.04,10.01,-7.72,36.8,14.8,-3.5,0.346289743,96722.468,67433.593,175974.361,382.298,970011.4899,9161.777078,97104.766,243407.954,Atmospheric,1.994140918
NLA06608-0734,1,0.13,0.04,0.13,0.14,755101.0505,189.3,237,211,9,Sedimentary,Sedimentary,799.19,783,0.71,0.53,72.8,73,0.43,0.57,15.73,24.86,5.5,-12.72,24.9,5.5,-12.6,9.2,65.365,45.815,69.19,9.386,9792.580144,1300.665336,74.751,115.005,Atmospheric,3.767371558
NLA06608-0738,1,1.03,0.51,1.03,0.79,4134369.965,427.87,628,459,38,Granitic,Granitic,1284.33,1280,1.34,0.58,70,70,0.5,0.63,16.01,25.62,7.38,-10.4,25.7,7.3,-10.5,18.9,0,0,190.032,8.32,4569.872263,628.4381882,8.32,190.032,Atmospheric,7.475192069
NLA06608-0743,1,0.82,0.03,0.82,0.18,869101.3461,284.76,332,301,9,Sedimentary,Sedimentary,743.84,747,0.7,0.61,72.64,73,0.42,0.57,18.9,28.32,6.54,-16.9,28.4,6.6,-16.9,106.4324394,100300.922,37740.94,12011.555,855.984,56541.20541,28412.06069,101156.906,49752.495,Fertilizer,11.52007759
NLA06608-0744,1,0.02,0.01,0.02,0.02,110635.7543,316.02,360,337,10,Sedimentary,Sedimentary,966.46,966,1.32,0.8,64,64,0.5,0.6,22.09,33.25,13.78,-6.37,33.3,13.8,-6.3,2,17858.265,0.2055981,11450.348,14.56,9084.465342,109.5715795,17872.825,11450.5536,Fertilizer,9.018836315
NLA06608-0749,1,0.03,0,0.03,0,73615.25396,70.84,165,111,17,Sedimentary,Sedimentary,1112.45,1103,0.87,0.75,66.96,67,0.42,0.56,21.42,30.74,13.1,-4.27,30.9,13.2,-4.2,68.77250497,51711.288,13833.751,54426.692,5389.628,149865.4566,45004.325,57100.916,68260.443,Atmospheric,12.45607433
NLA06608-0751,1,0.68,0.04,0.68,0.16,50095445.99,255.38,1314,630,165,Sedimentary,Sedimentary,1687.57,1458,0.74,0.76,67.58,69,0.5,0.53,22.4,29.55,13.39,-2.82,30.9,14.4,-2,38.8974745,151464.911,318248.355,179752.98,4281.685,1667793.36,325609.8411,155746.596,498001.335,Atmospheric,10.83640384
NLA06608-0753,1,0.7,0.11,0.7,0.19,1898467.758,397.87,524,433,30,Sedimentary,Sedimentary,1223.48,1218,1.13,0.57,69,69,0.5,0.62,16.68,26.36,7.86,-9.51,26.6,8,-9.4,83.6968941,6150.144,7272.408,3983.534,299.13,15962.39374,6908.386391,6449.274,11255.942,Atmospheric,10.51840285
NLA06608-0754,1,1.65,1.46,1.65,2.17,9447907.463,178.4,234,194,15,Granitic,Granitic,1274.71,1273,1.2,0.6,67,67,0.48,0.56,17.48,27.17,8.5,-9.74,27.2,8.4,-9.8,118.4106886,0,0,3.315,757.44,6195.769083,3472.084212,757.44,3.315,Atmospheric,11.49251128
NLA06608-0755,1,0.14,0.01,0.14,0.21,105204.2212,599.28,646,623,10,Sedimentary,Sedimentary,475.9,476,0.56,0.61,64,64,0.45,0.53,18.71,30.36,6.82,-16.16,30.5,6.9,-16.2,1.5,28381.495,3304.337,11473.364,52.234,7416.711286,132.7373209,28433.729,14777.701,Fertilizer,4.55857016
NLA06608-0756,1,0.86,0.04,0.86,0.12,1497039.159,329.89,390,360,14,Sedimentary,Sedimentary,910.05,911,1.33,0.91,63.5,63,0.62,0.67,23.21,34.92,16.56,-2.41,35,16.6,-2.4,23.31146884,4571.012,184.508,33149.005,129.823,23111.27863,3553.876425,4700.835,33333.513,Manure,8.245373796
NLA06608-0759,1,0.25,0.01,0.25,0.06,2952177.416,372.25,447,398,18,Sedimentary,Sedimentary,758.41,774,0.81,0.63,70,70,0.57,0.6,19.19,28.89,7.36,-15.21,28.9,7.4,-15.1,12.50303566,3243262.555,1011004.213,77811.26,1497.381,566355.4105,28902.97846,3244759.936,1088815.473,Fertilizer,13.32542236
NLA06608-0761,1,0.54,0.03,0.54,0.05,476196.3715,97.81,197,147,26,Sedimentary,Sedimentary,1297.93,1290,1.5,0.68,66,66,0.41,0.52,19.43,28.95,10.59,-6.53,28.8,10.5,-6.6,2732.227424,323.61,0,0,17115.942,21251.38025,182719.6592,17439.552,0,Sewage,17.28374183
NLA06608-0762,1,1.13,0.02,1.13,0.14,352918.3873,568.2,640,604,10,Sedimentary,Sedimentary,442.06,444,0.48,0.57,66,66,0.39,0.56,17.48,28.13,4.7,-18.9,28.3,4.8,-18.9,1.4,105285.378,1078.857,14812.144,138.06,19044.74058,337.0029936,105423.438,15891.001,Fertilizer,4.303168944
NLA06608-0764,1,1.01,0,1.01,0.01,6553017.063,951.6,3945,1887,503,Sedimentary,Sedimentary,410.56,482,0.66,0.66,55.99,62,0.39,0.52,20.23,28.28,6.12,-11.83,32.1,9.9,-10.6,10.09432963,55735360.04,13396093.68,35369612.89,257999.272,23949008.48,4192768.076,55993359.31,48765706.57,Fertilizer,3.136051883
NLA06608-0765,1,0.01,0,0.01,0,60228.66577,551.86,866,638,86,Sedimentary,Sedimentary,1209.45,1123,1.13,0.56,71,71,0.46,0.6,16.65,25.23,8.12,-8.99,25.9,8.2,-9.4,79.20248745,22905.729,18191.377,11437.434,45.732,41531.0561,10780.16393,22951.461,29628.811,Atmospheric,16.59607887
NLA06608-0766,1,4.43,0.17,4.43,3.13,11965248.86,436.8,497,465,9,Sedimentary,Sedimentary,481.24,480,0.56,0.58,67,67,0.45,0.58,17.27,28.24,4.71,-19.47,28.3,4.8,-19.4,2.99386663,326950.977,9139.924,56425.068,1184.713,73315.39534,2010.81584,328135.69,65564.992,Fertilizer,5.937100377
NLA06608-0769,1,0.45,0.13,0.45,0.17,7058966.038,648.7,1659,975,235,Gneiss,Gneiss,1074.99,682,0.6,0.58,65.56,64,0.24,0.46,16.97,26.31,6.33,-7,28.8,8.4,-5.4,9.015169927,4702.536,16.974,11502.218,682.787,35009.58245,4600.975966,5385.323,11519.192,Atmospheric,3.731040321
NLA06608-0770,1,0.24,0.39,0.39,3.19,89984.40472,360.29,365,362,1,Quaternary,Quaternary,216,216,0.12,1.21,35,35,0.1,0.21,30.23,40.3,21.1,3.2,40.3,21.1,3.2,6263.025024,185.544,59.4,5.6,317.682,1572.831954,68052.50198,503.226,65,Sewage,7.873021414
NLA06608-0771,1,3.67,0.53,3.67,1.43,1418812.452,384.85,408,388,2,Sedimentary,Sedimentary,721.8,722,0.68,0.55,70,70,0.49,0.6,17.29,26.7,4.56,-19.76,26.7,4.5,-19.7,18.2,811.538,379.701,342.21,8.949,3172.459093,391.7686982,820.487,721.911,Atmospheric,8.015982202
NLA06608-0775,1,0.1,0.01,0.1,0.06,112424.3595,518.27,574,545,10,Sedimentary,Sedimentary,702.94,697,0.95,0.94,58.67,58,0.53,0.59,23.38,35.37,18.13,-0.04,35.4,18.2,0,2.385240248,12207.914,1705.805,13325.25,4.945,7628.673517,172.0100047,12212.859,15031.055,Manure,5.753690662
NLA06608-0779,1,0.35,0.05,0.35,0.21,50901.54765,417,425,419,2,Sedimentary,Sedimentary,613,612,0.69,0.66,68,68,0.41,0.58,20.04,30.8,8.1,-14.9,30.8,8.1,-14.9,4.720674322,4486.482,742.518,1101.12,2.72,1365.059405,38.72625198,4489.202,1843.638,Fertilizer,9.05042936
