,SITE_ID,DESIGN_YR,AGGR_ECO3_2015,AGGR_ECO9_2015,AREA_HA,AREACLS,BORD_LAKE,CAT_UNIQUE,CH0712_CAT,CH0712_USE,CH0712_WGT,CNTYNAME,COMID2007,COMID2012,COMIDS2007,DES_FTYPE,DSGN12,ELEVATION,EPA_REG,EVAL_NAME,EVALSTAT,FEOW_ID,FS_EW,FW_ECO3,FW_ECO9,GNIS_ID,GNIS_NAME,HUC2,HUC8,LAKE_ORIGIN,LAKE_ORIGIN12,LAT_DD83,LON_DD83,MAJ_BASIN,MDCATY,MISS_BASIN,NA_L1CODE,NA_L2CODE,NA_L3CODE,NARS_NAME,NES_LAKE,NESLAKE_ID,NESSTORET,OWN_TYPE,OWNSHP,PANEL,PERIM_KM,RCHCODE,RT_NLA12,SITEID_07,SITESAMP,SITETYPE,SIZE_CLASS,ST_DSGN,ST_MDCATY,ST_PANEL,ST_SITEID,ST_STRATUM,ST_WGT_ALL,ST_WGT_CAT,ST_WGT_DSGN,STATE,STATE_NLA,STATE_PCNT,STATECTY,STATUS,STATUS_ST,STRATUM,TNT,TNT_ST,URBAN,US_L3CODE,US_L3CODE_2015,US_L4CODE,US_L4CODE_2015,WGT_ALL,WGT_CAT,WGT_DSGN,XCOORD,YCOORD,RDis_IX,VERTDD,HORIZDD,LitCvrQc3OE,LitRipCvrQc3OE,RVegQc3OE,MICX,B_G_DENS,CHLA,PTL,NTL,TROPHIC_STATE,SEDHG_TOT_TOP,SEDHG_MTH_TOP,MMI_BENT_NLA12,DO2_2M,DIS_O2_CLS,TURB,RVEG_COND,LITCVR_COND,LITRIPCVR_COND,RDIS_COND,DRAWDOWN_COND,MICX_DETECT,MICX_REC,CYNX_REC,CHLX_REC,PTL_COND,NTL_COND,CHLA_COND,SEDHG_TOT_TOP_COND,SEDHG_MTH_TOP_COND,BENT_COND,TURB_COND,REVSAMP_0712
498,NLA06608-0403,2007,PLNLOW,UMW,6605.134097,NA,NA,NA,NLA07_BASE,Include,5.660085,BELTRAMI,22326885,NA,NA,NA,NA,396.79,Region_5,NA,NA,148,NA,PLNLOW,UMW,NA,Buck Lake,7,7010101,NATURAL,NA,47.3959543,-94.5618385,NA,0.12642225,NA,NA,NA,NA,Cass Lake,NESLake,2715,NA,NA,NA,Panel_1,75.90976746,7.0101E+12,T,NA,NA,PROB,>100,NA,NA,NA,NA,NA,NA,NA,NA,MN,NA,NA,NA,Target_Sampled,NA,NLALake,Target,NA,NO,NA,50,NA,50r,5.660085,MN,NA,109219.466,1105518.333,0,0.1,1,1.563022866,1.234915809,1.138831305,0.05,1147.329147,5.36,20,485,Mesotrophic,50.56,NA,NA,9.295,High (>=5 Ppm),3.26,Good,Good,Good,Good,Medium,No Detect,No Detect,Low,Low,Good,Good,Good,Medium,Not Assessed,Not Assessed,Poor,N
499,NLA06608-0406,2007,WMTNS,WMT,141.8718591,NA,NA,NA,NLA07_BASE,Include,4.4036635,WASCO,23727371,NA,NA,NA,NA,1072.83,Region_10,NA,NA,121,NA,WMTNS,WMT,NA,,17,17070306,NATURAL,NA,45.1803812,-121.7044304,NA,0.050250135,NA,NA,NA,NA,Clear Lake,,,NA,NA,NA,Panel_1,8.923070402,1.70703E+13,S,NA,NA,PROB,>100,NA,NA,NA,NA,NA,NA,NA,NA,OR,NA,NA,NA,Target_Sampled,NA,NLALake,Target,NA,NO,NA,4,NA,4c,4.4036635,OR,NA,-1994097.2,1130338.984,0.580508475,3.82,9.38,0.560164597,0.144294082,0.038295146,0.05,238.4313726,1.23,4,172,Oligotrophic,91.48,0.03,54.5,8.5,High (>=5 Ppm),0.792,Poor,Fair,Poor,Fair,Large,No Detect,No Detect,Low,Low,Good,Good,Good,Medium,Low,Fair,Fair,N
500,NLA06608-0407,2007,PLNLOW,TPL,27.4683107,NA,NA,NA,NLA07_BASE,Include,53.28692,CLARK,11600557,NA,NA,NA,NA,535.5,Region_8,NA,NA,143,NA,PLNLOW,TPL,NA,,10,10160010,NATURAL,NA,45.0933556,-97.7543842,NA,0.009388751,NA,NA,NA,NA,,,,NA,NA,NA,Panel_1,1.951433639,1.016E+13,T,NA,NA,PROB,"(20,50]",NA,NA,NA,NA,NA,NA,NA,NA,SD,NA,NA,NA,Target_Sampled,NA,NLALake,Target,NA,NO,NA,46,NA,46k,53.28692,SD,NA,-137946.1935,850595.0513,0.696907217,1.05,34,0.441688255,0.425398948,0.496984647,0.77,5284.770506,1.81,762,2872,Oligotrophic,70.55,0.15,16.4,7.95,High (>=5 Ppm),1.8,Fair,Fair,Fair,Fair,Large,Detect,Low,Low,Low,Poor,Poor,Good,Medium,Low,Poor,Good,N
501,NLA06608-0408,2007,PLNLOW,SPL,82.85131629,NA,NA,NA,NLA07_BASE,Include,3.4512251,CARTER,19959198,NA,NA,NA,NA,319.4,Region_6,NA,NA,144,NA,PLNLOW,SPL,NA,Mountain Lake,11,11130303,MAN_MADE,NA,34.36873342,-97.28186245,NA,0.078811688,NA,NA,NA,NA,Mountian Lake,,,NA,NA,NA,Panel_1,7.159723874,1.11303E+13,S,NA,NA,PROB,"(50,100]",NA,NA,NA,NA,NA,NA,NA,NA,OK,NA,NA,NA,Target_Sampled,NA,NLALake,Target,NA,NO,NA,29,NA,29i,3.4512251,OK,NA,-116979.3861,-349802.4375,0.377777778,0,0,0.793826826,2.055080081,2.941930253,0.05,122.1693074,5.67,15,270,Mesotrophic,28.02,0.53,52.2,6.6,High (>=5 Ppm),6.58,Good,Good,Good,Fair,Small,No Detect,No Detect,Low,Low,Good,Good,Good,Low,Medium,Good,Poor,N
502,NLA06608-0413,2007,EHIGH,SAP,8.557671899,NA,NA,NA,NLA07_BASE,Include,386.8879495,GREENSVILLE,8740513,NA,NA,NA,NA,65.65,Region_3,NA,NA,157,NA,EHIGH,SAP,NA,,3,3010204,MAN_MADE,NA,36.5605718,-77.7454141,NA,0.001312891,NA,NA,NA,NA,Rainey Pond,,,NA,NA,NA,Panel_1,1.75119976,3.0102E+12,S,NA,NA,PROB,"(4,10]",NA,NA,NA,NA,NA,NA,NA,NA,VA,NA,NA,NA,Target_Sampled,NA,NLALake,Target,NA,NO,NA,45,NA,45f,386.8879495,VA,NA,1608855.026,49734.16412,0.4,0.2,0.24,1.241395825,0.94652376,0.958390097,0.05,10180.62222,108.58,106,581,Hypereutrophic,117.95,0.69,8.9,8.175,High (>=5 Ppm),10.6,Good,Good,Good,Fair,Medium,No Detect,No Detect,Low,High,Poor,Poor,Poor,Medium,Medium,Poor,Poor,N
503,NLA06608-0414,2007,PLNLOW,UMW,19.57569431,NA,NA,NA,NLA07_RVT12,Include,242.0290559,WASHBURN,1849933,NA,NA,NA,NA,368.16,Region_5,NA,NA,148,NA,PLNLOW,UMW,NA,,7,7030002,NATURAL,NA,46.13099234,-91.60870009,NA,0.003932161,NA,NA,NA,NA,,,,NA,NA,NA,Panel_1,1.805806791,7.03E+12,S,NA,NA,PROB,"(10,20]",NA,NA,NA,NA,NA,NA,NA,NA,WI,NA,NA,NA,Target_Sampled,NA,NLALake,Target,NA,NO,NA,50,NA,50e,242.0290559,WI,NA,339856.6911,972464.0445,0.095454546,0,0,2.171102835,1.056771298,0.535397071,0.05,0,6.69,40,1296,Mesotrophic,NA,NA,NA,4.1,Moderate (>3-<5 Ppm),3.06,Poor,Good,Good,Good,Small,No Detect,No Detect,Low,Low,Fair,Poor,Good,Not Assessed,Not Assessed,Not Assessed,Poor,N
504,NLA06608-0418,2007,EHIGH,NAP,51.28077598,NA,NA,NA,NLA07_BASE,Include,20.3121784,CHESHIRE,6764624,NA,NA,NA,NA,365.37,Region_1,NA,NA,118,NA,EHIGH,NAP,NA,Grassy Pond,1,1070003,NATURAL,NA,42.7698256,-71.9999278,NA,0.03639742,NA,NA,NA,NA,Grassy Pond,,,NA,NA,NA,Panel_1,4.248873842,1.07E+12,S,NA,NA,PROB,"(50,100]",NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,NA,Target_Sampled,NA,NLALake,Target,NA,YES,NA,58,NA,58g,20.3121784,NH,NA,1931968.53,835457.2346,0.133333333,0.19,0.35,1.410513756,1.247858129,1.396464959,0.05,986.0512821,2.18,8,296,Mesotrophic,251.79,0.56,73.4,7.45,High (>=5 Ppm),0.919,Good,Good,Good,Good,Medium,No Detect,No Detect,Low,Low,Good,Good,Good,High,Medium,Good,Good,N
505,NLA06608-0421,2007,EHIGH,NAP,25.86570924,NA,NA,NA,NLA07_BASE,Include,245.2421149,SARATOGA,22287819,NA,NA,NA,NA,86.43,Region_2,NA,NA,118,NA,EHIGH,NAP,NA,Loughberry Lake,2,2020003,MAN_MADE,NA,43.095043,-73.7667433,NA,0.004339637,NA,NA,NA,NA,Loughberry Lake,,,NA,NA,NA,Panel_1,4.036894474,2.02E+12,S,NA,NA,PROB,"(20,50]",NA,NA,NA,NA,NA,NA,NA,NA,NY,NA,NA,NA,Target_Sampled,NA,NLALake,Target,NA,YES,NA,59,NA,59i,245.2421149,NY,NA,1784030.269,836178.9625,0.05,0.29,3.33,0.644490793,1.094861165,1.333194804,0.05,445.1876119,2.18,9,537,Mesotrophic,NA,0.72,26.2,9.676666667,High (>=5 Ppm),1.08,Good,Fair,Good,Good,Large,No Detect,No Detect,Low,Low,Good,Fair,Good,Not Assessed,Medium,Poor,Good,N
506,NLA06608-0426,2007,PLNLOW,UMW,159.9850198,NA,NA,NA,NLA07_BASE,Include,33.1702585,CLARE,13039470,NA,NA,NA,NA,319.89,Region_5,NA,NA,116,NA,PLNLOW,UMW,NA,Eight Point Lake,4,4080202,NATURAL,NA,43.8382238,-85.0738813,NA,0.014267504,NA,NA,NA,NA,Eight Point Lake,,,NA,NA,NA,Panel_1,8.608542559,4.0802E+12,T,NA,NA,PROB,>100,NA,NA,NA,NA,NA,NA,NA,NA,MI,NA,NA,NA,Target_Sampled,NA,NLALake,Target,NA,NO,NA,50,NA,50ae,33.1702585,MI_LP,NA,873312.8294,759748.2983,0.793617021,0.02,0,0.357262369,0.636138038,0.82260989,0.53,5787.259259,3.12,5,574,Mesotrophic,NA,NA,43.9,9.566666667,High (>=5 Ppm),1.48,Good,Poor,Fair,Poor,Small,Detect,Low,Low,Low,Good,Good,Good,Not Assessed,Not Assessed,Poor,Good,N
507,NLA06608-0435,2007,PLNLOW,UMW,368.6973816,NA,NA,NA,NLA07_BASE,Include,64.9960344,TAYLOR,13102701,NA,NA,NA,NA,383.09,Region_5,NA,NA,148,NA,PLNLOW,UMW,NA,,7,7050005,MAN_MADE,NA,45.1682657,-90.6981382,NA,0.014642391,NA,NA,NA,NA,Chequamegon Flowage,,,NA,NA,NA,Panel_1,15.01318869,7.05001E+12,S,NA,NA,PROB,>100,NA,NA,NA,NA,NA,NA,NA,NA,WI,NA,NA,NA,Target_Sampled,NA,NLALake,Target,NA,NO,NA,50,NA,50g,64.9960344,WI,NA,416225.0511,869268.5034,0.282051282,0.007692308,0,1.377004475,1.087549932,1.002667298,0.69,51621.68138,23.2,78,1824,Eutrophic,123.86,0.95,38.5,5.206666667,High (>=5 Ppm),9.08,Good,Good,Good,Fair,Small,Detect,Low,Moderate,Moderate,Poor,Poor,Poor,Medium,Medium,Poor,Poor,N
508,NLA06608-0436,2007,EHIGH,SAP,500.1143836,NA,NA,NA,NLA07_BASE,Include,3.8014812,GARLAND,15237526,NA,NA,NA,NA,91.08,Region_6,NA,NA,145,NA,EHIGH,SAP,NA,Lake Catherine,8,8040101,MAN_MADE,NA,34.4519776,-92.9382529,NA,0.12642225,NA,NA,NA,NA,Lake Catherine,NESLake,505,NA,NA,NA,Panel_1,43.56987943,8.0401E+12,T,NA,NA,PROB,>100,NA,NA,NA,NA,NA,NA,NA,NA,AR,NA,NA,NA,Target_Sampled,NA,NLALake,Target,NA,YES,NA,36,NA,36b,3.8014812,AR,NA,279067.2755,-336787.6868,0.793617021,0.08,0.09,0.548098911,0.813153461,0.449531345,0.05,3868.252091,18.22,29,398,Eutrophic,210.62,0.78,62.3,8.1,High (>=5 Ppm),2.41,Poor,Fair,Good,Poor,Small,No Detect,No Detect,Low,Moderate,Fair,Fair,Poor,High,Medium,Good,Good,N
509,NLA06608-0440,2007,PLNLOW,SPL,179.6548231,NA,NA,NA,NLA07_BASE,Include,3.8002126,NOBLE,20969774,NA,NA,NA,NA,329.73,Region_6,NA,NA,144,NA,PLNLOW,SPL,NA,Lake Perry,11,11060006,MAN_MADE,NA,36.24209759,-97.34193721,NA,0.07157412,NA,NA,NA,NA,Perry Lake,,,NA,NA,NA,Panel_1,15.00256234,1.106E+13,T,NA,NA,PROB,>100,NA,NA,NA,NA,NA,NA,NA,NA,OK,NA,NA,NA,Target_Sampled,NA,NLALake,Target,NA,YES,NA,27,NA,27o,3.8002126,OK,NA,-119500.9013,-140091.8541,0.798989899,0.57,0.97,0.132887155,0.734621134,1.150462791,0.05,2116.078431,5.46,182,853,Mesotrophic,37.8,0.45,44.4,5.046666667,High (>=5 Ppm),103,Good,Poor,Good,Poor,Medium,No Detect,No Detect,Low,Low,Poor,Poor,Good,Low,Low,Good,Poor,N
510,NLA06608-0442,2007,PLNLOW,NPL,30.17185053,NA,NA,NA,NLA07_BASE,Include,54.0204397,WARD,21535130,NA,NA,NA,NA,659.73,Region_8,NA,NA,142,NA,PLNLOW,NPL,NA,,10,10110101,NATURAL,NA,48.2861019,-101.9047579,NA,0.016521101,NA,NA,NA,NA,,,,NA,NA,NA,Panel_1,4.970823575,1.01101E+13,T,NA,NA,PROB,"(20,50]",NA,NA,NA,NA,NA,NA,NA,NA,ND,NA,NA,NA,Target_Sampled,NA,NLALake,Target,NA,NO,NA,42,NA,42d,54.0204397,ND,NA,-442059.805,1216646.437,0.357142857,0.39,2.97,1.706492503,0.516384382,0.021361137,2.1,3502.331326,4.5,385,6559,Mesotrophic,55.51,NA,29.7,6.6,High (>=5 Ppm),8.19,Poor,Good,Fair,Fair,Large,Detect,Low,Low,Low,Poor,Poor,Good,Medium,Not Assessed,Fair,Poor,N
511,NLA06608-0444,2007,PLNLOW,CPL,4.398899052,NA,NA,NA,NLA07_BASE,Include,373.2837123,PANOLA,15274096,NA,NA,NA,NA,92.35,Region_4,NA,NA,149,NA,PLNLOW,CPL,NA,,8,8030203,MAN_MADE,NA,34.1657892,-89.9116161,NA,0.001312891,NA,NA,NA,NA,Enid View Drive Lake,,,NA,NA,NA,Panel_1,1.119552107,8.0302E+12,S,NA,NA,PROB,"(4,10]",NA,NA,NA,NA,NA,NA,NA,NA,MS,NA,NA,NA,Target_Sampled,NA,NLALake,Target,NA,NO,NA,74,NA,74b,373.2837123,MS,NA,556699.235,-355440.7441,0.829518072,3,3.1,0.350404927,0.784890649,1.322733516,0.05,42676.26212,10.27,42,383,Eutrophic,7.11,0.17,50.3,NA,Not Assessed,15.5,Good,Poor,Good,Poor,Large,No Detect,No Detect,Moderate,Moderate,Fair,Good,Good,Low,Low,Fair,Poor,N
512,NLA06608-0449,2007,WMTNS,WMT,48.19243402,NA,NA,NA,NLA07_BASE,Include,21.4982483,STEVENS,23050593,NA,NA,NA,NA,619.91,Region_10,NA,NA,120,NA,WMTNS,WMT,NA,Jumpoff Joe Lake,17,17020003,NATURAL,NA,48.1358037,-117.6915241,NA,0.013743443,NA,NA,NA,NA,Jump-off Joe Lake,,,NA,NA,NA,Panel_1,2.937004986,1.702E+13,S,NA,NA,PROB,"(20,50]",NA,NA,NA,NA,NA,NA,NA,NA,WA,NA,NA,NA,Target_Sampled,NA,NLALake,Target,NA,NO,NA,15,NA,15r,21.4982483,WA,NA,-1614655.746,1371426.254,0.688709677,NA,NA,0.489280215,0.488391476,0.508180328,0.05,2635.234319,4.39,16,404,Mesotrophic,NA,NA,45.8,11.33333333,High (>=5 Ppm),2.56,Poor,Fair,Poor,Fair,Not Assessed,No Detect,No Detect,Low,Low,Good,Poor,Poor,Not Assessed,Not Assessed,Fair,Poor,N
513,NLA06608-0452,2007,PLNLOW,SPL,5.391015571,NA,NA,NA,NLA07_BASE,Include,325.1141919,ADAMS,2884704,NA,NA,NA,NA,1590.47,Region_8,NA,NA,143,NA,PLNLOW,SPL,NA,,10,10190004,MAN_MADE,NA,39.8068455,-105.0360311,NA,0.001312891,NA,NA,NA,NA,Jim Baker Reservoir,,,NA,NA,NA,Panel_1,1.153685508,1.019E+13,S,NA,NA,PROB,"(4,10]",NA,NA,NA,NA,NA,NA,NA,NA,CO,NA,NA,NA,Target_Sampled,NA,NLALake,Target,NA,YES,NA,25,NA,25d,325.1141919,CO,NA,-765555.8773,294971.124,0.630508475,0.58,0.93,0.847724913,0.588807719,0.436628018,0.05,54.84482196,7.25,37,604,Eutrophic,76.78,1.59,26.9,8.366666667,High (>=5 Ppm),3.59,Fair,Good,Fair,Fair,Medium,No Detect,No Detect,Low,Low,Fair,Good,Fair,Medium,High,Poor,Fair,N
514,NLA06608-0453,2007,PLNLOW,CPL,743.0730589,NA,NA,NA,NLA07_BASE,Include,2.0828908,LAKE,16632718,NA,NA,NA,NA,28.99,Region_4,NA,NA,156,NA,PLNLOW,CPL,NA,"Minneola, Lake",3,3080102,NATURAL,NA,28.5733236,-81.7702539,NA,0.12642225,NA,NA,NA,NA,Lake Minneola,NESLake,1230,NA,NA,NA,Panel_1,10.62659391,3.0801E+12,T,NA,NA,PROB,>100,NA,NA,NA,NA,NA,NA,NA,NA,FL,NA,NA,NA,Target_Sampled,NA,NLALake,Target,NA,YES,NA,75,NA,75c,2.0828908,FL,NA,1389961.04,-891209.5821,0.806542056,0.3,6.5,0.37505191,0.322560929,0.230308137,0.05,4521.592299,4.31,48,1056,Mesotrophic,13.17,0.09,57.6,7.2,High (>=5 Ppm),2.36,Poor,Fair,Poor,Poor,Large,No Detect,No Detect,Low,Low,Fair,Poor,Good,Low,Low,Good,Good,N
515,NLA06608-0456,2007,PLNLOW,SPL,9288.403959,NA,NA,NA,NLA07_BASE,Include,2.1860872,COLLIN,1291638,NA,NA,NA,NA,143.86,Region_6,NA,NA,141,NA,PLNLOW,SPL,NA,Lavon Reservoir,12,12030106,MAN_MADE,NA,33.063257,-96.4758381,NA,0.12642225,NA,NA,NA,NA,Lavon Lake,NESLake,4819,NA,NA,NA,Panel_1,182.8813591,1.20301E+13,S,NA,NA,PROB,>100,NA,NA,NA,NA,NA,NA,NA,NA,TX,NA,NA,NA,Target_Sampled,NA,NLALake,Target,NA,YES,NA,32,NA,32a,2.1860872,TX,NA,-44155.0942,-496321.7782,NA,NA,NA,NA,NA,NA,0.26,22315.85185,25.1,29,681,Eutrophic,NA,0.04,NA,6.8,High (>=5 Ppm),3.66,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Detect,Low,Moderate,Moderate,Good,Fair,Poor,Not Assessed,Low,Not Assessed,Fair,N
516,NLA06608-0458,2007,PLNLOW,CPL,128.0576834,NA,NA,NA,NLA07_BASE,Include,37.3115209,COOK,2146549,NA,NA,NA,NA,57.42,Region_4,NA,NA,156,NA,PLNLOW,CPL,NA,Reed Bingham Park Lake,3,3110204,MAN_MADE,NA,31.163782,-83.5418964,NA,0.014164124,NA,NA,NA,NA,Reed Bingham Lake,,,NA,NA,NA,Panel_1,8.443913715,3.1102E+12,S,NA,NA,PROB,>100,NA,NA,NA,NA,NA,NA,NA,NA,GA,NA,NA,NA,Target_Sampled,NA,NLALake,Target,NA,NO,NA,65,NA,65h,37.3115209,GA,NA,1180407.404,-630620.9842,0.517676768,0.7,23.11111111,0.979715446,0.932043024,0.786619532,0.41,22563.14395,15.06,39,947,Eutrophic,39.36,0.21,67.2,6.84,High (>=5 Ppm),5.74,Good,Good,Good,Fair,Large,Detect,Low,Moderate,Moderate,Fair,Poor,Fair,Low,Low,Good,Poor,N
517,NLA06608-0462,2007,PLNLOW,UMW,149.7868259,NA,NA,NA,NLA07_BASE,Include,37.8665425,GOGEBIC,13391389,NA,NA,NA,NA,522.69,Region_5,NA,NA,116,NA,PLNLOW,UMW,NA,Loon Lake,7,7070001,NATURAL,NA,46.1990633,-89.293977,NA,0.014267504,NA,NA,NA,NA,Loon Lake,,,NA,NA,NA,Panel_1,6.903455506,7.07E+12,R,NA,NA,PROB,>100,NA,NA,NA,NA,NA,NA,NA,NA,MI,NA,NA,NA,Target_Sampled,NA,NLALake,Target,NA,NO,NA,50,NA,50i,37.8665425,MI_UP,NA,518221.999,990454.2522,0,0.6,2.65,1.302963044,1.009391676,0.917480995,0.05,3031.555556,NA,3,194,Not Assessed,17.66,0.28,74.7,8.266666667,High (>=5 Ppm),0.647,Good,Good,Good,Good,Large,No Detect,No Detect,Low,Not Assessed,Good,Good,Not Assessed,Low,Low,Good,Good,N
518,NLA06608-0463,2007,PLNLOW,TPL,272.7513592,NA,NA,NA,NLA07_BASE,Include,3.7434612,WAYNE,13174853,NA,NA,NA,NA,198.31,Region_5,NA,NA,116,NA,PLNLOW,UMW,NA,Susterka Lake,4,4090005,MAN_MADE,NA,42.2117641,-83.5209821,NA,0.12642225,NA,NA,NA,NA,Belleville Lake,NESLake,2609,NA,NA,NA,Panel_1,17.45719673,4.09001E+12,S,NA,NA,PROB,>100,NA,NA,NA,NA,NA,NA,NA,NA,MI,NA,NA,NA,Target_Sampled,NA,NLALake,Target,NA,YES,NA,57,NA,57a,3.7434612,MI_LP,NA,1020552.973,594913.5488,0.748484849,0.05,0,1.145324991,1.294548403,1.430556466,0.21,36682.66667,30.72,82,1031,Hypereutrophic,229.11,0.5,NA,6.166666667,High (>=5 Ppm),9.38,Good,Good,Good,Fair,Small,Detect,Low,Moderate,Moderate,Fair,Good,Poor,High,Medium,Not Assessed,Poor,N
519,NLA06608-0468,2007,WMTNS,WMT,6.780172834,NA,NA,NA,NLA07_BASE,Include,325.1141919,EAGLE,1326633,NA,NA,NA,NA,3068.4,Region_8,NA,NA,130,NA,WMTNS,WMT,NA,Eagle Lake,14,14010004,NATURAL,NA,39.4324094,-106.6003635,NA,0.001312891,NA,NA,NA,NA,Eagle Lake,,,NA,NA,NA,Panel_1,1.22241284,1.401E+13,R,NA,NA,PROB,"(4,10]",NA,NA,NA,NA,NA,NA,NA,NA,CO,NA,NA,NA,Target_Sampled,NA,NLALake,Target,NA,NO,NA,21,NA,21e,325.1141919,CO,NA,-902251.6068,266959.6703,0,0.4,0.1,0.799462988,1.406426595,1.666095114,0.05,8.602900079,0.64,8,179,Oligotrophic,118.08,0.15,57.3,7.5,High (>=5 Ppm),0.377,Good,Good,Good,Good,Medium,No Detect,No Detect,Low,Low,Good,Good,Good,Medium,Low,Good,Good,N
520,NLA06608-0469,2007,EHIGH,NAP,12.71231975,NA,NA,NA,NLA07_BASE,Include,57.5752892,WAYNE,2615500,NA,NA,NA,NA,413.35,Region_3,NA,NA,118,NA,EHIGH,NAP,NA,Starlight Lake,2,2040101,NATURAL,NA,41.9097341,-75.3378393,NA,0.007210792,NA,NA,NA,NA,Starlight Lake,,,NA,NA,NA,Panel_1,1.907141321,2.0401E+12,S,NA,NA,PROB,"(10,20]",NA,NA,NA,NA,NA,NA,NA,NA,PA,NA,NA,NA,Target_Sampled,NA,NLALake,Target,NA,NO,NA,60,NA,60b,57.5752892,PA,NA,1688616.201,678324.6442,0.773417722,0.4,1.1,0.860871388,0.551725332,0.443809588,0.05,464.8575343,3.35,11,191,Mesotrophic,122.64,NA,81.8,8.3,High (>=5 Ppm),1.19,Poor,Good,Poor,Poor,Medium,No Detect,No Detect,Low,Low,Good,Good,Good,Medium,Not Assessed,Good,Fair,N
521,NLA06608-0470,2007,EHIGH,NAP,132.8445725,NA,NA,NA,NLA07_BASE,Include,22.3661437,CARROLL,6738190,NA,NA,NA,NA,155.18,Region_1,NA,NA,118,NA,EHIGH,NAP,NA,Mirror Lake,1,1070002,NATURAL,NA,43.623088,-71.2654292,NA,0.033054911,NA,NA,NA,NA,Mirror Lake,,,NA,NA,NA,Panel_1,6.024761658,1.07E+12,S,NA,NA,PROB,>100,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,NA,Target_Sampled,NA,NLALake,Target,NA,YES,NA,58,NA,58r,22.3661437,NH,NA,1965252.114,942691.076,0.768421053,0.2,0.28,0.667676401,0.815177631,1.024274531,0.05,466.3512545,1.51,8,193,Oligotrophic,135.76,0.69,82.3,8.633333333,High (>=5 Ppm),0.663,Good,Fair,Good,Poor,Medium,No Detect,No Detect,Low,Low,Good,Good,Good,Medium,Medium,Good,Good,N
522,NLA06608-0472,2007,EHIGH,SAP,158.9734735,NA,NA,NA,NLA07_BASE,Include,6.8776347,COAL,704488,NA,NA,NA,NA,186,Region_6,NA,NA,145,NA,EHIGH,SAP,NA,,11,11140103,MAN_MADE,NA,34.57062203,-96.23833745,NA,0.039548026,NA,NA,NA,NA,Coalgate Reservoir,,,NA,NA,NA,Panel_1,12.6407422,1.11401E+13,T,NA,NA,PROB,>100,NA,NA,NA,NA,NA,NA,NA,NA,OK,NA,NA,NA,Target_Sampled,NA,NLALake,Target,NA,NO,NA,37,NA,37e,6.8776347,OK,NA,-21694.0662,-327988.6773,0.496153846,0.19,2.27,1.090281696,1.213317314,0.77719951,1.5,589.5997007,19.2,78,803,Eutrophic,53.09,NA,23.6,3.203333333,Moderate (>3-<5 Ppm),25,Fair,Good,Good,Fair,Large,Detect,Low,Low,Moderate,Poor,Poor,Poor,Medium,Not Assessed,Poor,Poor,N
523,NLA06608-0473,2007,EHIGH,SAP,909.0342354,NA,NA,NA,NLA07_BASE,Include,5.9391989,DAVIDSON,9755284,NA,NA,NA,NA,170.71,Region_4,NA,NA,157,NA,EHIGH,SAP,NA,High Rock Lake,3,3040103,MAN_MADE,NA,35.5162948,-80.2033846,NA,0.12642225,NA,NA,NA,NA,Tuckertown Reservoir,NESLake,3706,NA,NA,NA,Panel_1,71.8636521,3.0401E+12,S,NA,NA,PROB,>100,NA,NA,NA,NA,NA,NA,NA,NA,NC,NA,NA,NA,Target_Sampled,NA,NLALake,Target,NA,YES,NA,45,NA,45c,5.9391989,NC,NA,1413729.336,-104437.4448,0.133333333,0.27,0.26,0.626577306,0.915072102,1.154078136,0.52,36547.55556,36.82,55,714,Hypereutrophic,94.28,0.55,18.7,NA,Not Assessed,4.81,Good,Fair,Good,Good,Medium,Detect,Low,Moderate,Moderate,Poor,Poor,Poor,Medium,Medium,Poor,Poor,N
524,NLA06608-0479,2007,PLNLOW,TPL,18.27545989,NA,NA,NA,NLA07_BASE,Include,49.5034722,FRANKLIN,5217319,NA,NA,NA,NA,209.24,Region_5,NA,NA,150,NA,PLNLOW,TPL,NA,,5,5060001,NATURAL,NA,39.9206178,-83.0042548,NA,0.017136057,NA,NA,NA,NA,Anderson Lake,,,NA,NA,NA,Panel_1,1.992213542,5.06E+12,T,NA,NA,PROB,"(10,20]",NA,NA,NA,NA,NA,NA,NA,NA,OH,NA,NA,NA,Target_Sampled,NA,NLALake,Target,NA,YES,NA,55,NA,55b,49.5034722,OH,NA,1097522.326,346456.6288,0.518181818,0.88,12.7,2.660111119,1.103031798,0.535431247,0.05,710.109099,5.3,14,318,Mesotrophic,89.29,0.3,63.6,6.5,High (>=5 Ppm),2.39,Fair,Good,Good,Fair,Large,No Detect,No Detect,Low,Low,Good,Good,Good,Medium,Low,Good,Good,N
