Order,SITE_ID,VISIT_NO,UID,dD,d18O,E_I,Water_yield_m,Modeled_Water_yield_m,RT_iso,RT_modeled,Volume_Corrected_m3,Lake_precip_m,Lake_evap_m,P_E_deficit_m,Wyield_P_E_m
316,NLA12_KS-108,1,6404,-11.37,-1.06,0.389316236,0.024831102,0.1274,0.250550001,0.045879518,149046.1122,0.731580008,0.862085052,-0.130505044,0.155336146
317,NLA12_KS-109,1,6421,-25.79,-3.23,0.210408599,0.12146173,0.08339,0.434644376,0.501254717,78061.58991,0.753770006,0.878381073,-0.124611066,0.246072796
318,NLA12_KS-109,2,6722,-22.39,-2.55,0.260563036,0.098082187,0.08339,0.538249191,0.501254717,78061.58991,0.753770006,0.878381073,-0.124611066,0.222693253
319,NLA12_KS-114,1,6243,-17.43,-1.87,0.283673956,0.198293888,0.14333,0.592522278,0.590357564,2062979.593,0.888630003,0.897562776,-0.008932772,0.207226661
320,NLA12_KS-121,1,6851,-4.83,-0.13,0.359543014,0.052903736,0.07081,0.2877495,0.174397915,91764.81169,0.81489001,0.940599505,-0.125709494,0.17861323
321,NLA12_KS-122,1,6927,-22.48,-2.75,0.246694522,0.012383067,0.020109947,0.999953084,0.559504458,162232248.6,0.570099997,0.861639327,-0.29153933,0.303922397
322,NLA12_KS-124,1,6609,-10.39,-1.41,0.23276398,0.045149297,0.1337,0.195357917,0.061581469,159227.8777,0.856639997,0.944719048,-0.088079051,0.133228348
323,NLA12_KS-125,1,6485,-22.12,-2.66,0.232394793,0.249723828,0.0971,1.255635618,2.152014465,6074280.279,0.755869995,0.902486341,-0.146616346,0.396340174
324,NLA12_KS-126,1,6781,-1.25,0.43,0.481561402,0.101059627,0.2577,0.367301702,0.118120745,18654.40402,1.078709986,0.928337884,0.150372103,-0.049312475
325,NLA12_KS-130,1,6346,-17.32,-1.93,0.291760628,0.112603302,0.1167,0.334713483,0.256151544,74607.22445,0.838549993,0.905062446,-0.066512452,0.179115755
326,NLA12_KS-138,1,6524,-8.37,-0.27,0.407233131,0.722515051,0.0987,0.782871892,1.652049784,198491.5267,0.791179997,0.955293604,-0.164113606,0.886628657
327,NLA12_KS-R02,1,6456,-25.09,-3.37,0.161048001,0.196457816,0.22261,0.410141361,0.31321834,1171081.029,1.001360009,0.914607334,0.086752675,0.109705141
328,NLA12_KS-R07,1,6584,-15.73,-2.54,0.128276693,0.124777833,0.17305,0.266361731,0.178491586,566693.4223,0.785420007,0.955638705,-0.170218698,0.294996531
329,NLA12_KS-R08,1,6564,-8.74,0.06,0.478551201,0.155730669,0.08825,1.119949833,1.105192304,227256.1965,0.828470006,0.887603462,-0.059133456,0.214864126
330,NLA12_KS-R11,1,6613,-15.22,-2.45,0.136009758,0.179517493,0.204696667,0.235260903,0.187017368,2830915.213,0.814109999,0.940734752,-0.126624753,0.306142245
331,NLA12_KY-101,1,6284,-30.74,-4.95,0.039066439,1.784046806,0.54517,0.337612293,0.900170573,6601920.898,1.500189995,0.843593368,0.656596626,1.12745018
332,NLA12_KY-101,2,6946,-28.19,-3.84,0.149200841,0.467131112,0.54517,1.289394171,0.900170573,6601920.898,1.500189995,0.843593368,0.656596626,-0.189465514
333,NLA12_KY-102,1,6396,-22.66,-3.63,0.084727637,0.265287338,0.35902,0.184381532,0.126834703,408548.1514,1.08956,0.919570966,0.169989034,0.095298304
334,NLA12_KY-103,1,6303,-30.82,-4.81,0.065413688,0.617873364,0.40733,0.222420079,0.296136101,1845800.88,1.081609989,0.770478977,0.311131012,0.306742352
335,NLA12_KY-104,1,6345,-0.64,0.42,0.370217487,0.856712814,0.4687,0.1650033,0.155150793,29820.23984,1.255289999,0.899922242,0.355367757,0.501345057
336,NLA12_KY-107,1,6285,-27.77,-4.38,0.080434121,0.5385443,0.49016,0.293896592,0.285031326,1471541.504,1.209589983,0.804430799,0.405159184,0.133385117
337,NLA12_KY-107,2,6939,-22.79,-2.87,0.225340748,0.192230379,0.49016,0.823367956,0.285031326,1471541.504,1.209589983,0.804430799,0.405159184,-0.212928805
338,NLA12_KY-114,1,6411,-29.38,-4.98,0.053785443,0.194367545,0.503826744,0.230738131,0.08614249,79984285.74,1.358929993,0.845668733,0.51326126,-0.318893714
339,NLA12_KY-116,1,6945,-16.77,-1.88,0.193389896,0.573205704,0.33256,0.383375547,0.470889315,2764632.863,1.116779982,0.923058426,0.193721556,0.379484148
340,NLA12_KY-117,1,6428,-24.98,-3.51,0.175124575,0.371748074,0.59785,0.443992094,0.236079149,40569.81931,1.324239979,0.851100587,0.473139392,-0.101391318
341,NLA12_KY-120,1,6373,-12.02,-1.48,0.19493826,0.078909268,0.42691,0.117780818,0.020895693,90045.18521,1.06991,0.920945246,0.148964754,-0.070055486
342,NLA12_KY-122,1,6374,-30.93,-5.26,0.087435033,0.192867568,0.533005,0.257871103,0.088700717,3752926.97,1.337659985,0.814336882,0.523323102,-0.330455534
343,NLA12_LA-101,2,6866,-1.78,0.54,0.279448524,0.922794079,0.50499,0.415961602,0.419939658,7088277.812,1.641409983,1.034746583,0.606663399,0.31613068
344,NLA12_LA-101,1,6572,-2.51,0.09,0.252374327,1.021789524,0.50499,0.375661419,0.419939658,7088277.812,1.641409983,1.034746583,0.606663399,0.415126125
345,NLA12_LA-102,1,6628,3.56,1.21,0.385874898,0.407259106,0.647258571,0.436073444,0.198228457,14284277.53,1.692690001,1.069802449,0.622887552,-0.215628446
346,NLA12_LA-103,1,6661,2.31,0.9,0.363452448,1.752972791,0.51167,0.326050193,0.402684704,361734.9512,1.553869995,1.090678789,0.463191206,1.289781585
347,NLA12_LA-104,1,6718,-16.37,-2.6,0.077461609,0.230809966,0.44717386,0.068527419,0.033361157,58654967.47,1.591529993,1.056435924,0.535094069,-0.304284103
348,NLA12_LA-105,1,6643,-10.49,-2.07,0.116329623,0.606979844,0.66193,0.058064379,0.045690563,3470814.486,1.652059975,1.065984628,0.586075347,0.020904497
349,NLA12_LA-106,1,6754,0.75,1.16,0.369223543,1.268182215,0.45609,0.353312067,0.402043045,499702.1813,1.465130007,1.042010134,0.423119873,0.845062342
350,NLA12_LA-109,1,6755,-5.77,0.33,0.25653998,1.296409275,0.44652,0.147996294,0.212472537,206682.0883,1.45285001,1.05850139,0.39434862,0.902060655
351,NLA12_LA-134,2,6856,2.9,0.32,1.434786588,0.019149194,0.488789936,1.035643475,0.037720123,127845004.7,1.467880009,1.090877896,0.377002112,-0.357852918
352,NLA12_LA-134,1,6603,1.35,-0.04,0.778584426,0.035288411,0.488789936,0.561990116,0.037720123,127845004.7,1.467880009,1.090877896,0.377002112,-0.341713701
353,NLA12_LA-141,1,6797,-3.04,1.64,0.351335868,0.207800551,0.61685,0.14489241,0.041220682,100979.5452,1.637170001,1.052374572,0.584795429,-0.376994878
354,NLA12_LA-152,1,6662,-4.92,-0.28,0.217493712,0.39535084,0.67489,0.203541955,0.098785657,1482700.272,1.718500006,1.057697042,0.660802964,-0.265452124
355,NLA12_LA-154,1,6723,-2.75,0.3,0.279479073,0.130371898,0.37038,0.135555204,0.042194654,27899.51343,1.418900002,1.066960492,0.351939509,-0.221567611
356,NLA12_LA-155,1,6724,-10.57,-1.29,0.162299509,1.053136683,0.53509,0.217716069,0.290808507,62309.01623,1.528400007,1.03114496,0.497255048,0.555881635
357,NLA12_LA-161,1,6644,1.15,0.86,0.326150686,0.510341188,0.62868,0.621033196,0.369982025,559969.128,1.472599988,1.075272064,0.397327924,0.113013264
358,NLA12_LA-172,1,6918,-9.13,-0.96,0.124079931,0.768562414,0.55231,0.04273662,0.046195699,64435.27587,1.789839993,1.075495842,0.71434415,0.054218264
359,NLA12_MA-101,1,8436,-30.07,-4.13,0.153669919,0.345695306,0.54991,0.382512465,0.204749105,267724.0854,1.273799988,0.705475885,0.568324103,-0.222628796
360,NLA12_MA-101,2,8672,-30.67,-4.48,0.137790725,0.385533712,0.54991,0.342986255,0.204749105,267724.0854,1.273799988,0.705475885,0.568324103,-0.182790391
361,NLA12_MA-102,1,8494,-28.02,-3.36,0.235658481,0.123322587,0.5851375,0.19718236,0.038242175,1187209.365,1.223560001,0.700918661,0.522641341,-0.399318754
362,NLA12_MA-103,1,8613,-35.17,-4.47,0.321382131,0.218267514,0.69271,0.529868408,0.139869133,583037.7643,1.156819985,0.604875278,0.551944707,-0.333677193
363,NLA12_MA-104,1,8497,-33.89,-3.97,0.236221345,0.514628188,0.62403,0.871255495,0.537826396,1686457.41,1.188429981,0.689129696,0.499300286,0.015327903
364,NLA12_MA-105,2,8652,-37.04,-4.76,0.196575188,0.037133653,0.596745,0.496071152,0.030249812,2301989.088,1.102890009,0.659060064,0.443829945,-0.406696292
365,NLA12_MA-105,1,8437,-37.76,-4.97,0.183866723,0.039700249,0.596745,0.464000458,0.030249812,2301989.088,1.102890009,0.659060064,0.443829945,-0.404129695
366,NLA12_MA-106,1,8555,-30.7,-3.61,0.281544595,0.787938975,0.58464,0.669204107,0.544236427,411004.295,1.163799999,0.671941922,0.491858078,0.296080898
367,NLA12_MA-108,1,8457,-17.84,-1.1,0.455597777,0.163738169,0.55209,0.435664636,0.10481663,28389.36028,1.213730003,0.704728897,0.509001106,-0.345262937
368,NLA12_MA-109,1,8590,-26.43,-2.56,0.348091567,0.22962884,0.47043,1.958323649,0.75087835,460955.7538,1.151550013,0.716574909,0.434975103,-0.205346263
369,NLA12_MA-110,1,8599,-39.33,-5.43,0.184523426,0.812564491,0.66707,1.426837172,1.214472188,2342401.18,1.216829987,0.634422972,0.582407015,0.230157476
370,NLA12_MA-111,1,8443,-39.4,-6.23,0.036580071,0.083019417,0.507775,0.083980345,0.013583691,173768.452,1.261280016,0.698006514,0.563273502,-0.480254085
371,NLA12_MD-101,1,6968,-39.85,-5.67,0.116532036,0.225288889,0.33247,0.670487624,0.411296509,3533488.524,0.950000006,0.716860063,0.233139942,-0.007851054
372,NLA12_MD-101,2,8285,-35.69,-4.82,0.17559856,0.149507905,0.33247,1.010337289,0.411296509,3533488.524,0.950000006,0.716860063,0.233139942,-0.083632037
373,NLA12_MD-102,1,6777,-26.84,-4.08,0.122340643,0.012087647,0.389966,0.069670793,0.002150276,59838.28831,0.941440003,0.826680766,0.114759237,-0.10267159
374,NLA12_MD-103,1,7298,-50.1,-7.26,0.074764908,0.30114225,0.7059,0.144828954,0.058194958,151494.3796,1.186149986,0.613249357,0.572900629,-0.271758379
375,NLA12_MD-104,1,7955,-31.66,-5.34,0.037858747,0.121789036,0.2494,0.027908441,0.013356894,338558.4826,0.960510002,0.873337274,0.087172728,0.034616308
376,NLA12_MD-105,1,6905,-27.2,-4.37,0.094507557,0.05448138,0.250375,0.084675385,0.018036727,161324.2769,0.914310009,0.872799612,0.041510397,0.012970983
377,NLA12_MD-105,2,7983,-20.93,-3.02,0.186673368,0.027582414,0.250375,0.167252648,0.018036727,161324.2769,0.914310009,0.872799612,0.041510397,-0.013927983
378,NLA12_MD-108,1,7558,-32.17,-5.12,0.035028784,0.556932256,0.352075,0.038307884,0.056887734,688515.5693,0.958820004,0.814687311,0.144132692,0.412799564
379,NLA12_MD-115,1,7219,-15.49,-1.54,0.592342894,0.052522923,0.28281,0.422193958,0.072105035,7947.599094,0.71657,0.901643715,-0.185073715,0.237596638
380,NLA12_MD-118,1,7527,-37.53,-6.16,0.018475019,0.187838518,0.3761175,0.007710757,0.003813282,73243.01527,0.888730009,0.832031775,0.056698234,0.131140284
381,NLA12_ME-101,1,7773,-46.09,-6.33,0.174674806,0.138843205,0.619395,0.336718734,0.069826346,1163867.498,1.200790001,0.580827118,0.619962883,-0.481119678
382,NLA12_ME-101,2,8473,-43.35,-6.34,0.100872887,0.240425456,0.619395,0.194451573,0.069826346,1163867.498,1.200790001,0.580827118,0.619962883,-0.379537427
383,NLA12_ME-102,1,7917,-70.93,-9.96,0.018101989,0.873297729,0.655051429,0.264986313,0.336199565,22549554.67,1.145890019,0.544545141,0.601344877,0.271952852
384,NLA12_ME-103,1,7597,-73.68,-10.31,0.024287334,0.35551052,0.716762,0.357850656,0.17221217,21164966.91,1.340309979,0.52660996,0.813700019,-0.458189499
385,NLA12_ME-104,1,8128,-44.11,-4.62,0.461457445,0.031256951,0.565633333,0.603163188,0.031746903,724183.6284,1.038470009,0.530758479,0.50771153,-0.476454579
386,NLA12_ME-105,1,8142,-49.16,-5.44,0.334693034,0.194553894,0.55672,0.504673253,0.145709414,391663.9937,0.988309994,0.549433657,0.438876337,-0.244322443
387,NLA12_ME-106,1,7570,-56.22,-8.21,0.018831507,1.738265959,0.7729,0.364317849,0.746702148,5716300.875,1.316769995,0.573150185,0.743619809,0.99464615
388,NLA12_ME-107,1,8185,-39.34,-5.46,0.261652303,0.767070512,0.68837,1.951346548,1.2920405,3632225.229,1.367120007,0.583652857,0.783467149,-0.016396637
389,NLA12_ME-108,1,8407,-68.98,-9.61,0.069027958,1.049671833,0.51192,1.208876354,1.980616085,256844943.2,0.973440002,0.547818707,0.425621295,0.624050537
390,NLA12_ME-109,1,7463,-52.15,-7,0.107808259,0.230951436,0.547944737,0.766728133,0.299248922,82572088.21,1.081669998,0.614978645,0.466691353,-0.235739918
391,NLA12_ME-110,1,7534,-44.41,-5.98,0.166829875,0.980385996,0.70378,1.971042328,1.842268697,39198136.34,1.303659992,0.617798605,0.685861387,0.29452461
392,NLA12_ME-113,1,8598,-45.77,-5.57,0.234511942,0.422977485,0.56334,0.321936257,0.180972534,36175.53041,1.141930008,0.598990365,0.542939643,-0.119962159
393,NLA12_ME-114,1,7314,-53.49,-7.64,0.077300529,0.347337474,0.69208,1.025298851,0.47662923,12734009.84,1.218880007,0.594011677,0.62486833,-0.277530856
394,NLA12_ME-115,1,8314,-56.46,-7.3,0.18078362,0.109973815,0.6007,0.681429185,0.116966422,70061.90985,1.102870006,0.548286287,0.554583719,-0.444609905
395,NLA12_ME-116,1,7923,-57.27,-7.65,0.144355309,0.182707219,0.59363,0.332365268,0.093837108,165888.0419,1.070319988,0.527576603,0.542743385,-0.360036167
396,NLA12_ME-118,1,8015,-39.84,-5.31,0.224728513,0.420565645,0.63256,1.148331837,0.584832522,943223.2976,1.270880001,0.621615293,0.649264707,-0.228699062
397,NLA12_ME-120,1,7819,-54.61,-7.54,0.112693784,0.023994377,0.59561,0.460915335,0.018395527,540088.0467,1.201450008,0.581252884,0.620197124,-0.596202747
398,NLA12_ME-121,1,7650,-51.58,-7.65,0.011699914,1.67431288,0.70207,0.089557868,0.201309338,955357.6696,1.325179976,0.60662548,0.718554495,0.955758385
399,NLA12_ME-122,1,8154,-33.85,-4.43,0.413864047,0.020665882,0.70253,1.036317305,0.02962887,1858193.47,1.350719997,0.569303064,0.781416934,-0.760751052
400,NLA12_ME-126,2,8253,-40.12,-5.3,0.2683416,0.480875529,0.67865,0.878419259,0.439484831,212957.2134,1.290309986,0.589383681,0.700926305,-0.220050777
401,NLA12_ME-126,1,7774,-41.58,-5.57,0.243025769,0.530968009,0.67865,0.795547601,0.439484831,212957.2134,1.290309986,0.589383681,0.700926305,-0.169958296
402,NLA12_ME-129,1,8013,-47.63,-6.15,0.222451711,0.173990757,0.61616,0.497172451,0.125630948,202747.5777,1.100059999,0.588151386,0.511908613,-0.337917856
403,NLA12_ME-130,1,7706,-43.38,-5.91,0.209053403,0.91137079,0.80216,0.779589312,0.575330927,167669.4339,1.305589987,0.574777005,0.730812982,0.180557807
404,NLA12_ME-134,1,7420,-48.48,-6.89,0.120072431,0.393957367,0.61418,0.289279998,0.161130701,30661.03501,1.206579979,0.613076226,0.593503753,-0.199546385
405,NLA12_ME-135,1,8363,-53.91,-7.66,0.093080128,0.376318726,0.53761,0.25182094,0.158173548,2544881.668,1.016709999,0.578980857,0.437729142,-0.061410416
406,NLA12_ME-137,1,8489,-42.5,-6.19,0.102977436,0.297025722,0.71542,0.30643343,0.116513156,336275.3232,1.337109989,0.621859873,0.715250116,-0.418224394
407,NLA12_ME-R02,1,7390,-40.93,-5.92,0.146157134,0.220920612,0.69592,0.337572687,0.09681795,105253.0913,1.42042001,0.616799,0.80362101,-0.582700397
408,NLA12_ME-R03,1,7474,-62.15,-8.04,0.094951275,1.070377851,0.61872,0.344250897,0.439822561,320363.483,1.162940006,0.539528204,0.623411802,0.446966049
409,NLA12_ME-R06,1,7430,-72.63,-9.96,0.078075586,1.318809508,0.5315,0.501761054,0.918340466,436043.8627,1.032710003,0.562414405,0.470295598,0.84851391
410,NLA12_ME-R07,1,7941,-66.04,-8.84,0.113875377,0.834456795,0.56876,1.203780516,1.353733857,2251965.834,0.996159998,0.546329659,0.449830339,0.384626457
411,NLA12_ME-R08,1,7389,-56.32,-7.79,0.094306834,0.816028436,0.6109825,1.408608503,1.495375528,55077930.88,1.208019989,0.589520618,0.618499372,0.197529065
412,NLA12_ME-R10,1,7431,-73.24,-9.53,0.086984526,0.502232256,0.51688,1.416195752,1.191194593,9429907.018,1.032710003,0.562414405,0.470295598,0.031936658
413,NLA12_ME-R11,1,7297,-45.71,-6.57,0.119197033,0.34981981,0.68754,0.217461419,0.098412163,1602214.524,1.245049986,0.607503403,0.637546582,-0.287726772
414,NLA12_ME-R15,1,7429,-63.59,-8.87,0.068903703,0.490184014,0.57234,2.164216713,1.663029955,15870259.29,1.122010006,0.577948691,0.544061315,-0.053877301
415,NLA12_MI-101,1,7103,-22.47,-0.98,0.525610367,0.057490217,0.24784,1.97178131,0.398613686,529416.0925,0.828820004,0.685390916,0.143429088,-0.08593887
416,NLA12_MI-101,2,1000164,-22.67,-0.91,0.526703291,0.057370923,0.24784,1.97588132,0.398613686,529416.0925,0.828820004,0.685390916,0.143429088,-0.086058164
417,NLA12_MI-102,1,1000092,-59.01,-8.43,0.020343814,0.038981592,0.307566214,0.121000227,0.01528704,9222277.561,0.802079989,0.648054779,0.154025209,-0.115043617
418,NLA12_MI-103,1,1000162,-49.71,-5.89,0.237314434,0.180928767,0.24599,1.823091045,1.099024025,4951009.809,0.76965999,0.610401839,0.159258151,0.021670616
419,NLA12_MI-104,1,1000070,-36.75,-4.56,0.141934032,0.939878288,0.2936,0.594364461,1.227421356,3217663.187,0.85298,0.70446111,0.14851889,0.791359398
420,NLA12_MI-105,1,1000056,-58.18,-8.51,0.002332562,0.810518853,0.27876008,0.017355391,0.050082032,99070955.04,0.784700005,0.700931129,0.083768875,0.726749978
421,NLA12_MI-106,1,1000156,-53.23,-6.33,0.226567108,0.367185458,0.30655,0.786998059,0.678580077,4264145.386,0.954499994,0.665599371,0.288900624,0.078284834
422,NLA12_MI-107,1,1000153,-71.4,-9.78,0.047775323,0.418462662,0.294743478,0.341938745,0.441756037,42267175.18,0.899660013,0.616700577,0.282959436,0.135503226
423,NLA12_MI-108,1,1000066,-20.24,-0.98,0.381980142,0.182384597,0.25967,1.705455646,0.908364996,2757952.548,0.897719994,0.755725876,0.141994118,0.04039048
424,NLA12_MI-109,1,1000052,-54.7,-8.1,0,,0.229588974,,0.020958974,5139191.127,0.852700001,0.70888281,0.143817191,
425,NLA12_MI-110,1,1000094,-40.6,-4.69,0.252023892,0.013167938,0.202605,1.269174157,0.081021196,399208.3295,0.780529999,0.706372492,0.074157507,-0.060989568
426,NLA12_MI-111,1,7001,-47.29,-6.57,0.11292524,0.011972881,0.286625166,0.415465112,0.017269609,10603943.29,0.782799988,0.748793727,0.034006261,-0.02203338
427,NLA12_MI-112,1,1000080,-44.52,-5.96,0.079665514,0.046542296,0.347263448,0.47397049,0.062695379,8381809.218,0.89101001,0.719537278,0.171472732,-0.124930436
428,NLA12_MI-113,1,1000168,-49.27,-6.57,0.130745084,0.041549636,0.300437778,1.262600168,0.170413938,5509571.961,0.877209992,0.643595972,0.233614019,-0.192064383
429,NLA12_MI-114,1,7002,-41.45,-5.33,0.198632433,0.037466674,0.234758,0.659154858,0.101432311,1464997.485,0.810790001,0.692123526,0.118666475,-0.081199801
430,NLA12_MI-115,1,1000081,-24.28,-1.93,0.356000033,0.99831723,0.2727,0.442949365,0.632208676,1206920.423,0.883639999,0.735887433,0.147752566,0.850564664
431,NLA12_MI-116,1,1000123,-69.89,-8.7,0.095815645,0.160219136,0.1645,0.206694965,0.1817243,869797.7811,0.672360003,0.582005049,0.090354954,0.069864182
432,NLA12_MI-117,1,1000091,-32.24,-2.79,0.378912094,0.384588572,0.23682,2.24861876,2.12472192,1243163.684,0.814520001,0.697413798,0.117106203,0.267482369
433,NLA12_MI-118,1,1000106,-42.48,-3.64,0.476510833,0.349179719,0.09163,5.34853414,5.962577335,3531364.293,0.753259993,0.565608787,0.187651206,0.161528513
434,NLA12_MI-120,1,1000072,-48.21,-6.4,0.036533958,0.458204342,0.2793,0.097977649,0.149731873,88103.69035,0.910210003,0.74225687,0.167953132,0.29025121
435,NLA12_MI-122,1,1000148,-56.06,-6.73,0.181630151,0.461441007,0.25124,2.880988773,3.745832298,5593289.726,0.745369999,0.602633287,0.142736712,0.318704294
436,NLA12_MI-123,1,1000098,-39.92,-5.1,0.158101472,0.03538549,0.38751,1.346741665,0.120586403,1161587.161,0.981679995,0.714663142,0.267016853,-0.231631363
437,NLA12_MI-124,1,1000047,-34.24,-3.02,0.312236943,0.98476143,0.28924,0.508120145,0.747374275,228730.3031,0.835779999,0.675789281,0.159990718,0.824770712
438,NLA12_MI-125,1,7795,-63.04,-7.14,0.169573818,0.265096539,0.18285,0.295680196,0.329870098,232927.9619,0.690149998,0.56645064,0.123699357,0.141397182
439,NLA12_MI-126,1,1000157,-46.47,-4.75,0.380028913,0.006572039,0.279173333,1.63692589,0.038111882,518881.3484,0.751030003,0.605219392,0.145810611,-0.139238572
440,NLA12_MI-128,1,1000076,-29.33,-2.51,0.280557751,0.068553802,0.29948,1.614161339,0.343872814,2554232.955,0.868730003,0.748724901,0.120005102,-0.051451301
441,NLA12_MI-129,1,1000096,-43.76,-4.94,0.248993393,0.288486821,0.23527,3.181804532,2.691126882,2077944.153,0.925890007,0.628517435,0.297372572,-0.008885752
442,NLA12_MI-130,1,1000161,-82.35,-12.15,0,,0.319604286,,0.005965022,213162.3932,0.900410015,0.654853917,0.245556098,
443,NLA12_MI-132,1,1000105,-22.89,-0.05,0.86152856,0.164156519,0.04817,2.562059454,2.243629989,242681.279,0.60802,0.617365815,-0.009345814,0.173502334
444,NLA12_MI-133,1,1000152,-76.53,-10.88,0,,0.32905,,0.116098692,199192.5689,0.885419994,0.604947577,0.280472418,
445,NLA12_MI-135,1,7004,-45.25,-6.23,0.126952074,0.009058059,0.2907375,0.740668024,0.02297391,1510231.392,0.786020004,0.70065498,0.085365024,-0.076306965
446,NLA12_MI-136,1,1000055,-22.66,-0.99,0.548186686,0.086547242,0.23479,2.088052872,0.612873497,511119.1851,0.852600002,0.673333215,0.179266788,-0.092719545
447,NLA12_MI-137,1,1000117,-35.97,-1.69,0.706745483,0.050057813,0.06193,4.806239759,2.391572912,60901.5881,0.613100005,0.560923003,0.052177002,-0.002119189
448,NLA12_MI-138,1,1000146,-28.51,-1.35,1.907470775,,,3.743394068,,1210574.894,0.774620003,0.605599616,0.169020387,
449,NLA12_MI-139,1,1000046,-37.33,-4.02,0.211215223,0.680213653,0.27104,0.970418838,1.546350846,87351.85007,0.764690004,0.705021656,0.059668349,0.620545305
450,NLA12_MI-139,2,1000166,-38.34,-4.2,0.197779613,0.726422085,0.27104,0.90868953,1.546350846,87351.85007,0.764690004,0.705021656,0.059668349,0.666753736
451,NLA12_MI-141,1,1000132,-69.98,-8.44,0.111067728,0.980795013,0.17745,1.161141579,3.435520204,1056146.349,0.791379993,0.559650174,0.23172982,0.749065194
452,NLA12_MI-142,1,1000163,-41.5,-4.36,0.251856846,0.160541999,0.15037,0.623775049,0.509423932,58013.69727,0.776240004,0.679220869,0.097019135,0.063522865
453,NLA12_MI-144,1,7251,-29.71,-2.72,0.252816494,0.004862451,0.33288,0.425030148,0.006181609,37816.39033,0.873679989,0.741456772,0.132223217,-0.127360766
454,NLA12_MI-145,1,1000172,-34.86,-3.77,0.380408906,0.285279515,0.31126,2.878460605,1.750904074,1688663.568,0.90624,0.623498616,0.282741384,0.002538131
455,NLA12_MI-148,1,1000112,-42.08,-3.93,0.415056078,0.081353071,0.03012,4.118592766,5.260211491,7089009.939,0.592219995,0.595553432,-0.003333437,0.084686507
456,NLA12_MI-150,1,7787,-48.85,-4.61,0.422487287,0.039934171,0.22118,0.521840465,0.085455087,136261.5961,0.778110003,0.578780656,0.199329347,-0.159395177
457,NLA12_MI-151,1,1000043,-35.69,-3.33,0.285848455,0.887606808,0.20105,1.094046531,2.023039512,228484.3193,0.779420002,0.708896846,0.070523156,0.817083653
458,NLA12_MI-152,1,1000075,-28.51,-2.24,0.331915013,0.063664865,0.27156,1.303827253,0.279018051,274819.6539,0.888699993,0.723944015,0.164755978,-0.101091113
459,NLA12_MI-155,1,7005,-36.7,-4.25,0.255649762,0.363781729,0.2864,1.147620859,1.080810731,385114.8657,0.752459999,0.700712258,0.051747741,0.312033988
460,NLA12_MI-161,1,1000099,-43.6,-5.58,0.278361296,0.188666408,0.353267,0.925080914,0.397900166,21481392.56,1.001619995,0.616207875,0.38541212,-0.196745712
461,NLA12_MI-162,1,1000103,-55.23,-5.97,0.302588434,0.20516841,0.21585,4.732927614,3.279404554,5290649.824,0.740359993,0.572710396,0.167649597,0.037518813
462,NLA12_MI-164,1,1000120,-18.87,0.97,1.295321481,0.008846292,0.16173,0.904522699,0.045366688,49967.35189,0.744339998,0.582291745,0.162048253,-0.153201961
463,NLA12_MI-165,1,1000101,-34.72,-2.82,0.509679141,0.664782179,0.32058,1.385401041,1.046011724,177031.4104,1.018369999,0.616273079,0.40209692,0.262685259
464,NLA12_MI-167,1,1000058,-36.41,-3.59,0.305408157,0.045413883,0.17435,0.44058327,0.105445957,81998.7101,0.775189999,0.698065443,0.077124556,-0.031710673
465,NLA12_MI-168,1,1000079,-49.76,-6.97,0.061567783,0.091538937,0.24309,0.397704173,0.145642097,1692065.059,0.864159992,0.708410369,0.155749623,-0.064210686
466,NLA12_MI-169,1,1000111,-55.23,-6.45,0.232903236,0.280145088,0.09199,0.547747072,0.850164485,113302.0403,0.75174,0.554202783,0.197537217,0.082607871
467,NLA12_MI-172,1,1000173,-27.85,-2.25,0.345306226,0.157475211,0.25146,2.160599178,1.082093538,954371.9408,0.855699997,0.738952109,0.116747888,0.040727323
468,NLA12_MI-177,1,1000186,-43.4,-5.09,0.307493892,0.509412802,0.31021,0.651266442,0.653219241,7893160.084,0.839740002,0.665408971,0.174331031,0.335081771
469,NLA12_MI-178,1,1000191,-84.96,-11.81,0.011540914,2.392894835,0.19452,0.017147226,0.17820754,96177.76672,0.75305,0.582113454,0.170936546,2.22195829
470,NLA12_MI-R08,1,6680,-50.03,-4.89,0.339113217,0.687579387,0.09199,0.845816828,1.374608625,900396.4505,0.788039997,0.554974228,0.233065769,0.454513618
471,NLA12_MI-R09,1,6741,-62.99,-8.1,0.118832195,1.176741749,0.07289,2.111690845,10.95297036,21053558.3,0.609019991,0.553068351,0.05595164,1.120790109
472,NLA12_MN-101,1,7124,-59.62,-7.05,0.25701656,0.06398053,0.151503333,1.440808328,0.537133779,4783073.438,0.71617,0.585379654,0.130790346,-0.066809816
473,NLA12_MN-101,2,8308,-57.86,-6.77,0.287003377,0.057295688,0.151503333,1.608911329,0.537133779,4783073.438,0.71617,0.585379654,0.130790346,-0.073494658
474,NLA12_MN-102,1,6663,-57.01,-7.63,0.144004288,0.134451397,0.28332,0.516406832,0.222342262,816571.0165,0.853709983,0.570884723,0.28282526,-0.148373863
475,NLA12_MN-103,1,7748,-26.56,-2.18,0.783933223,0.084257934,0.28277,0.809867915,0.181925201,599879.406,0.885610002,0.633651115,0.251958887,-0.167700952
