SITE_ID,VISIT_NO,DATE_COL,AGR_CROPLAND,AGR_FEEDLOT,AGR_LIVESTOCK,AGR_ORCHARDS,AGR_PASTURE,AGR_POULTRY,AGR_SCORE,AGR_STRING,AGR_WITHDRAWAL,APPEALING,BIOTIC_INTEGRITY,IND_COMMERCIAL,IND_FIRE,IND_INDUSTRIAL,IND_LOGGING,IND_MINES,IND_ODORS,IND_OIL,IND_POWER,IND_SCORE,IND_STRING,HYDRO_TYPE,LAKE_LEVEL,LEVEL_CHANGE_M,LEVEL_CHANGES,MAN_DRINKING_WATER,MAN_LEVEL_FLUCTUATIONS,MAN_SCORE,OUTLET_DAMS,PRISTINE,RCH_AGRICULTURE,RCH_BARE_GROUND,RCH_DEVELOPMENT,RCH_FOREST,RCH_GRASS,RCH_SHOREMODS,RCH_SHRUB,RCH_WETLAND,REC_FILMS,REC_MARINAS,REC_PARKS,REC_PRIMITIVE,REC_RESORTS,REC_SCORE,REC_STRING,REC_TRAILS,REC_TRASH,RECREATIONAL_ACTIVITY,RECREATIONAL_VALUE,RES_BRIDGES,RES_CONSTRUCTION,RES_DUMPING,RES_LAWNS,RES_PIPES,RES_RESIDENCES,RES_ROADS,RES_SCORE,RES_SEWAGE,RES_STRING,SWIMMABILITY,TROPHIC_STATE
NA,NA,NA,NA,NA,L,NA,L,NA,2,LL,NA,2,GOOD,NA,NA,NA,NA,NA,NA,NA,M,3,M,RESERVOIR,NO,NA,NA,NA,M,5,ARTIFICIAL,3,0-05,0-05,0-05,0-05,25-May,25-May,25-May,0-05,L,L,L,L,NA,6,LLLLLL,L,L,NA,FAIR,NA,NA,NA,L,NA,L,L,3,NA,LLL,UNSWIMMABLE,MESOTROPHIC
NA,NA,NA,H,NA,NA,NA,NA,NA,5,H,NA,2,FAIR,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,SEEPAGE,NA,NA,-0.2,NA,NA,0,NONE,2,0-05,0-05,0-05,0-05,25-75,0-05,25-May,0-05,NA,NA,NA,NA,NA,1,L,NA,L,NA,POOR,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,UNSWIMMABLE,HYPEREUTROPHIC
NA,NA,NA,H,M,M,NA,M,NA,14,HMMM,NA,4,GOOD,NA,NA,L,NA,NA,NA,L,L,3,LLL,RESERVOIR,NA,NA,NA,NA,NA,8,ARTIFICIAL,4,25-75,25-May,25-May,0-05,25-May,25-May,25-May,0-05,NA,NA,NA,L,NA,1,L,NA,NA,NA,GOOD,NA,NA,NA,NA,NA,L,L,2,NA,LL,UNSWIMMABLE,MESOTROPHIC
NA,NA,NA,NA,NA,M,NA,L,NA,7,MLM,M,4,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,RESERVOIR,YES,NA,NA,NA,L,9,ARTIFICIAL,4,0-05,25-May,25-May,25-May,25-May,25-May,25-75,0-05,NA,M,M,M,L,12,MMMLLL,L,L,NA,EXCELLENT,L,M,L,NA,NA,L,M,10,L,LMLLML,FAIR,MESOTROPHIC
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,5,GOOD,NA,NA,NA,L,NA,NA,NA,NA,1,L,DRAINAGE,YES,NA,3,NA,L,3,ARTIFICIAL,4,0-05,25-May,0-05,25-75,25-75,0-05,0-05,25-75,NA,NA,NA,L,NA,2,LL,NA,L,NA,EXCELLENT,NA,NA,NA,NA,NA,NA,L,1,NA,L,UNSWIMMABLE,EUTROPHIC
NA,NA,NA,NA,NA,NA,NA,H,NA,5,H,NA,1,POOR,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,DRAINAGE,NO,NA,NA,NA,NA,0,NATURAL,2,NA,25-May,NA,NA,75-100,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,POOR,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,UNSWIMMABLE,EUTROPHIC
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,5,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,RESERVOIR,NA,NA,4,NA,L,4,ARTIFICIAL,5,0-05,25-75,0-05,25-75,0-05,25-May,25-May,25-May,NA,L,M,M,H,16,LMMHML,M,L,NA,EXCELLENT,L,NA,NA,NA,NA,NA,L,2,NA,LL,GOOD,OLIGOTROPHIC
NA,NA,NA,NA,NA,L,NA,NA,NA,1,L,NA,4,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,DRAINAGE,YES,NA,0.5,NA,L,2,ARTIFICIAL,4,NA,25-May,25-May,0-05,25-75,0-05,25-75,25-75,L,NA,M,NA,L,7,LMLLL,L,L,NA,EXCELLENT,NA,L,NA,L,NA,M,L,6,NA,LLML,GOOD,MESOTROPHIC
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,L,L,4,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,RESERVOIR,YES,NA,2,L,L,3,ARTIFICIAL,4,0-05,0-05,0-05,75-100,0-05,0-05,0-05,0-05,L,NA,L,NA,NA,3,LLL,NA,L,NA,GOOD,L,NA,NA,NA,L,NA,L,3,NA,LLL,GOOD,EUTROPHIC
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,3,EXCELLENT,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,SEEPAGE,YES,NA,0.2,NA,NA,0,NONE,5,NA,25-May,0-05,25-75,0-05,0-05,25-75,25-May,NA,NA,L,NA,NA,2,LL,NA,L,NA,FAIR,NA,NA,NA,NA,NA,L,L,2,NA,LL,FAIR,EUTROPHIC
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,4,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,DRAINAGE,NO,NA,NA,NA,NA,0,NONE,4,0-05,25-May,0-05,25-75,25-May,0-05,75-100,75-100,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,FAIR,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,FAIR,EUTROPHIC
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,5,EXCELLENT,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,SEEPAGE,NO,NA,NA,H,NA,5,NONE,5,NA,25-May,0-05,25-75,25-May,NA,25-75,NA,NA,NA,NA,NA,NA,2,LL,L,L,NA,EXCELLENT,NA,NA,NA,NA,NA,L,L,2,NA,LL,GOOD,OLIGOTROPHIC
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,5,EXCELLENT,NA,NA,NA,NA,NA,L,NA,NA,1,L,RESERVOIR,NO,NA,NA,NA,NA,0,ARTIFICIAL,4,NA,0-05,NA,NA,75-100,0-05,NA,25-May,NA,NA,L,NA,NA,1,L,NA,NA,NA,EXCELLENT,NA,NA,NA,L,NA,NA,L,2,NA,LL,GOOD,EUTROPHIC
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,3,FAIR,L,NA,M,NA,M,L,NA,NA,8,LMML,SEEPAGE,NO,NA,NA,NA,NA,1,NONE,2,0-05,0-05,25-75,0-05,25-75,0-05,25-May,0-05,NA,NA,NA,NA,NA,1,L,NA,L,NA,GOOD,NA,NA,M,M,M,M,L,13,NA,MMMML,GOOD,OLIGOTROPHIC
NA,NA,NA,M,NA,M,NA,M,NA,9,MMM,NA,4,GOOD,NA,NA,NA,L,NA,NA,NA,NA,1,L,RESERVOIR,NO,NA,NA,NA,L,9,ARTIFICIAL,3,0-05,0-05,0-05,25-75,25-May,0-05,25-May,25-May,NA,NA,M,M,NA,9,MMM,M,NA,NA,EXCELLENT,L,NA,NA,L,L,L,L,6,L,LLLLLL,GOOD,EUTROPHIC
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NO,NA,NA,NA,NA,6,NATURAL,3,0-05,25-May,25-75,25-75,25-75,25-75,25-75,25-May,NA,NA,NA,NA,L,2,LL,L,NA,NA,NA,NA,L,NA,M,NA,H,NA,9,NA,LMH,GOOD,NA
NA,NA,NA,M,NA,M,NA,M,NA,9,MMM,NA,2,FAIR,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,SEEPAGE,YES,NA,1.5,NA,L,1,NONE,2,25-75,25-May,0-05,25-May,25-75,0-05,0-05,25-May,L,NA,NA,NA,NA,4,LM,NA,M,NA,POOR,NA,NA,L,L,NA,L,L,4,NA,LLLL,UNSWIMMABLE,HYPEREUTROPHIC
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,4,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,RESERVOIR,YES,NA,0.2,NA,L,1,ARTIFICIAL,4,0-05,25-May,0-05,75-100,0-05,0-05,0-05,0-05,NA,NA,L,M,NA,9,LMH,H,NA,NA,GOOD,NA,NA,NA,NA,NA,NA,M,3,NA,M,GOOD,MESOTROPHIC
NA,NA,NA,NA,NA,L,NA,NA,NA,1,L,NA,5,EXCELLENT,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,SEEPAGE,YES,NA,0.3,NA,NA,2,NONE,5,0-05,25-75,0-05,25-75,25-75,0-05,25-75,0-05,NA,NA,NA,L,NA,2,LL,L,NA,NA,EXCELLENT,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,GOOD,OLIGOTROPHIC
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,3,FAIR,NA,NA,L,NA,NA,NA,NA,NA,1,L,RESERVOIR,NO,NA,NA,NA,L,5,ARTIFICIAL,3,0-05,0-05,0-05,75-100,25-May,0-05,25-May,0-05,L,NA,L,L,NA,6,LLLM,M,NA,NA,FAIR,L,M,NA,M,L,NA,M,11,NA,LMMLM,UNSWIMMABLE,EUTROPHIC
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,5,EXCELLENT,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,DRAINAGE,NO,NA,NA,NA,NA,0,NATURAL,4,NA,0-05,0-05,75-100,0-05,0-05,0-05,25-May,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,EXCELLENT,NA,NA,NA,NA,L,L,L,3,NA,LLL,GOOD,OLIGOTROPHIC
NA,NA,NA,NA,NA,H,NA,H,NA,10,HH,NA,3,FAIR,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,SEEPAGE,NA,NA,NA,NA,NA,0,NONE,2,25-75,25-May,NA,NA,25-75,NA,25-May,NA,L,NA,L,M,NA,6,LLML,L,NA,NA,FAIR,NA,NA,NA,NA,NA,NA,M,3,NA,M,FAIR,EUTROPHIC
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,5,GOOD,NA,L,NA,NA,NA,NA,NA,NA,1,L,DRAINAGE,NO,NA,NA,NA,NA,3,NONE,4,NA,NA,NA,25-May,NA,0-05,NA,75-100,NA,NA,M,NA,L,8,MLML,M,L,NA,EXCELLENT,NA,NA,NA,NA,NA,NA,M,3,NA,M,FAIR,MESOTROPHIC
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,4,FAIR,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,SEEPAGE,NO,NA,NA,NA,NA,0,NONE,4,NA,25-May,75-100,NA,25-75,25-May,25-May,NA,NA,L,H,NA,NA,11,LHH,H,NA,NA,GOOD,M,NA,NA,H,L,L,H,15,NA,MHLLH,GOOD,EUTROPHIC
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,4,GOOD,L,NA,NA,NA,NA,NA,L,NA,2,LL,RESERVOIR,YES,NA,4,NA,M,9,ARTIFICIAL,4,0-05,25-May,25-May,75-100,25-75,0-05,25-May,0-05,L,M,M,M,L,17,LMMMLMM,M,M,NA,GOOD,L,NA,NA,L,NA,L,L,4,NA,LLLL,FAIR,MESOTROPHIC
NA,NA,NA,L,L,L,L,M,L,9,LLLLMLL,L,3,GOOD,L,L,L,L,L,L,L,L,8,LLLLLLLL,DRAINAGE,NO,NA,NA,L,L,7,NONE,4,0-05,0-05,0-05,0-05,0-05,0-05,0-05,75-100,L,L,L,L,L,7,LLLLLLL,L,L,NA,POOR,L,L,L,L,L,L,L,12,H,LLLLLLLH,UNSWIMMABLE,EUTROPHIC
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,5,EXCELLENT,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,RESERVOIR,NO,NA,NA,NA,L,4,ARTIFICIAL,5,NA,25-May,NA,25-75,25-75,NA,25-75,0-05,NA,NA,NA,L,NA,1,L,NA,NA,NA,GOOD,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,UNSWIMMABLE,MESOTROPHIC
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,3,GOOD,L,NA,NA,NA,NA,L,NA,NA,2,LL,RESERVOIR,NO,NA,NA,NA,NA,0,ARTIFICIAL,3,NA,0-05,0-05,25-75,0-05,0-05,25-75,0-05,NA,NA,NA,NA,NA,1,L,NA,L,NA,GOOD,NA,NA,NA,L,NA,L,L,3,NA,LLL,FAIR,MESOTROPHIC
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,3,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,RESERVOIR,NO,NA,NA,NA,NA,3,ARTIFICIAL,3,0-05,0-05,25-75,25-75,25-May,25-May,0-05,0-05,NA,NA,NA,NA,NA,1,L,NA,L,NA,GOOD,L,NA,NA,M,NA,M,L,8,NA,LMML,FAIR,MESOTROPHIC
NA,NA,NA,NA,NA,L,NA,NA,NA,1,L,NA,3,FAIR,NA,NA,NA,NA,M,NA,NA,NA,3,M,DRAINAGE,NO,NA,NA,NA,NA,1,ARTIFICIAL,2,NA,NA,0-05,NA,25-May,0-05,25-May,NA,M,NA,L,NA,NA,7,MLM,NA,M,NA,FAIR,NA,NA,NA,M,L,M,M,10,NA,MLMM,GOOD,EUTROPHIC
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,M,M,4,GOOD,NA,NA,NA,NA,NA,NA,NA,L,1,L,RESERVOIR,YES,NA,0.5,NA,NA,2,ARTIFICIAL,4,0-05,0-05,0-05,25-75,25-May,0-05,25-May,0-05,NA,NA,L,NA,NA,2,LL,L,NA,NA,GOOD,M,L,NA,NA,M,NA,M,10,NA,MLMM,GOOD,MESOTROPHIC
NA,NA,NA,NA,NA,L,NA,M,NA,4,LM,NA,2,POOR,NA,NA,L,NA,NA,NA,NA,NA,1,L,RESERVOIR,NO,NA,NA,NA,NA,0,ARTIFICIAL,2,0-05,0-05,0-05,0-05,75-100,0-05,0-05,0-05,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,FAIR,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,FAIR,EUTROPHIC
NA,NA,NA,M,NA,NA,NA,M,NA,6,MM,NA,5,EXCELLENT,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,SEEPAGE,NO,NA,NA,NA,NA,0,NONE,5,25-75,0-05,NA,NA,75-100,NA,25-May,0-05,L,NA,NA,NA,NA,1,L,NA,NA,NA,GOOD,NA,NA,NA,NA,NA,L,M,4,NA,LM,GOOD,EUTROPHIC
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,4,FAIR,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,DRAINAGE,NO,NA,NA,NA,NA,1,NONE,3,0-05,0-05,25-May,25-75,0-05,0-05,25-May,0-05,NA,L,NA,NA,L,3,LLL,NA,L,NA,FAIR,L,NA,NA,L,L,L,L,5,NA,LLLLL,FAIR,MESOTROPHIC
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,3,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,DRAINAGE,NO,NA,NA,NA,NA,0,NONE,3,NA,0-05,25-75,25-75,25-May,0-05,25-May,0-05,L,NA,NA,NA,NA,4,LM,NA,M,NA,GOOD,NA,NA,NA,L,NA,M,L,5,NA,LML,FAIR,MESOTROPHIC
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,3,FAIR,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,RESERVOIR,NO,NA,NA,NA,NA,3,ARTIFICIAL,1,0-05,0-05,25-May,25-75,25-75,25-May,0-05,25-75,NA,NA,NA,NA,NA,1,L,NA,L,NA,FAIR,NA,L,NA,M,NA,M,L,8,NA,LMML,GOOD,MESOTROPHIC
NA,NA,NA,NA,NA,L,NA,L,NA,2,LL,NA,5,EXCELLENT,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,RESERVOIR,YES,NA,NA,NA,NA,2,ARTIFICIAL,4,0-05,25-May,0-05,0-05,75-100,0-05,25-75,25-May,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,EXCELLENT,NA,NA,NA,NA,NA,L,L,2,NA,LL,GOOD,MESOTROPHIC
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,2,FAIR,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,RESERVOIR,YES,NA,13,NA,H,9,ARTIFICIAL,2,75-100,0-05,0-05,0-05,0-05,0-05,0-05,0-05,NA,NA,L,L,NA,4,LLLL,L,L,NA,GOOD,NA,NA,NA,NA,NA,NA,L,1,NA,L,FAIR,MESOTROPHIC
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,5,EXCELLENT,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,RESERVOIR,NO,NA,NA,NA,NA,2,ARTIFICIAL,5,0-05,0-05,0-05,75-100,0-05,25-May,0-05,0-05,NA,NA,NA,NA,NA,1,L,L,NA,NA,EXCELLENT,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,GOOD,OLIGOTROPHIC
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,3,FAIR,L,NA,NA,NA,NA,NA,NA,NA,1,L,RESERVOIR,YES,NA,1,NA,L,4,ARTIFICIAL,3,0-05,0-05,25-75,25-May,25-75,25-May,25-May,25-May,M,NA,L,NA,NA,5,MLL,NA,L,NA,GOOD,L,L,NA,M,L,H,L,12,NA,LLMLHL,FAIR,HYPEREUTROPHIC
NA,NA,NA,NA,NA,M,NA,H,NA,8,MH,NA,3,EXCELLENT,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,SEEPAGE,NO,NA,NA,NA,NA,0,NONE,3,75-100,0-05,NA,NA,75-100,NA,NA,25-May,L,NA,NA,NA,NA,1,L,NA,NA,NA,GOOD,NA,NA,NA,NA,NA,NA,L,1,NA,L,FAIR,EUTROPHIC
NA,NA,NA,M,NA,NA,NA,M,NA,6,MM,NA,4,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,RESERVOIR,YES,NA,0.3,NA,NA,0,ARTIFICIAL,4,0-05,0-05,0-05,25-May,25-May,0-05,25-75,NA,NA,L,M,NA,NA,4,LM,NA,NA,NA,GOOD,L,NA,NA,NA,NA,NA,L,2,NA,LL,FAIR,MESOTROPHIC
NA,NA,NA,NA,NA,L,NA,L,NA,2,LL,NA,2,POOR,NA,NA,NA,H,NA,H,NA,NA,10,HH,RESERVOIR,NO,NA,NA,NA,NA,5,ARTIFICIAL,2,0-05,0-05,0-05,75-100,25-75,0-05,25-75,75-100,L,NA,NA,NA,NA,4,LM,NA,M,NA,GOOD,NA,NA,L,L,NA,L,L,4,NA,LLLL,UNSWIMMABLE,EUTROPHIC
NA,NA,NA,NA,NA,M,NA,M,NA,6,MM,NA,3,FAIR,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,SEEPAGE,YES,NA,0.6,NA,NA,3,NONE,2,0-05,25-May,0-05,25-May,25-May,0-05,25-May,75-100,NA,NA,NA,L,NA,2,LL,L,NA,NA,FAIR,NA,NA,NA,NA,NA,NA,L,1,NA,L,FAIR,HYPEREUTROPHIC
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,3,POOR,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,RESERVOIR,YES,NA,0.3,NA,NA,0,ARTIFICIAL,1,0-05,0-05,75-100,0-05,75-100,75-100,0-05,0-05,NA,NA,L,NA,NA,2,LL,NA,L,NA,GOOD,NA,L,NA,H,L,H,M,15,NA,LHLHM,GOOD,MESOTROPHIC
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NONE,4,0-05,0-05,0-05,25-75,0-05,0-05,75-100,25-May,NA,NA,NA,NA,NA,1,L,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,GOOD,NA
NA,NA,NA,NA,NA,H,NA,H,NA,10,HH,NA,2,POOR,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,SEEPAGE,NO,NA,NA,NA,NA,0,NONE,1,NA,NA,NA,NA,75-100,NA,NA,25-May,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,POOR,NA,NA,NA,NA,NA,L,M,4,NA,LM,UNSWIMMABLE,EUTROPHIC
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,4,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,DRAINAGE,NO,NA,NA,NA,NA,0,NONE,4,NA,0-05,75-100,0-05,75-100,25-75,0-05,0-05,NA,NA,M,NA,NA,4,ML,NA,L,NA,GOOD,NA,NA,NA,H,NA,H,L,11,NA,HHL,GOOD,MESOTROPHIC
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,4,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,RESERVOIR,YES,NA,0.3,NA,NA,0,ARTIFICIAL,4,NA,25-May,NA,NA,0-05,NA,25-May,25-75,NA,NA,NA,L,NA,3,LLL,L,L,NA,GOOD,NA,NA,NA,NA,L,NA,M,4,NA,LM,UNSWIMMABLE,EUTROPHIC
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,3,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,DRAINAGE,NA,NA,0.3,NA,NA,0,NATURAL,3,0-05,0-05,25-May,25-75,25-75,25-May,25-75,25-May,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,FAIR,NA,M,NA,L,NA,L,L,6,NA,MLLL,FAIR,MESOTROPHIC
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
NA,NA,NA,M,NA,NA,NA,NA,NA,3,M,NA,4,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,DRAINAGE,NA,NA,NA,NA,NA,0,NONE,4,0-05,0-05,0-05,75-100,25-75,0-05,75-100,25-75,L,L,M,M,L,13,LLMMLML,M,L,NA,GOOD,L,L,L,L,L,L,L,8,L,LLLLLLLL,FAIR,EUTROPHIC
NA,NA,NA,M,NA,M,NA,NA,NA,6,MM,NA,4,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,RESERVOIR,NO,NA,NA,NA,NA,3,ARTIFICIAL,3,0-05,0-05,0-05,NA,25-75,0-05,25-75,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,GOOD,NA,NA,NA,L,NA,L,NA,2,NA,LL,FAIR,MESOTROPHIC
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,2,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,RESERVOIR,YES,NA,0.3,NA,NA,3,ARTIFICIAL,3,0-05,0-05,25-May,25-75,25-75,0-05,25-75,25-75,H,NA,NA,L,NA,8,HLLL,L,L,NA,FAIR,L,NA,L,L,NA,L,L,5,NA,LLLLL,UNSWIMMABLE,MESOTROPHIC
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,5,EXCELLENT,NA,L,NA,NA,NA,NA,NA,NA,1,L,RESERVOIR,YES,NA,0.2,NA,NA,0,ARTIFICIAL,5,0-05,25-May,0-05,25-75,0-05,0-05,25-May,0-05,NA,L,L,L,NA,7,LLLML,M,L,NA,EXCELLENT,L,NA,NA,L,NA,L,M,6,NA,LLLM,GOOD,MESOTROPHIC
NA,NA,NA,L,L,L,L,L,L,7,LLLLLLL,L,3,GOOD,L,L,L,L,L,L,L,L,8,LLLLLLLL,DRAINAGE,NO,NA,NA,NA,NA,9,NONE,3,0-05,0-05,25-75,25-75,25-75,25-May,25-May,0-05,L,M,M,L,L,11,LMMLLLL,L,L,NA,GOOD,M,L,L,M,L,M,L,14,L,MLLMLMLL,GOOD,MESOTROPHIC
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,5,EXCELLENT,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,DRAINAGE,NO,NA,NA,NA,NA,1,NONE,4,0-05,0-05,25-May,25-75,0-05,0-05,25-75,0-05,NA,NA,NA,NA,NA,3,M,M,NA,NA,EXCELLENT,NA,NA,NA,NA,NA,NA,L,1,NA,L,GOOD,MESOTROPHIC
NA,NA,NA,L,NA,NA,NA,M,NA,4,LM,NA,4,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,RESERVOIR,YES,NA,2,NA,L,2,ARTIFICIAL,4,0-05,0-05,0-05,0-05,75-100,0-05,0-05,0-05,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,GOOD,NA,NA,NA,NA,NA,NA,L,1,NA,L,FAIR,EUTROPHIC
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,3,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,RESERVOIR,NO,NA,NA,NA,NA,0,ARTIFICIAL,3,0-05,0-05,0-05,25-75,25-May,0-05,0-05,0-05,NA,NA,L,NA,NA,2,LL,NA,L,NA,FAIR,NA,NA,NA,NA,NA,L,L,2,NA,LL,FAIR,EUTROPHIC
NA,NA,NA,H,NA,NA,NA,NA,NA,5,H,NA,2,POOR,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,DRAINAGE,YES,NA,0.7,NA,NA,0,ARTIFICIAL,2,25-75,25-May,25-May,25-75,25-May,0-05,25-May,0-05,NA,NA,L,NA,NA,1,L,NA,NA,NA,POOR,L,NA,L,L,L,L,L,6,NA,LLLLLL,UNSWIMMABLE,HYPEREUTROPHIC
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,FAIR,L,NA,NA,NA,NA,H,NA,NA,6,LH,RESERVOIR,YES,NA,0.5,NA,L,1,ARTIFICIAL,1,0-05,25-75,0-05,25-75,25-May,75-100,25-May,NA,L,NA,NA,NA,NA,7,LLH,L,H,NA,POOR,NA,NA,L,L,L,NA,H,8,NA,LLLH,UNSWIMMABLE,EUTROPHIC
NA,NA,NA,L,NA,M,NA,M,NA,7,LMM,NA,3,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,SEEPAGE,NA,NA,NA,NA,NA,0,NONE,3,75-100,0-05,0-05,0-05,75-100,0-05,0-05,0-05,NA,NA,NA,NA,NA,1,L,NA,L,NA,POOR,NA,NA,NA,NA,NA,L,NA,1,NA,L,UNSWIMMABLE,MESOTROPHIC
NA,NA,NA,M,NA,NA,NA,NA,NA,4,ML,L,4,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,RESERVOIR,YES,NA,0.5,L,M,7,ARTIFICIAL,2,0-05,25-May,0-05,25-May,25-75,75-100,25-75,0-05,L,NA,M,M,NA,8,LMML,NA,L,NA,EXCELLENT,NA,NA,NA,L,H,L,L,8,NA,LHLL,GOOD,MESOTROPHIC
